nVectors,memcpyOut,plan,execu,memcpyIn
2000001,2.413,0.001,0.652,2.723
2000001,2.43,0.001,0.606,2.65
2000001,2.455,0,0.626,2.715
2000001,2.457,0.001,0.621,2.642
2000001,2.379,0.001,0.692,2.656
2000001,2.445,0.001,0.665,2.656
2000001,2.444,0.001,0.669,2.672
2000001,2.53,0.001,0.668,2.691
2000001,2.375,0.001,0.591,2.655
2000001,2.515,0,0.706,2.747
2000001,2.51,0.001,0.718,2.728
2500001,2.819,0.001,0.634,3.356
2500001,2.941,0.001,0.768,3.429
2500001,4.834,0.002,0.698,6.48
2500001,2.946,0,0.764,3.369
2500001,2.893,0.001,0.730,3.39
2500001,2.865,0.001,0.771,3.383
2500001,2.893,0.001,0.811,3.445
2500001,2.894,0.001,0.652,3.347
2500001,2.868,0.001,0.715,3.452
2500001,2.837,0.001,0.681,3.411
2500001,2.828,0.001,0.663,3.386
2500001,2.944,0.001,0.655,3.311
2500001,2.883,0.001,0.662,3.35
2500001,2.881,0.001,0.654,3.341
2500001,2.898,0.001,0.663,3.343
2500001,2.944,0.001,0.649,3.335
2500001,2.853,0.001,0.688,3.381
2500001,2.874,0.001,0.666,3.461
2500001,2.951,0.001,0.829,3.383
2500001,3.02,0.001,0.776,3.385
2500001,2.852,0.001,0.634,3.408
2500001,3.032,0,0.741,3.38
2500001,2.973,0.001,0.980,3.449
3000001,3.457,0.002,0.751,4.106
3000001,3.424,0.001,0.859,4.132
3000001,6.044,0.002,0.764,7.724
3000001,3.543,0.001,0.867,4.135
3000001,3.35,0.001,0.819,4.1
3000001,3.436,0.001,0.901,4.139
3000001,3.418,0.001,0.888,4.148
3000001,3.464,0.001,0.730,4.058
3000001,3.368,0.002,0.874,4.09
3000001,3.398,0.001,0.783,4.116
3000001,3.473,0.001,0.789,6.788
3000001,3.471,0.001,0.730,4.063
3000001,3.407,0.001,0.734,4.046
3000001,3.473,0.001,0.710,4.046
3000001,3.446,0.001,0.735,7.38
3000001,3.508,0.001,0.732,5.218
3000001,3.438,0.002,0.861,5.908
3000001,3.436,0.001,0.771,7.228
3000001,3.375,0.001,0.865,4.12
3000001,3.609,0.001,0.995,4.124
3000001,3.421,0.001,0.706,4.123
3000001,3.589,0.001,0.906,4.122
3000001,3.479,0.001,1.040,4.219
3500001,4.543,0.002,1.536,4.843
3500001,4.301,0.001,0.871,4.843
3500001,4.318,0.001,0.982,4.879
3500001,7.229,0.007,0.975,9.082
3500001,4.322,0.002,1.047,4.87
3500001,4.21,0.001,0.988,4.816
3500001,4.309,0.001,1.191,8.795
3500001,4.324,0.001,1.042,4.871
3500001,4.314,0.002,0.869,8.635
3500001,4.284,0.002,0.947,4.855
3500001,4.274,0.002,0.871,6.364
3500001,4.14,0.002,0.874,4.785
3500001,4.225,0.001,0.872,4.814
3500001,4.21,0.001,0.870,4.838
3500001,4.251,0.001,0.836,4.775
3500001,8.456,0.003,1.230,4.81
3500001,4.439,0.001,1.128,4.934
3500001,4.206,0.002,0.901,4.813
3500001,5.188,0.001,0.963,4.849
3500001,4.159,0.001,0.881,4.814
3500001,4.29,0.001,1.098,4.904
3500001,4.232,0.002,0.844,4.837
3500001,4.375,0.001,1.119,4.923
3500001,4.358,0.001,1.349,4.91
4000001,5.334,0.003,1.825,5.542
4000001,5.225,0.003,0.957,5.485
4000001,5.234,0.002,1.153,5.586
4000001,8.803,0.002,1.130,10.328
4000001,5.244,0.002,1.141,5.502
4000001,5.182,0.002,1.255,5.498
4000001,5.226,0.002,1.048,5.477
4000001,5.247,0.003,1.148,5.518
4000001,9.548,0.004,1.075,5.451
4000001,5.212,0.002,1.155,5.502
4000001,5.169,0.003,1.034,5.481
4000001,5.115,0.003,1.030,5.512
4000001,5.225,0.003,0.942,5.494
4000001,5.223,0.002,0.928,9.857
4000001,5.244,0.003,0.931,5.427
4000001,5.288,0.001,1.437,5.625
4000001,5.38,0.002,1.269,5.532
4000001,5.218,0.002,1.011,5.479
4000001,5.149,0.002,1.061,5.561
4000001,5.203,0.002,1.201,5.478
4000001,5.318,0.003,1.519,5.534
4000001,5.226,0.003,0.949,6.862
4000001,5.316,0.002,1.497,5.529
4000001,5.258,0.002,1.319,6.132
4500001,6.292,0.003,1.982,6.242
4500001,6.232,0.005,1.094,11.171
4500001,6.347,0.005,1.434,6.271
4500001,10.159,0.002,1.230,11.593
4500001,6.237,0.004,1.450,6.335
4500001,6.245,0.019,1.401,6.232
4500001,6.149,0.003,1.238,9.582
4500001,6.272,0.005,1.443,6.237
4500001,6.15,0.003,1.201,9.769
4500001,6.265,0.005,1.486,6.206
4500001,6.13,0.003,1.200,6.167
4500001,6.089,0.003,1.211,6.149
4500001,6.18,0.005,1.131,6.139
4500001,6.401,0.004,1.231,11.275
4500001,6.187,0.004,1.148,6.142
4500001,6.41,0.003,1.213,6.29
4500001,6.227,0.003,1.488,6.228
4500001,6.145,0.003,1.237,6.196
4500001,6.104,0.003,1.241,7.078
4500001,6.174,0.003,1.236,9.454
4500001,6.319,0.018,1.614,6.249
4500001,6.132,0.003,1.216,6.168
4500001,6.317,0.019,1.554,6.179
4500001,6.314,0.003,1.192,9.717
5000001,7.195,0.003,2.056,7.048
5000001,7.275,0.003,1.369,10.689
5000001,7.26,0.005,1.663,7.061
5000001,11.68,0.002,1.361,13.335
5000001,7.15,0.003,1.361,8.981
5000001,7.175,0.005,1.563,7.039
5000001,7.149,0.003,1.368,7.004
5000001,7.248,0.005,1.702,7.076
5000001,7.105,0.003,1.412,6.962
5000001,7.189,0.004,1.722,7.172
5000001,7.087,0.004,1.386,8.304
5000001,7.038,0.003,1.399,6.919
5000001,7.159,0.005,1.381,12.815
5000001,7.373,0.004,1.473,12.846
5000001,7.168,0.005,1.337,7.036
5000001,7.662,0.004,1.489,7.922
5000001,7.148,0.004,1.642,7.062
5000001,7.084,0.004,1.456,6.959
5000001,7.144,0.004,1.553,7.135
5000001,7.134,0.004,1.624,7.019
5000001,7.233,0.005,1.766,7.017
5000001,7.049,0.004,1.441,6.937
5000001,7.232,0.006,1.731,7.044
5000001,7.198,0.003,1.497,7.102
5500001,8.866,0.004,1.882,7.761
5500001,8.203,0.003,1.831,7.629
5500001,8.253,0.005,1.754,9.302
5500001,13.004,0.001,1.825,14.815
5500001,8.15,0.004,1.738,7.658
5500001,8.204,0.005,1.730,14.243
5500001,8.179,0.003,1.561,7.681
5500001,8.234,0.006,1.901,14.334
5500001,8.12,0.004,1.541,7.64
5500001,8.183,0.003,1.499,7.592
5500001,8.156,0.003,1.670,7.664
5500001,7.928,0.004,1.636,11.693
5500001,8.477,0.004,1.592,7.628
5500001,8.283,0.004,1.889,7.612
5500001,8.03,0.006,1.528,7.627
5500001,9.369,0.004,1.811,9.016
5500001,8.023,0.004,1.895,7.694
5500001,7.973,0.004,1.629,7.668
5500001,8.187,0.004,1.698,7.708
5500001,8.027,0.003,1.784,7.704
