nVectors,memcpyOut,plan,execu,memcpyIn
1,0.040,0.002,0.087,0.026,
500000,1.154,0.002,0.069,1.334,
1000000,1.614,0.002,0.091,1.816,
1500000,2.222,0.003,0.108,2.485,
2000000,2.797,0.002,0.149,3.160,
2500000,3.398,0.002,0.168,3.826,
3000000,4.044,0.007,0.192,4.500,
3500000,4.660,0.002,0.211,5.166,
4000000,5.285,0.002,0.249,5.835,
4500000,5.911,0.002,0.271,6.517,
5000000,6.518,0.002,0.293,7.237,
5500000,7.190,0.002,0.334,7.881,
6000000,7.807,0.002,0.357,8.554,
6500000,8.381,0.002,0.376,9.242,
7000000,9.013,0.003,0.400,9.963,
7500000,9.717,0.002,0.441,10.627,
8000000,10.474,0.002,0.463,11.324,
8500000,11.202,0.002,0.483,12.014,
9000000,11.988,0.002,0.540,12.751,
9500000,12.628,0.002,0.552,12.968,
10000000,13.281,0.002,0.566,14.063,
10500000,13.954,0.002,0.587,14.630,
11000000,14.629,0.002,0.635,15.325,
11500000,15.289,0.002,0.659,15.975,
12000000,15.939,0.002,0.677,22.653,
12500000,16.681,0.002,0.728,17.421,
13000000,17.356,0.002,0.739,18.121,
13500000,18.012,0.002,0.761,18.759,
14000000,18.665,0.002,0.784,19.652,
14500000,19.525,0.002,0.825,20.186,
15000000,20.194,0.002,0.840,21.106,
15500000,21.075,0.002,0.876,21.528,
16000000,21.391,0.002,0.905,22.434,
16500000,21.988,0.002,0.935,22.888,
17000000,22.738,0.002,0.949,23.576,
17500000,23.377,0.002,0.969,24.288,
18000000,24.012,0.002,1.003,24.909,
18500000,24.640,0.002,1.028,25.642,
19000000,25.287,0.002,1.046,26.295,
19500000,25.972,0.002,1.067,27.037,
20000000,26.613,0.002,1.108,27.232,
20500000,27.299,0.002,1.127,28.256,
21000000,27.942,0.002,1.155,30.928,
21500000,28.659,0.002,1.191,29.509,
22000000,29.270,0.002,1.213,30.240,
22500000,29.938,0.002,1.243,30.937,
23000000,30.583,0.002,1.260,31.619,
23500000,31.222,0.003,1.295,32.292,
24000000,31.844,0.002,1.311,32.997,
24500000,32.581,0.002,1.339,33.709,
25000000,33.112,0.002,1.371,34.331,
25500000,33.837,0.002,1.386,34.966,
26000000,34.485,0.002,1.405,35.704,
26500000,35.129,0.002,1.436,36.387,
27000000,35.785,0.002,1.479,37.079,
27500000,36.473,0.002,1.504,37.771,
28000000,37.143,0.002,1.518,38.425,
28500000,37.783,0.002,1.554,39.179,
29000000,38.306,0.002,1.578,39.800,
29500000,39.072,0.002,1.591,40.526,
30000000,39.685,0.002,1.616,41.337,
30500000,40.702,0.002,1.649,42.040,
31000000,41.454,0.002,1.671,42.082,
31500000,41.695,0.002,1.699,43.074,
32000000,42.297,0.002,1.739,43.747,
32500000,42.959,0.002,1.765,44.462,
33000000,43.597,0.002,1.781,45.077,
33500000,44.406,0.003,1.808,45.813,
34000000,44.941,0.002,1.847,46.463,
34500000,45.651,0.002,1.898,47.099,
35000000,46.288,0.002,1.874,47.797,
35500000,46.944,0.002,1.898,48.501,
36000000,47.680,0.002,1.939,49.212,
36500000,48.498,0.002,1.950,49.881,
37000000,48.950,0.002,1.983,50.525,
37500000,49.672,0.003,2.022,51.234,
38000000,50.216,0.003,2.051,51.929,
38500000,51.150,0.002,2.060,52.728,
39000000,51.516,0.003,2.084,53.497,
39500000,52.423,0.002,2.121,54.042,
40000000,52.906,0.002,2.146,54.679,
40500000,53.364,0.002,2.164,55.682,
41000000,54.673,0.002,2.191,56.083,
41500000,54.857,0.002,2.212,56.205,
42000000,55.513,0.002,2.250,57.145,
42500000,56.120,0.002,2.261,57.859,
43000000,56.806,0.002,2.301,58.628,
43500000,57.402,0.003,2.328,59.414,
44000000,58.067,0.002,2.353,59.968,
44500000,58.679,0.002,2.394,60.612,
45000000,59.397,0.002,2.420,61.446,
45500000,59.983,0.002,2.423,61.973,
46000000,60.613,0.002,2.458,62.671,
46500000,61.287,0.002,2.495,63.304,
47000000,62.008,0.002,2.500,64.794,
47500000,63.936,0.002,2.523,64.892,
48000000,63.320,0.002,2.556,65.419,
48500000,63.990,0.002,2.591,66.381,
49000000,65.030,0.002,2.605,67.060,
49500000,65.218,0.002,2.633,67.503,
50000000,65.983,0.002,2.666,68.349,
50500000,66.635,0.002,2.698,68.865,
51000000,67.319,0.002,2.703,69.530,
51500000,67.912,0.002,2.720,70.227,
52000000,68.519,0.002,2.770,70.840,
52500000,69.315,0.002,2.778,71.328,
53000000,71.927,0.002,2.809,72.087,
53500000,70.583,0.002,2.853,72.787,
54000000,71.149,0.002,2.874,73.530,
54500000,71.816,0.002,2.898,74.136,
55000000,72.540,0.002,2.915,75.092,
55500000,73.073,0.002,2.954,77.201,
56000000,74.468,0.002,2.977,76.316,
56500000,74.490,0.002,3.000,76.872,
57000000,75.096,0.002,3.031,77.528,
57500000,75.724,0.002,3.048,80.341,
58000000,76.478,0.002,3.074,78.890,
58500000,77.156,0.004,3.089,79.618,
59000000,77.755,0.002,3.135,80.468,
59500000,78.388,0.002,3.156,81.500,
60000000,79.230,0.002,3.175,81.895,
60500000,80.459,0.002,3.211,87.391,
61000000,80.251,0.003,3.246,83.063,
61500000,80.957,0.002,3.259,83.800,
62000000,81.994,0.002,3.278,85.212,
62500000,82.479,0.002,3.313,85.311,
63000000,83.155,0.002,3.335,85.927,
63500000,83.563,0.002,3.355,85.952,
64000000,84.410,0.002,3.381,87.114,
64500000,84.926,0.002,3.409,88.062,
65000000,85.632,0.003,3.439,88.295,
65500000,86.303,0.003,3.464,89.065,
66000000,86.843,0.002,3.502,90.488,
1,0.167,0.002,0.048,0.020,
500000,1.024,0.002,0.069,0.848,
1000000,1.612,0.002,0.089,1.521,
1500000,2.220,0.002,0.110,2.199,
2000000,2.822,0.002,0.150,2.866,
2500000,3.447,0.002,0.175,3.557,
3000000,4.033,0.002,0.190,4.228,
3500000,4.655,0.002,0.209,4.883,
4000000,5.307,0.002,0.251,5.559,
4500000,5.919,0.003,0.270,6.296,
5000000,6.594,0.002,0.291,6.924,
5500000,7.167,0.002,0.332,7.585,
6000000,7.748,0.003,0.351,8.278,
6500000,8.374,0.002,0.376,8.990,
7000000,9.022,0.002,0.396,9.636,
7500000,9.674,0.002,0.438,10.380,
8000000,10.457,0.002,0.461,10.970,
8500000,11.063,0.002,0.484,11.629,
9000000,11.783,0.002,0.518,12.333,
9500000,12.494,0.002,0.545,13.029,
10000000,13.269,0.002,0.568,13.702,
10500000,13.948,0.002,0.592,14.358,
11000000,14.628,0.004,0.633,15.041,
11500000,15.317,0.002,0.655,15.734,
12000000,15.990,0.003,0.676,16.367,
12500000,16.628,0.002,0.716,17.257,
13000000,17.570,0.002,0.738,17.769,
13500000,17.958,0.002,0.759,18.716,
14000000,18.896,0.002,0.786,19.101,
14500000,19.345,0.002,0.819,19.758,
15000000,19.988,0.003,0.839,20.428,
15500000,20.687,0.002,0.862,21.087,
16000000,21.315,0.002,0.903,21.766,
16500000,21.968,0.002,0.932,22.520,
17000000,22.641,0.002,0.948,23.148,
17500000,23.285,0.003,0.969,23.856,
18000000,23.928,0.002,1.007,24.504,
18500000,24.525,0.002,1.025,25.235,
19000000,25.152,0.002,1.048,25.842,
19500000,25.877,0.002,1.066,26.585,
20000000,26.576,0.002,1.106,27.169,
20500000,27.333,0.002,1.131,27.879,
21000000,27.904,0.002,1.151,28.485,
21500000,28.585,0.002,1.192,29.192,
22000000,29.164,0.002,1.216,29.936,
22500000,29.782,0.002,1.237,30.563,
23000000,30.563,0.003,1.253,31.328,
23500000,31.202,0.002,1.297,32.200,
24000000,31.755,0.002,1.310,32.639,
24500000,32.321,0.002,1.331,33.276,
25000000,33.026,0.002,1.373,33.970,
25500000,33.729,0.002,1.395,34.598,
26000000,34.438,0.002,1.402,35.263,
26500000,35.067,0.002,1.431,36.054,
27000000,35.748,0.002,1.475,36.669,
27500000,36.410,0.002,1.498,37.291,
28000000,37.085,0.002,1.519,38.024,
28500000,37.577,0.002,1.564,38.710,
29000000,38.258,0.002,1.576,39.356,
29500000,38.961,0.002,1.592,40.216,
30000000,39.886,0.002,1.604,40.991,
30500000,40.637,0.002,1.642,41.413,
31000000,40.873,0.002,1.667,42.095,
31500000,41.605,0.002,1.697,42.743,
32000000,42.235,0.002,1.731,43.412,
32500000,42.902,0.002,1.758,44.045,
33000000,43.550,0.002,1.776,44.766,
33500000,44.205,0.002,1.802,45.598,
