nVectors,memcpyOut,plan,execu,memcpyIn
1,0.434,0.005,1.482,0.209,
500001,1.431,0.001,0.314,2.808,
1000001,2.122,0.001,0.349,2.299,
1500001,2.144,0.001,0.558,2.835,
2000001,2.917,0.001,0.539,3.380,
2500001,3.433,0.001,0.697,3.796,
3000001,3.918,0.002,0.757,4.421,
3500001,4.718,0.002,0.766,4.961,
4000001,5.377,0.001,0.859,5.672,
4500001,6.025,0.002,1.012,6.070,
5000001,6.711,0.002,1.089,6.623,
5500001,7.265,0.002,1.134,7.091,
6000001,7.883,0.002,1.233,6.901,
6500001,8.511,0.001,1.287,8.271,
7000001,9.081,0.001,1.377,8.662,
7500001,10.134,0.001,1.433,9.213,
8000001,10.315,0.001,1.536,9.702,
8500001,10.352,0.001,0.914,10.348,
9000001,11.601,0.001,1.674,10.874,
9500001,12.214,0.002,1.756,11.337,
10000001,12.038,0.001,0.988,11.890,
10500001,13.392,0.000,1.018,12.363,
11000001,14.061,0.000,1.054,13.016,
11500001,13.796,0.001,1.095,13.463,
12000001,15.246,0.001,2.097,13.949,
12500001,15.890,0.002,2.202,14.500,
13000001,16.485,0.002,2.279,15.051,
13500001,16.057,0.001,1.285,15.612,
14000001,17.850,0.000,1.325,16.134,
14500001,18.410,0.001,1.359,16.642,
15000001,19.044,0.001,1.429,17.093,
15500001,18.439,0.000,1.386,24.921,
16000001,19.012,0.000,1.433,14.806,
16500001,19.544,0.000,1.460,14.994,
17000001,19.607,0.001,1.501,15.827,
17500001,19.810,0.002,2.959,20.405,
18000001,20.196,0.002,3.028,20.953,
18500001,20.729,0.001,1.949,21.491,
19000001,21.822,0.001,1.988,22.016,
19500001,24.936,0.001,3.256,22.563,
20000001,24.553,0.000,2.109,23.096,
20500001,26.176,0.001,2.137,23.603,
21000001,23.202,0.000,2.177,24.212,
21500001,24.807,0.000,2.172,21.894,
22000001,23.528,0.000,2.272,25.233,
22500001,24.545,0.001,2.311,25.822,
23000001,25.187,0.001,2.360,26.370,
23500001,26.710,0.001,2.506,24.496,
24000001,26.677,0.002,3.941,27.438,
24500001,28.282,0.001,2.543,25.695,
25000001,27.944,0.001,4.080,28.517,
25500001,27.537,0.000,2.596,26.647,
26000001,31.069,0.002,4.188,26.459,
26500001,31.393,0.002,4.267,26.948,
27000001,31.568,0.001,2.670,27.716,
27500001,32.257,0.000,2.712,27.459,
28000001,32.152,0.000,2.760,27.569,
28500001,32.288,0.001,2.842,26.920,
29000001,32.754,0.001,2.897,31.508,
29500001,34.359,0.001,4.712,29.482,
30000001,33.838,0.000,3.055,30.516,
30500001,35.208,0.001,3.099,31.832,
31000001,35.204,0.001,3.070,31.867,
31500001,36.385,0.001,3.192,32.946,
32000001,34.688,0.000,5.173,32.666,
32500001,36.821,0.000,3.293,32.340,
33000001,38.440,0.002,5.269,34.211,
33500001,36.918,0.001,3.349,33.400,
34000001,40.547,0.001,3.387,35.979,
34500001,40.479,0.002,5.528,34.636,
35000001,41.306,0.001,5.642,36.199,
35500001,40.063,0.002,5.668,37.656,
36000001,42.191,0.002,5.725,38.255,
36500001,44.151,0.002,5.771,36.621,
37000001,43.514,0.002,5.842,39.066,
37500001,42.940,0.001,3.675,39.564,
38000001,44.912,0.002,6.045,40.477,
