device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,1,1,1,200,1072.93,139.641,0.004,108.063,11.164,1.013
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,2,1,1,200,1070.81,140.122,0.003,55.068,8.404,0.845
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,4,1,1,200,1066.88,139.72,0.003,28.399,7.302,0.861
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,8,1,1,200,1067.99,139.71,0.003,15.128,7.31,0.84
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,16,1,1,200,1067.14,140.199,0.003,9.249,7.378,0.852
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,32,1,1,200,1067.86,140.056,0.003,8.606,7.321,0.849
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,64,1,1,200,1067.88,139.761,0.003,8.592,7.294,0.855
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,128,1,1,200,1069.86,140.036,0.003,8.655,7.311,0.833
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,256,1,1,200,1070.05,139.733,0.003,8.785,7.309,0.854
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,512,1,1,200,1068.04,139.6,0.003,10.483,7.303,0.834
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,1024,1,1,200,1066.54,139.58,0.003,-1,-1,-1
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,1,1,1,200,1071.87,139.441,0.004,107.853,10.847,0.831
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,2,1,1,200,1066.02,139.552,0.003,55.174,7.34,0.841
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,4,1,1,200,1066.55,140.214,0.003,28.414,7.369,0.845
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,8,1,1,200,1066.78,139.603,0.003,15.101,7.325,0.849
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,16,1,1,200,1065.82,139.579,0.002,9.274,7.331,0.843
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,32,1,1,200,1068.16,139.582,0.002,8.599,7.344,0.841
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,64,1,1,200,1065.78,139.565,0.003,8.603,7.351,0.845
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,128,1,1,200,1067.86,133.816,0.003,8.574,7.342,0.837
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,256,1,1,200,1067.02,139.612,0.003,8.76,7.324,0.853
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,512,1,1,200,1065.99,139.523,0.002,10.457,7.338,0.844
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,1024,1,1,200,1068.51,139.616,0.003,-1,-1,-1
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,1,1,1,200,1071.01,139.4,0.003,107.981,8.386,0.84
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,2,1,1,200,1069.47,139.516,0.003,54.886,7.804,1.041
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,4,1,1,200,1122.09,107.278,0.003,28.406,6.535,0.779
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,8,1,1,200,1067.21,107.985,0.003,15.08,6.502,0.783
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,16,1,1,200,1065.62,98.869,0.002,9.226,6.298,0.786
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,32,1,1,200,1065.2,99.726,0.002,8.526,6.374,0.779
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,64,1,1,200,1064.31,99.692,0.003,8.519,6.347,0.852
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,128,1,1,200,1065.12,99.723,0.002,8.578,6.36,0.794
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,256,1,1,200,1068.06,100.007,0.002,8.693,6.383,0.813
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,512,1,1,200,1065.27,99.755,0.002,10.425,6.351,0.831
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,1024,1,1,200,1066.12,99.691,0.003,-1,-1,-1
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,1,1,1,200,1068.88,139.774,0.003,107.996,7.954,0.856
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,2,1,1,200,1069.74,139.69,0.003,55.229,7.947,0.857
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,4,1,1,200,1070.71,140.026,0.003,28.427,7.948,0.859
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,8,1,1,200,1068.88,139.638,0.003,15.134,7.928,0.849
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,16,1,1,200,1069.81,139.81,0.002,9.288,7.927,0.871
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,32,1,1,200,1068.52,139.609,0.003,8.582,7.928,0.861
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,64,1,1,200,1071.07,139.691,0.003,8.59,8.227,0.854
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,128,1,1,200,1069.04,139.66,0.002,8.562,7.94,0.858
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,256,1,1,200,1068.12,139.607,0.002,8.768,7.94,0.846
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,512,1,1,200,1070.69,139.745,0.003,10.504,7.954,0.844
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,1024,1,1,200,1068.42,144.409,0.003,-1,-1,-1
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,1,1,1,200,1069.29,139.641,0.003,108.055,7.37,0.834
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,2,1,1,200,1070.12,139.479,0.003,55.125,7.312,0.844
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,4,1,1,200,1069.23,139.667,0.002,28.458,7.316,0.843
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,8,1,1,200,1070.08,139.568,0.003,15.096,7.301,0.834
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,16,1,1,200,1069.82,140.16,0.003,9.285,7.3,0.838
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,32,1,1,200,1069.39,139.532,0.002,8.588,7.303,0.837
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,64,1,1,200,1070.92,139.531,0.002,8.662,7.31,0.845
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,128,1,1,200,1069.5,139.541,0.002,8.596,7.292,0.833
Tesla K20Xm,Uux3a,ONE_D,2.62144e+06,256,1,1,200,1070.02,139.617,0.002,8.761,7.302,0.829
