device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,32,1,1,711,4786.52,498.465,0.004,1.082,0.004,2.081
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,64,1,1,711,4776.55,499.199,0.004,0.704,0.003,2.006
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,128,1,1,711,4776.64,498.878,0.003,0.554,0.003,2.125
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,256,1,1,711,4777.86,498.876,0.004,0.387,0.003,2.106
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,512,1,1,711,4775.81,499.074,0.004,0.38,0.003,2.113
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,1024,1,1,711,4776.21,498.711,0.003,0.401,0.003,2.155
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4776.02,243.238,0.003,25.818,0.003,2.109
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,2,1,1,711,4774.89,242.713,0.003,13.039,0.004,2.097
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,4,1,1,711,4774.73,243.721,0.003,6.659,0.003,2.098
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,8,1,1,711,4774.48,242.913,0.003,3.489,0.002,2.104
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,16,1,1,711,4776.81,243.671,0.003,1.902,0.003,2.076
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,32,1,1,711,4782.38,242.773,0.003,1.103,0.002,2.097
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,64,1,1,711,4775.31,243.599,0.001,0.68,0.003,2.117
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,128,1,1,711,4774.74,242.833,0.003,0.481,0.002,2.081
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,256,1,1,711,4774.47,243.638,0.002,0.402,0.003,2.15
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,512,1,1,711,4775.43,242.863,0.002,0.375,0.003,2.075
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,1024,1,1,711,4774.1,243.292,0.003,0.391,0.002,2.056
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4779.56,243.504,0.003,25.823,0.003,2.1
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,2,1,1,711,4777.75,243.923,0.003,13.039,0.003,2.112
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,4,1,1,711,4779.46,243.584,0.002,6.704,0.003,2.097
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,8,1,1,711,4785.73,244.39,0.003,3.464,0.003,2.111
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,16,1,1,711,4776.23,243.518,0.002,1.9,0.003,2.07
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,32,1,1,711,4778.02,244.214,0.004,1.105,0.003,2.103
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,64,1,1,711,4776.34,243.645,0.003,0.679,0.002,2.116
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,128,1,1,711,4776.65,244.391,0.002,0.5,0.003,2.099
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,256,1,1,711,4777.63,243.382,0.003,0.383,0.002,2.096
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,512,1,1,711,4777.15,243.961,0.003,0.369,0.002,2.118
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,1024,1,1,711,4777.58,243.554,0.003,0.414,0.002,2.086
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4782.39,500.42,0.004,25.81,0.003,2.086
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,2,1,1,711,4779.3,500.411,0.003,13.065,0.003,2.037
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,4,1,1,711,4779.18,500.336,0.003,6.665,0.003,2.093
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,8,1,1,711,4793.89,500.114,0.003,3.477,0.003,2.229
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,16,1,1,711,4779.2,500.718,0.004,1.882,0.004,2.081
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,32,1,1,711,4780.23,500.022,0.004,1.107,0.004,2.105
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,64,1,1,711,4780.28,500.613,0.003,0.686,0.003,2.04
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,128,1,1,711,4780.12,500.563,0.003,0.508,0.003,2.12
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,256,1,1,711,4779.15,500.555,0.002,0.389,0.002,2.108
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,512,1,1,711,4780.92,499.826,0.003,0.403,0.004,2.092
Tesla K20Xm,Uux3a,ONE_D,9.33233e+06,1024,1,1,711,4779.56,499.867,0.004,0.397,0.003,2.21
