nVectors,memcpyOut,plan,execu,memcpyIn
24,0.008,0.064,0.002,0
1200000,0.973,5.364,2.906,0.914
2400000,1.603,6.711,5.821,1.846
3600000,2.14,12.916,9.445,2.64
4800000,2.746,15.48,12.679,3.014
6000000,3.984,2.131,19.412,3.168
7200000,4.107,22.499,19.822,4.347
8400000,5.059,24.407,23.13,4.878
9600000,5.86,27.697,28.435,5.739
10800000,6.694,32.437,31.509,6.656
12000000,7.409,1.411,44.941,7.463
13200000,7.845,38.059,39.944,8.553
14400000,9.26,42.43,42.756,9.29
15600000,10.065,44.251,47.473,10.084
16800000,10.705,47.751,49.726,11.06
18000000,11.358,51.386,56.85,11.736
19200000,12.48,54.077,59.477,12.419
20400000,13.24,150.341,102.081,13.096
21600000,14.413,61.747,68.634,13.837
22800000,14.709,150.861,116.203,14.936
24000000,15.802,2.423,95.224,15.542
25200000,16.475,73.612,81.093,16.302
26400000,17.402,72.879,83.219,17.121
27600000,17.833,155.278,148.514,18.059
28800000,18.888,80.773,91.266,18.862
30000000,19.733,83.982,98.05,19.52
31200000,20.579,87.476,99.165,20.279
32400000,20.93,89.294,103.858,21.261
33600000,21.597,92.767,104.713,21.919
34800000,22.724,167.036,194.247,22.737
36000000,23.503,99.195,119.518,23.264
37200000,24.055,166.137,209.965,24.337
38400000,24.945,104.906,134.891,25.086
39600000,25.752,108.237,131.87,25.801
40800000,26.526,200.717,223.104,26.6
42000000,27.509,114.033,139.007,27.067
43200000,27.799,118.105,151.087,28.199
44400000,29.321,146.491,347.659,28.831
45600000,29.613,201.482,250.975,29.746
46800000,30.865,127.519,155.942,30.363
48000000,30.939,1.663,187.47,31.198
49200000,31.921,148.054,394.999,31.991
50400000,32.78,137.722,165.051,32.617
51600000,33.686,148.482,413.916,33.512
52800000,34.175,144.209,171.07,34.55
54000000,35.221,2.958,223.018,35.094
55200000,35.775,207.8,327.787,35.748
56400000,36.579,151.719,348.515,36.323
57600000,37.109,157.103,190.821,37.613
58800000,38.314,157.92,193.695,38.415
60000000,39.086,161.391,197.597,38.896
61200000,39.86,314.301,392.104,39.532
62400000,40.32,175.799,203.476,40.667
63600000,40.937,161.5,520.203,41.369
64800000,42.36,181.693,211.463,41.938
66000000,42.741,184.972,229.068,42.558
67200000,43.734,187.699,216.542,43.321
68400000,44.045,323.116,437.223,44.324
69600000,45.032,226.557,404.62,45.387
70800000,46.027,165.284,466.791,45.775
72000000,46.847,201.356,253.157,46.341
73200000,47.449,169.201,589.581,47.595
74400000,48.154,228.436,433.794,48.198
75600000,48.906,212.098,250.269,49.316
76800000,51.388,216.792,271.773,49.414
78000000,50.311,217.015,269.84,50.751
79200000,51.384,226.496,269.075,51.24
80400000,52.101,171.03,663.531,52
81600000,52.827,301.303,476.471,52.963
82800000,53.172,332.643,536.403,53.514
84000000,54.048,238.158,284.424,54.475
85200000,55.372,174.861,701.018,55.176
86400000,55.899,246.995,293.678,56.159
87600000,56.954,178.04,715.551,56.554
88800000,57.168,238.941,715.56,57.478
90000000,58.137,255.67,317.838,58.31
91200000,59.098,306.356,541.807,58.711
92400000,59.914,260.064,320.334,59.878
93600000,60.628,266.205,321.142,60.501
94800000,61.383,183.518,791.749,61.255
96000000,62.094,3.091,391.912,61.831
97200000,62.91,275.457,330.772,62.608
98400000,63.382,246.093,801.883,63.784
99600000,65.106,185.672,769.058,64.272
100800000,65.145,286.69,351.396,64.897
102000000,66.106,255.587,584.116,65.81
103200000,66.353,247.515,849.789,66.634
104400000,66.886,352.631,687.666,67.81
105600000,68.324,297.56,386.565,67.954
106800000,69.005,192.951,905.046,68.717
108000000,69.851,1.811,449.062,69.718
109200000,70.071,307.799,404.55,70.335
110400000,71.058,324.091,673.352,71.644
111600000,71.81,360.395,740.05,71.722
112800000,72.634,254.711,719.738,72.547
114000000,73.717,262.849,665.724,73.649
115200000,74.103,325.479,481.53,74.569
116400000,74.732,200.708,946.658,75.776
117600000,75.421,334.656,472.35,75.572
118800000,76.456,335.414,470.145,76.766
120000000,77.156,336.48,483.608,77.127
24,0.001,0.02,0.001,0
1200000,0.42,3.167,2.911,0.406
2400000,0.836,6.209,5.785,0.763
3600000,1.153,9.29,9.385,1.309
4800000,1.451,12.328,12.576,1.886
6000000,1.787,0.202,19.617,2.394
7200000,2.42,18.557,19.953,2.951
8400000,2.583,21.802,22.999,3.527
9600000,2.993,24.585,28.359,4.082
10800000,3.422,28.456,31.595,4.645
12000000,3.895,0.264,44.591,5.165
13200000,4.362,34.745,40.042,5.804
14400000,4.812,39.09,42.586,6.379
15600000,5.233,42.235,47.421,6.955
16800000,5.722,45.392,49.62,7.488
18000000,6.173,48.61,56.873,8.098
19200000,6.64,51.954,59.53,8.659
20400000,7.039,15.859,103.042,9.198
21600000,7.556,59.083,68.888,9.815
22800000,13.335,19.182,116.479,14.951
24000000,12.59,0.417,94.682,15.521
25200000,16.799,66.702,80.669,11.581
26400000,13.595,69.983,82.785,12.149
27600000,14.759,21.367,148.49,12.62
28800000,15.702,76.23,91.523,13.23
30000000,16.024,79.094,97.324,13.843
31200000,16.917,82.772,98.984,14.502
32400000,17.707,86.641,103.693,15.05
33600000,21.643,94.909,104.445,21.902
34800000,22.579,26.912,193.955,22.766
36000000,23.47,95.337,119.154,23.302
37200000,24.035,28.764,209.451,24.325
38400000,24.903,102.61,135.12,25.119
39600000,25.702,104.523,131.264,25.726
40800000,26.431,31.504,221.859,26.7
42000000,27.533,111.307,138.675,27.083
43200000,27.823,114.128,144.043,28.114
44400000,29.165,34.275,348.565,28.781
45600000,29.569,35.167,251.156,29.701
46800000,30.558,124.186,156.328,30.345
48000000,30.942,0.435,188.445,31.231
49200000,31.975,37.935,390.856,31.903
50400000,32.856,133.87,164.103,32.599
51600000,33.776,39.802,412.557,33.414
52800000,34.367,139.693,169.917,34.366
54000000,35.07,0.588,222.987,34.992
55200000,35.742,42.538,309.345,35.775
56400000,36.591,43.527,347,36.379
57600000,37.069,152.763,192.883,37.597
58800000,38.072,155.471,193.947,38.22
60000000,38.88,158.294,197.561,38.794
61200000,39.623,47.251,387.701,39.584
62400000,40.29,164.916,203.698,40.893
63600000,41.021,49.479,519.01,41.425
64800000,42.383,178.283,212.122,41.929
66000000,42.761,181.689,228.033,42.523
67200000,43.786,185.209,219.013,43.374
68400000,44.014,52.707,435.565,44.319
69600000,45.056,53.628,405.228,45.375
70800000,45.951,54.546,466.984,45.808
72000000,46.91,198.833,254.14,46.511
73200000,47.391,56.385,588.261,47.42
74400000,48.122,57.285,434.134,48.147
75600000,48.859,208.632,250.955,49.265
76800000,49.83,211.218,272.234,49.358
78000000,50.233,214.907,269.725,50.614
79200000,51.383,217.917,270.04,51.29
80400000,52.29,61.932,661.962,51.926
81600000,52.843,62.902,476.665,52.883
82800000,53.205,63.751,533.597,53.445
84000000,54.158,231.114,282.796,54.329
85200000,55.374,65.558,696.977,54.878
86400000,55.805,238.439,293.515,56.088
87600000,56.968,67.439,716.094,56.574
88800000,57.126,68.353,720.021,57.205
90000000,58.095,247.752,317.337,58.121
91200000,59.021,70.255,540.207,58.51
92400000,59.843,254.011,319.362,59.895
93600000,60.634,257.584,322.224,60.472
94800000,61.414,73.066,791.713,61.045
96000000,62.604,0.679,392.366,61.96
97200000,62.917,267.235,329.046,62.409
98400000,63.268,75.657,803.703,63.826
99600000,65.054,76.685,767.487,64.252
100800000,65.289,277.388,352.635,64.842
102000000,66.651,78.784,582.541,65.772
103200000,66.378,79.328,847.64,66.666
104400000,67.075,80.349,686.986,67.64
105600000,68.359,290.497,388.269,68.224
106800000,69.106,82.327,904.68,68.787
108000000,69.904,0.598,449.505,69.649
109200000,70.28,300.577,404.226,70.885
110400000,71.249,84.867,673.062,71.732
111600000,72.09,85.99,735.873,71.741
112800000,73.51,87.146,717.535,72.472
114000000,74.036,87.707,664.24,73.544
115200000,74.513,317.342,483.41,74.488
116400000,75.252,89.559,946.661,75.584
117600000,76.588,323.974,471.747,75.434
118800000,76.352,326.994,470.953,76.684
120000000,77.798,330.657,482.274,77.37
24,0.001,0.02,0.001,0
1200000,0.428,3.157,2.908,0.4
2400000,0.847,6.246,5.8,0.766
3600000,1.151,9.272,9.408,1.312
4800000,1.445,12.344,12.604,1.854
6000000,1.785,0.182,19.35,2.399
7200000,2.391,18.52,19.918,2.939
8400000,2.563,21.615,22.923,3.511
9600000,2.985,24.6,28.22,4.093
10800000,3.439,28.564,31.624,4.687
12000000,3.888,0.267,45.428,5.174
13200000,4.377,34.797,40.146,5.833
14400000,4.853,38.317,43.154,6.407
15600000,5.248,42.266,47.884,6.989
16800000,5.718,45.683,50.326,7.534
18000000,6.171,48.565,57.439,8.163
19200000,6.627,52.008,60.422,8.694
20400000,7.032,15.875,103.032,9.226
21600000,7.6,59.485,70.267,9.835
22800000,13.662,19.278,116.331,14.905
24000000,12.608,0.411,94.613,15.61
25200000,16.745,66.429,80.656,11.566
26400000,13.579,69.513,82.778,12.136
27600000,14.704,21.389,148.018,12.631
28800000,15.377,76.004,91.301,13.216
30000000,16.036,79.085,97.153,13.852
31200000,16.832,82.771,98.952,14.476
32400000,17.705,86.581,103.665,15.042
33600000,21.681,94.836,104.868,21.972
34800000,22.927,27.09,193.665,22.724
36000000,23.476,95.306,119.174,23.298
37200000,24.067,28.769,209.179,24.355
38400000,24.894,101.627,135.182,24.981
39600000,25.8,104.657,131.271,25.709
40800000,26.475,31.536,221.847,26.63
42000000,27.515,111.405,138.789,27.143
43200000,28.231,114.121,144.004,28.207
44400000,29.089,34.333,348.593,28.79
45600000,29.621,35.176,250.173,29.622
46800000,30.67,124.253,156.39,30.347
48000000,30.892,0.433,188.481,31.226
49200000,31.964,37.99,391.625,31.994
50400000,32.799,133.709,164.093,32.637
51600000,33.677,39.802,412.07,33.415
52800000,34.245,139.802,169.949,34.47
54000000,35.071,0.582,222.93,35.027
55200000,35.729,42.54,310.293,35.856
56400000,36.624,43.483,347.008,36.391
57600000,37.043,152.723,192.048,37.79
58800000,38.067,155.411,194.083,38.161
60000000,38.927,158.242,197.394,38.745
61200000,39.975,47.277,388.283,39.535
62400000,40.184,164.948,203.431,40.55
63600000,40.993,49.222,519.485,41.437
64800000,42.316,178.709,211.911,42.233
66000000,43.071,181.63,225.62,42.611
67200000,43.879,184.829,217.211,43.371
68400000,44.223,52.723,434.97,44.21
69600000,45.002,53.676,404.902,45.352
70800000,46.035,54.549,467.068,45.86
72000000,46.945,197.925,253.824,46.478
73200000,47.447,56.418,588.111,47.795
74400000,48.372,57.255,433.548,48.059
75600000,48.905,208.126,249.39,49.286
