nVectors,memcpyOut,plan,execu,memcpyIn
1,0.198,43.086,0.164,0.072,
1,0.065,0.279,0.067,0.063,
1,0.108,0.326,0.083,0.044,
1,0.050,0.311,0.094,0.045,
1,0.051,0.322,0.073,0.044,
1,0.132,0.328,0.077,0.043,
1,0.073,0.285,0.062,0.039,
1,0.063,0.252,0.082,0.035,
1,0.046,0.211,0.071,0.042,
1,0.064,0.285,0.091,0.038,
1,0.081,0.303,0.072,0.049,
1,0.057,0.331,0.071,0.037,
1,0.045,0.253,0.089,0.041,
1,0.123,0.282,0.079,0.041,
1,0.059,0.216,0.069,0.035,
1,0.037,0.246,0.074,0.037,
1,0.121,0.322,0.071,0.037,
1,0.119,0.273,0.072,0.038,
1,0.040,0.242,0.074,0.030,
1,0.072,0.272,0.076,0.041,
1,0.126,0.362,0.060,0.036,
1,0.064,0.334,0.078,0.037,
1,0.050,0.275,0.067,0.037,
1,0.043,0.279,0.080,0.038,
1,0.069,0.287,0.084,0.036,
1,0.045,0.200,0.073,0.039,
1,0.032,0.241,0.066,0.037,
1,0.042,0.227,0.059,0.035,
1,0.042,0.238,0.073,0.034,
1,0.077,0.315,0.063,0.038,
1,0.048,0.217,0.071,0.035,
1,0.038,0.212,0.071,0.042,
1,0.047,0.209,0.073,0.038,
1,0.132,0.277,0.077,0.038,
1,0.103,0.298,0.061,0.047,
1,0.041,0.203,0.078,0.040,
1,0.055,0.234,0.063,0.036,
1,0.038,0.211,0.064,0.041,
1,0.046,0.234,0.061,0.039,
1,0.044,0.235,0.076,0.044,
1,0.035,0.199,0.062,0.040,
1,0.044,0.234,0.050,0.044,
1,0.038,0.231,0.067,0.039,
1,0.036,0.250,0.108,0.038,
1,0.039,0.198,0.089,0.031,
1,0.038,0.209,0.057,0.034,
1,0.034,0.234,0.099,0.047,
1,0.105,0.352,0.105,0.038,
1,0.077,0.263,0.075,0.036,
1,0.038,0.242,0.064,0.039,
1,0.037,0.260,0.062,0.034,
1,0.045,0.244,0.067,0.036,
1,0.049,0.232,0.098,0.044,
1,0.076,0.349,0.072,0.046,
1,0.059,0.232,0.071,0.050,
1,0.035,0.241,0.092,0.038,
1,0.032,0.205,0.060,0.042,
1,0.049,0.276,0.096,0.044,
1,0.138,0.328,0.122,0.039,
1,0.107,0.322,0.062,0.047,
1,0.036,0.272,0.104,0.033,
1,0.036,0.227,0.091,0.047,
1,0.049,0.245,0.065,0.039,
1,0.044,0.215,0.063,0.041,
1,0.049,0.228,0.052,0.059,
1,0.041,0.235,0.095,0.035,
1,0.047,0.277,0.069,0.045,
1,0.041,0.209,0.050,0.050,
1,0.052,0.220,0.091,0.044,
1,0.060,0.220,0.070,0.043,
1,0.036,0.238,0.089,0.033,
1,0.037,0.225,0.060,0.050,
1,0.038,0.218,0.068,0.032,
1,0.050,0.299,0.086,0.042,
1,0.073,0.196,0.090,0.059,
1,0.038,0.198,0.096,0.044,
1,0.075,0.279,0.073,0.039,
1,0.037,0.222,0.096,0.048,
1,0.082,0.310,0.069,0.036,
1,0.042,0.247,0.096,0.038,
1,0.037,0.208,0.097,0.039,
1,0.051,0.225,0.060,0.058,
1,0.038,0.259,0.060,0.059,
1,0.038,0.219,0.052,0.047,
1,0.038,0.256,0.081,0.051,
1,0.052,0.239,0.050,0.052,
1,0.059,0.282,0.056,0.069,
1,0.056,0.201,0.056,0.046,
