nVectors,memcpyOut,plan,execu,memcpyIn
1,0.092,0.220,0.141,0.077,
1,0.140,0.384,0.198,0.092,
1,0.139,0.400,0.141,0.092,
1,0.125,0.416,0.210,0.074,
1,0.121,0.406,0.199,0.097,
1,0.123,0.422,0.197,0.113,
1,0.115,0.413,0.193,0.095,
1,0.122,0.386,0.199,0.091,
1,0.122,0.321,0.101,0.077,
1,0.080,0.403,0.102,0.075,
1,0.079,0.423,0.101,0.075,
1,0.079,0.402,0.101,0.075,
1,0.079,0.402,0.137,0.096,
1,0.079,0.382,0.136,0.095,
1,0.087,0.421,0.135,0.095,
1,0.079,0.385,0.139,0.092,
1,0.138,0.385,0.128,0.142,
1,0.176,0.470,0.220,0.139,
1,0.173,0.479,0.220,0.139,
1,0.172,0.483,0.216,0.141,
1,0.172,0.472,0.227,0.141,
1,0.172,0.466,0.214,0.139,
1,0.171,0.469,0.218,0.181,
1,0.181,0.483,0.217,0.172,
1,0.176,0.494,0.215,0.229,
1,0.172,0.456,0.193,0.166,
1,0.180,0.454,0.194,0.163,
1,0.174,0.454,0.204,0.163,
1,0.171,0.455,0.198,0.162,
1,0.171,0.467,0.192,0.162,
1,0.171,0.467,0.191,0.161,
1,0.170,0.459,0.201,0.163,
1,0.170,0.456,0.203,0.162,
1,0.171,0.461,0.195,0.162,
1,0.172,0.456,0.192,0.162,
1,0.171,0.466,0.194,0.163,
1,0.195,0.568,0.195,0.164,
1,0.173,0.469,0.192,0.172,
1,0.173,0.457,0.192,0.174,
1,0.173,0.458,0.203,0.165,
1,0.182,0.455,0.203,0.166,
1,0.172,0.454,0.197,0.162,
1,0.170,0.460,0.194,0.162,
1,0.173,0.481,0.193,0.162,
1,0.173,0.467,0.194,0.162,
1,0.174,0.457,0.217,0.163,
1,0.171,0.459,0.190,0.162,
1,0.171,0.456,0.201,0.162,
1,0.172,0.463,0.191,0.163,
1,0.186,0.472,0.193,0.162,
1,0.185,0.470,0.191,0.162,
1,0.172,0.466,0.193,0.168,
1,0.173,0.476,0.191,0.189,
1,0.172,0.454,0.194,0.165,
1,0.178,0.455,0.193,0.163,
1,0.174,0.453,0.205,0.162,
1,0.171,0.452,0.195,0.163,
1,0.171,0.466,0.206,0.167,
