nThreads,memcpyOut,plan,execu,memcpyIn
1,0.092,0.246,0.392,0.089,
2,0.014,0.298,0.318,0.024,
3,0.027,0.405,0.310,0.025,
4,0.014,0.352,0.255,0.036,
5,0.024,0.451,0.224,0.022,
6,0.014,0.705,0.349,0.034,
7,0.015,0.511,0.196,0.020,
8,0.015,0.948,0.352,0.018,
9,0.015,0.527,0.236,0.031,
10,0.016,1.016,0.476,0.031,
11,0.015,0.943,0.381,0.020,
12,0.015,0.949,0.436,0.022,
13,0.015,0.645,0.237,0.020,
14,0.015,1.181,0.471,0.016,
15,0.014,1.131,0.492,0.020,
16,0.014,1.204,0.464,0.024,
17,0.015,1.223,0.637,0.032,
18,0.015,1.147,0.563,0.024,
19,0.015,1.309,0.501,0.032,
20,0.015,1.116,0.621,0.020,
21,0.016,1.125,0.599,0.020,
22,0.016,1.106,0.635,0.033,
23,0.014,1.189,0.642,0.035,
24,0.015,1.233,0.618,0.031,
25,0.015,0.986,0.316,0.021,
26,0.015,1.798,1.385,0.032,
27,0.017,1.811,1.500,0.032,
28,0.015,1.812,1.368,0.038,
29,0.015,1.731,1.421,0.024,
30,0.016,1.821,1.281,0.022,
31,0.016,1.880,1.534,0.020,
32,0.014,1.742,1.531,0.024,
33,0.015,1.739,1.636,0.020,
34,0.016,1.755,1.504,0.021,
35,0.016,1.863,1.385,0.022,
36,0.017,1.744,1.481,0.025,
1,0.015,0.119,0.267,0.012,
2,0.015,0.148,0.182,0.014,
3,0.014,0.170,0.281,0.026,
4,0.014,0.191,0.240,0.020,
5,0.015,0.210,0.212,0.017,
6,0.014,0.424,0.293,0.026,
7,0.015,0.257,0.205,0.025,
8,0.014,0.477,0.350,0.041,
9,0.014,0.288,0.209,0.019,
10,0.014,0.531,0.344,0.019,
11,0.016,0.509,0.403,0.020,
12,0.015,0.505,0.389,0.027,
13,0.015,0.376,0.241,0.034,
14,0.016,0.627,0.463,0.032,
15,0.014,0.653,0.489,0.022,
16,0.016,0.627,0.549,0.033,
17,0.015,0.616,0.620,0.020,
18,0.016,0.620,0.559,0.035,
19,0.016,0.622,0.500,0.022,
20,0.015,0.633,0.576,0.032,
21,0.015,0.622,0.632,0.034,
22,0.020,0.833,0.542,0.021,
23,0.016,0.634,0.592,0.033,
24,0.015,0.624,0.586,0.045,
25,0.014,0.481,0.360,0.027,
26,0.014,1.031,1.595,0.021,
27,0.015,0.971,1.463,0.035,
28,0.015,0.981,1.474,0.030,
29,0.015,0.993,1.516,0.023,
30,0.016,0.967,1.384,0.034,
31,0.016,0.984,1.465,0.019,
32,0.016,0.984,1.553,0.022,
33,0.016,1.058,1.364,0.026,
34,0.015,0.985,1.472,0.024,
35,0.015,0.977,1.360,0.031,
36,0.016,0.985,1.338,0.033,
1,0.015,0.120,0.266,0.013,
2,0.015,0.147,0.181,0.014,
3,0.014,0.169,0.148,0.014,
4,0.014,0.194,0.161,0.015,
