device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Computation,ONE_D,31,780,1,1,1,832,0.006,0,0.001,0.036,0.001,0.006
GTX 780,Computation,ONE_D,31,780,2,1,1,832,0.003,0,0,0.015,0,0.006
GTX 780,Computation,ONE_D,31,780,4,1,1,832,0.003,0.001,0,0.013,0,0.006
GTX 780,Computation,ONE_D,31,780,8,1,1,832,0.003,0,0,0.013,0,0.005
GTX 780,Computation,ONE_D,31,780,16,1,1,832,0.003,0,0,0.012,0,0.006
GTX 780,Computation,ONE_D,31,780,32,1,1,832,0.003,0,0.001,0.012,0,0.005
GTX 780,Computation,ONE_D,31,780,64,1,1,832,0.003,0,0,0.012,0,0.005
GTX 780,Computation,ONE_D,31,780,128,1,1,832,0.002,0,0,0.012,0,0.006
GTX 780,Computation,ONE_D,31,780,256,1,1,832,0.003,0,0.001,0.012,0,0.005
GTX 780,Computation,ONE_D,31,780,512,1,1,832,0.003,0,0,0.012,0,0.005
GTX 780,Computation,ONE_D,31,780,1024,1,1,832,0.003,0,0,-1,-1,-1
