device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,24,1774,1774,3,1,1,1,24,383.845,285.539,0.017,834.006,0.001,6.413
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,24,1774,1774,3,2,1,1,24,377.817,262.78,0.016,753.34,0.001,7.105
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,24,1774,1774,3,4,1,1,24,377.7,261.963,0.017,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,24,1774,1774,3,8,1,1,24,373.497,265.083,0.016,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,24,1774,1774,3,16,1,1,24,373.521,266.915,0.015,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,24,1774,1774,3,32,1,1,24,373.308,264.118,0.015,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,24,1774,1774,3,64,1,1,24,373.173,263.584,0.016,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,24,1774,1774,3,128,1,1,24,373.463,265.047,0.015,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,24,1774,1774,3,256,1,1,24,374.999,260.265,0.015,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,24,1774,1774,3,512,1,1,24,373.335,266.355,0.016,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,24,1774,1774,3,1024,1,1,24,375.22,271.045,0.016,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,FluidSimulation,ONE_D,24,1774,1774,3,2048,1,1,24,372.263,269.064,0.011,-1,-1,-1
