device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,4,1024,1,28,100.756,25.294,0.013,1727.27,22.711,4.069
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,4,2048,1,28,100.491,25.57,0.028,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,8,1,1,28,103.573,25.442,0.017,1848.93,25.418,3.509
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,8,2,1,28,99.206,25.391,0.012,1644.94,25.932,4.193
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,8,4,1,28,103.413,25.874,0.013,1544.1,24.954,4.948
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,8,8,1,28,106.021,25.526,0.012,1479.51,27.687,5.249
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,8,16,1,28,104.927,25.682,0.012,1413.71,25.32,4.158
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,8,32,1,28,102.922,25.624,0.011,1297.26,23.328,5.056
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,8,64,1,28,105.772,25.725,0.012,1108.19,23.975,4.543
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,8,128,1,28,106.615,25.591,0.012,1196.62,21.005,4.133
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,8,256,1,28,104.769,25.689,0.012,1379.28,23.18,3.517
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,8,512,1,28,100.658,25.83,0.029,1749.78,25.794,3.228
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,8,1024,1,28,99.283,25.577,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,16,1,1,28,105.316,25.714,0.014,1651.76,24.195,4.355
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,16,2,1,28,102.171,25.35,0.011,1562.07,24.97,3.866
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,16,4,1,28,102.801,25.527,0.013,1487.8,26.633,4.476
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,16,8,1,28,103.991,25.749,0.011,1411.68,22.076,3.968
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,16,16,1,28,100.559,25.633,0.012,1303.37,23.663,4.56
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,16,32,1,28,106.346,25.69,0.011,1097.15,24.538,5.047
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,16,64,1,28,108.066,25.906,0.013,1190.63,23.077,4.643
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,16,128,1,28,100.91,25.7,0.014,1393.17,23.998,5.35
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,16,256,1,28,106.199,25.711,0.012,1728.11,24.071,4.168
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,16,512,1,28,101.325,25.7,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,32,1,1,28,101.62,25.681,0.01,1557.59,23.12,4.998
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,32,2,1,28,100.9,26.059,0.012,1501.64,24.223,3.839
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,32,4,1,28,101.334,25.743,0.011,1406.04,23.969,4.489
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,32,8,1,28,106.655,25.903,0.011,1290.78,23.093,4.336
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,32,16,1,28,101.407,25.759,0.012,1100.55,24.906,3.197
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,32,32,1,28,99.568,25.645,0.012,1175.59,25.394,4.492
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,32,64,1,28,103.161,25.934,0.012,1380.22,21.986,3.56
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,32,128,1,28,100.382,25.697,0.011,1725.24,22.969,4.309
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,32,256,1,28,101.348,25.827,0.012,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,64,1,1,28,104.914,25.311,0.011,1477.38,22.573,4.549
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,64,2,1,28,100.522,25.888,0.016,1412.16,24.012,4.177
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,64,4,1,28,102.013,25.888,0.011,1293.53,24.072,5.152
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,64,8,1,28,106.49,25.765,0.011,1098.94,23.93,4.167
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,64,16,1,28,102.391,25.892,0.011,1204.99,23.614,4.491
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,64,32,1,28,105.043,25.723,0.011,1372.69,22.959,4.392
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,64,64,1,28,100.888,25.539,0.012,1740.97,24.901,5.088
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,64,128,1,28,106.944,25.749,0.016,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,128,1,1,28,101.799,25.366,0.015,1415.37,24.513,4.941
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,128,2,1,28,106.605,25.833,0.012,1305.03,21.817,4.134
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,128,4,1,28,105.34,25.75,0.012,1112.43,22.149,4.229
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,128,8,1,28,100.18,25.886,0.011,1188.26,21.681,5.092
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,128,16,1,28,104.445,25.809,0.013,1377.62,23.78,4.75
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,128,32,1,28,106.382,25.719,0.012,1732.87,26.029,3.253
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,128,64,1,28,99.151,25.147,0.011,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,LUDecomposition,TWO_D,1916,1916,256,1,1,28,99.327,25.771,0.01,1300.45,24.109,5.101
