device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,371,854,1,1,1,1024,0.015,0,0.004,1.353,0.001,0.793
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,371,854,2,1,1,1024,0.012,0,0.004,0.95,0.001,0.932
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,371,854,4,1,1,1024,0.011,0,0.003,0.642,0,0.992
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,371,854,8,1,1,1024,0.017,0,0.008,0.494,0.001,0.999
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,371,854,16,1,1,1024,0.012,0,0.005,0.533,0.001,0.97
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,371,854,32,1,1,1024,0.01,0,0.004,0.555,0.001,0.954
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,371,854,64,1,1,1024,0.027,0,0.004,0.574,0.001,0.969
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,371,854,128,1,1,1024,0.01,0,0.004,0.549,0,0.959
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,371,854,256,1,1,1024,0.009,0,0.003,0.54,0,0.977
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,371,854,512,1,1,1024,0.009,0,0.004,0.525,0.001,0.975
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,371,854,1024,1,1,1024,0.01,0,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,371,854,2048,1,1,1024,0.01,0,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,371,854,4096,1,1,1024,0.009,0.001,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,Computation,ONE_D,371,854,8192,1,1,1024,0.009,0,0.003,-1,-1,-1
