device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,8,1,2,74.212,4.75,0.002,130.152,0.012,3.265
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,16,1,2,59.749,5.566,0.002,130.586,0.009,3.328
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,32,1,2,60.4,4.01,0.003,149.642,0.006,2.61
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,64,1,2,56.346,3.684,0.004,180.574,0.005,2.761
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,128,1,2,59.981,4.554,0.003,195.741,0.009,3.857
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,256,1,2,58.243,4.956,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,512,1,2,57.861,4.479,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,8,1024,1,2,57.779,3.68,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,1,1,2,57.127,3.751,0.004,41.046,0.008,3.258
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,2,1,2,60.113,3.947,0.002,37.16,0.013,3.221
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,4,1,2,63.126,4.149,0.003,36.408,0.009,3.207
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,8,1,2,60.292,3.854,0.002,38.25,0.01,3.184
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,16,1,2,61.508,5.205,0.004,39.415,0.012,7.233
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,32,1,2,60.228,4.817,0.004,40.739,0.013,3.279
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,64,1,2,60.53,4.419,0.004,42.69,0.012,4.006
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,128,1,2,60.24,4.189,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,256,1,2,57.82,4.6,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,16,512,1,2,57.451,4.527,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,1,1,2,57.48,3.668,0.004,35.222,0.009,3.636
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,2,1,2,64.038,4.7,0.003,43.894,0.013,3.371
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,4,1,2,60.234,4.212,0.003,41.178,0.008,3.213
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,8,1,2,60.317,3.84,0.002,38.242,0.013,3.341
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,16,1,2,62.38,5.368,0.003,40.204,0.012,4.533
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,32,1,2,56.426,4.652,0.003,47.903,0.008,3.172
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,64,1,2,59.771,4.759,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,128,1,2,59.763,4.378,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,32,256,1,2,56.58,4.086,0.002,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,1,1,2,56.875,4.492,0.003,39.204,0.008,4.625
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,2,1,2,60.353,4.993,0.003,39.813,0.012,3.257
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,4,1,2,61.222,5.801,0.003,38.311,0.009,3.225
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,8,1,2,61.976,4.074,0.004,39.126,0.008,3.955
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,16,1,2,62.673,4.225,0.003,46.212,0.009,3.524
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,32,1,2,58.816,5.154,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,64,1,2,58.227,4.504,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,64,128,1,2,57.901,4.433,0.002,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,128,1,1,2,57.08,4.429,0.003,37.174,0.009,3.026
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,128,2,1,2,60.862,5.118,0.003,42.963,0.008,3.204
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,128,4,1,2,60.114,4.66,0.003,40.756,0.013,3.173
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,128,8,1,2,60.567,4.661,0.003,45.304,0.009,4.944
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,128,16,1,2,63.553,4.287,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,128,32,1,2,58.655,3.731,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,128,64,1,2,57.082,3.441,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,256,1,1,2,56.219,4.119,0.003,34.398,0.013,3.188
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,256,2,1,2,61.168,3.851,0.003,43.091,0.013,3.797
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,256,4,1,2,59.773,4.915,0.002,43.867,0.011,3.454
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,256,8,1,2,64.026,4.242,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,256,16,1,2,58.359,4.19,0.004,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,256,32,1,2,56.621,4.665,0.002,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,512,1,1,2,57.492,4.538,0.002,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,512,2,1,2,57.63,4.176,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,512,4,1,2,56.58,4.417,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,512,8,1,2,57.546,4.105,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,512,16,1,2,56.926,3.663,0.002,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1024,1,1,2,56.879,3.737,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1024,2,1,2,56.688,3.666,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1024,4,1,2,57.293,3.526,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,1024,8,1,2,56.516,3.697,0.003,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,256,512,4,2048,1,1,2,56.895,3.787,0.002,-1,-1,-1
