device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,1,1,1,0.553,0.004,3562.05,0,0.699
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,2,1,1,0.331,0.002,3657.42,0,0.685
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,4,1,1,0.342,0.003,3707.65,0,0.578
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,8,1,1,0.359,0.002,455.125,0,0.634
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,16,1,1,0.336,0.001,473.443,0,0.791
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,32,1,1,0.408,0.001,494.274,0.001,0.734
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,64,1,1,0.391,0.002,495.141,0,0.696
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,128,1,1,0.352,0.002,635.05,0.001,0.685
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,256,1,1,0.269,0.002,731.817,0,0.742
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,512,1,1,0.331,0.001,1357.92,0.001,0.785
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,1024,1,1,0.523,0.002,2497.24,0,0.709
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,2048,1,1,0.482,0.002,4115.51,0,0.609
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,4096,1,1,0.383,0.002,6927.14,0,0.696
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,8192,1,1,0.473,0.002,13601.7,0,0.939
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,1,1,1,0.559,0.002,3798.36,0,0.677
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,2,1,1,0.411,0.002,3789.04,0,0.632
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,4,1,1,0.37,0.001,3984.39,0,0.749
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,8,1,1,0.37,0.001,457.902,0,0.708
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,16,1,1,0.351,0.003,472.585,0,0.791
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,32,1,1,0.417,0.002,498.998,0,0.681
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,64,1,1,0.364,0.003,509.64,0,0.716
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,128,1,1,0.405,0.002,642.009,0.001,0.864
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,256,1,1,0.393,0.002,793.899,0,0.859
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,512,1,1,0.44,0.002,1474.76,0,0.744
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,1024,1,1,0.495,0.002,2746.2,0.001,0.698
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,2048,1,1,0.434,0.002,3959.42,0.001,0.685
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,4096,1,1,0.537,0.001,7027.48,0,0.713
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,8192,0.005,100,8192,1,1,0.455,0.002,13479.2,0,0.893
