device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,FluidSimulation,ONE_D,3,724,724,3,512,1,1,4,64.201,13.51,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,1024,1,1,4,64.22,13.626,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,1,1,1,4,63.097,13.49,0.003,232.472,0.001,1.961
GTX 780,FluidSimulation,ONE_D,3,724,724,3,2,1,1,4,64.122,13.639,0.003,181.763,0.001,1.984
GTX 780,FluidSimulation,ONE_D,3,724,724,3,4,1,1,4,64.104,13.528,0.002,155.839,0.002,1.926
GTX 780,FluidSimulation,ONE_D,3,724,724,3,8,1,1,4,64.32,13.72,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,16,1,1,4,63.884,13.631,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,32,1,1,4,63.9,13.499,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,64,1,1,4,63.966,13.526,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,128,1,1,4,63.792,13.614,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,256,1,1,4,63.793,13.513,0.003,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,512,1,1,4,64.003,13.521,0.004,-1,-1,-1
GTX 780,FluidSimulation,ONE_D,3,724,724,3,1024,1,1,4,63.902,13.536,0.003,-1,-1,-1
