device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Array3dAverage,THREE_D,176,16,16,1,20.7969,183.253,6.887,0.001,0.763,6.783,0.164
GTX 780,Array3dAverage,THREE_D,176,16,16,2,20.7969,183.642,6.897,0.001,0.799,6.757,0.176
GTX 780,Array3dAverage,THREE_D,176,16,16,4,20.7969,183.4,6.911,0.002,0.889,6.795,0.163
GTX 780,Array3dAverage,THREE_D,176,1,1,16,20.7969,175.579,6.9,0.001,8.238,7.071,0.164
GTX 780,Array3dAverage,THREE_D,176,1,2,16,20.7969,175.347,6.914,0.001,7.568,7.101,0.162
GTX 780,Array3dAverage,THREE_D,176,1,4,16,20.7969,175.471,6.84,0.001,7.445,7.084,0.16
GTX 780,Array3dAverage,THREE_D,176,1,8,16,20.7969,175.594,6.897,0,7.445,7.108,0.161
GTX 780,Array3dAverage,THREE_D,176,1,16,1,20.7969,175.846,6.851,0.001,8.132,7.053,0.162
GTX 780,Array3dAverage,THREE_D,176,1,16,2,20.7969,174.865,6.882,0,7.559,7.4,0.165
GTX 780,Array3dAverage,THREE_D,176,1,16,4,20.7969,174.874,6.846,0.001,7.445,7.32,0.166
GTX 780,Array3dAverage,THREE_D,176,1,16,8,20.7969,174.811,6.868,0,7.436,7.344,0.16
GTX 780,Array3dAverage,THREE_D,176,1,16,16,20.7969,175.017,6.981,0.001,7.484,7.422,0.164
GTX 780,Array3dAverage,THREE_D,176,2,1,16,20.7969,175.499,6.866,0.001,4.268,7.088,0.163
GTX 780,Array3dAverage,THREE_D,176,2,2,16,20.7969,175.406,6.855,0,3.87,7.06,0.162
GTX 780,Array3dAverage,THREE_D,176,2,4,16,20.7969,175.314,6.866,0,3.871,7.158,0.161
GTX 780,Array3dAverage,THREE_D,176,2,8,16,20.7969,175.758,6.885,0.001,3.902,7.081,0.164
GTX 780,Array3dAverage,THREE_D,176,2,16,1,20.7969,192.904,6.869,0.001,4.215,7.403,0.161
GTX 780,Array3dAverage,THREE_D,176,2,16,2,20.7969,174.784,6.906,0.001,3.856,7.33,0.16
GTX 780,Array3dAverage,THREE_D,176,2,16,4,20.7969,175.148,6.864,0.001,3.871,7.332,0.167
GTX 780,Array3dAverage,THREE_D,176,2,16,8,20.7969,174.915,6.852,0.001,3.897,7.339,0.164
GTX 780,Array3dAverage,THREE_D,176,2,16,16,20.7969,174.963,6.892,0.001,3.93,7.385,0.169
GTX 780,Array3dAverage,THREE_D,176,4,1,16,20.7969,176.282,6.91,0.001,2.097,7.15,0.166
GTX 780,Array3dAverage,THREE_D,176,4,2,16,20.7969,175.492,6.887,0.001,2.111,7.069,0.171
GTX 780,Array3dAverage,THREE_D,176,4,4,16,20.7969,175.524,6.886,0.001,2.118,7.057,0.162
GTX 780,Array3dAverage,THREE_D,176,4,8,16,20.7969,175.447,6.869,0.001,2.153,7.056,0.162
GTX 780,Array3dAverage,THREE_D,176,4,16,1,20.7969,181.905,6.877,0,2.049,7.328,0.166
GTX 780,Array3dAverage,THREE_D,176,4,16,2,20.7969,175.016,6.904,0.001,2.11,7.342,0.162
GTX 780,Array3dAverage,THREE_D,176,4,16,4,20.7969,174.85,6.866,0.001,2.116,7.377,0.161
GTX 780,Array3dAverage,THREE_D,176,4,16,8,20.7969,174.79,6.906,0.001,2.152,7.362,0.165
GTX 780,Array3dAverage,THREE_D,176,4,16,16,20.7969,174.835,6.865,0.001,2.207,7.408,0.162
GTX 780,Array3dAverage,THREE_D,176,8,1,16,20.7969,175.487,6.867,0.001,1.215,7.056,0.162
