device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Uux3a,ONE_D,524288,1,1,1,40,40.515,13.97,0.002,24.438,1.598,0.377
GTX 780,Uux3a,ONE_D,524288,2,1,1,40,40.069,14.047,0.002,12.476,1.602,0.324
GTX 780,Uux3a,ONE_D,524288,4,1,1,40,39.439,13.879,0.002,6.414,1.603,0.362
GTX 780,Uux3a,ONE_D,524288,8,1,1,40,39.3,13.887,0.002,3.397,1.62,0.359
GTX 780,Uux3a,ONE_D,524288,16,1,1,40,39.355,13.84,0.002,1.999,1.613,0.371
GTX 780,Uux3a,ONE_D,524288,32,1,1,40,39.366,13.917,0.002,1.793,1.615,0.37
GTX 780,Uux3a,ONE_D,524288,64,1,1,40,39.292,13.893,0.002,1.795,1.613,0.332
GTX 780,Uux3a,ONE_D,524288,128,1,1,40,39.204,13.939,0.002,1.757,1.618,0.365
GTX 780,Uux3a,ONE_D,524288,256,1,1,40,39.28,13.9,0.002,1.882,1.615,0.333
GTX 780,Uux3a,ONE_D,524288,512,1,1,40,39.307,13.851,0.002,2.142,1.622,0.365
GTX 780,Uux3a,ONE_D,524288,1024,1,1,40,39.4,13.866,0.003,-1,-1,-1
GTX 780,Uux3a,ONE_D,524288,1,1,1,40,39.778,28.04,0.003,24.446,1.661,0.408
GTX 780,Uux3a,ONE_D,524288,2,1,1,40,38.826,27.932,0.002,12.515,1.647,0.408
GTX 780,Uux3a,ONE_D,524288,4,1,1,40,38.942,27.915,0.002,6.483,1.656,0.409
GTX 780,Uux3a,ONE_D,524288,8,1,1,40,38.819,27.919,0.003,3.457,1.648,0.415
GTX 780,Uux3a,ONE_D,524288,16,1,1,40,38.789,27.919,0.002,2.041,1.666,0.4
GTX 780,Uux3a,ONE_D,524288,32,1,1,40,38.8,27.937,0.002,1.821,1.661,0.406
GTX 780,Uux3a,ONE_D,524288,64,1,1,40,38.81,27.887,0.003,1.825,1.645,0.402
GTX 780,Uux3a,ONE_D,524288,128,1,1,40,38.793,27.93,0.002,1.839,1.658,0.402
