device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Computation,ONE_D,299,824,1,1,1,704,0.007,0,0,0.032,0,0.006
GTX 780,Computation,ONE_D,299,824,2,1,1,704,0.003,0,0.001,0.015,0,0.007
GTX 780,Computation,ONE_D,299,824,4,1,1,704,0.003,0,0.001,0.014,0,0.006
GTX 780,Computation,ONE_D,299,824,8,1,1,704,0.003,0,0,0.014,0,0.006
GTX 780,Computation,ONE_D,299,824,16,1,1,704,0.003,0,0.001,0.012,0.001,0.005
GTX 780,Computation,ONE_D,299,824,32,1,1,704,0.003,0,0.001,0.013,0,0.005
GTX 780,Computation,ONE_D,299,824,64,1,1,704,0.003,0,0,0.012,0,0.005
GTX 780,Computation,ONE_D,299,824,128,1,1,704,0.003,0,0,0.014,0,0.005
GTX 780,Computation,ONE_D,299,824,256,1,1,704,0.003,0,0,0.014,0,0.005
GTX 780,Computation,ONE_D,299,824,512,1,1,704,0.003,0,0,0.013,0,0.005
GTX 780,Computation,ONE_D,299,824,1024,1,1,704,0.002,0,0,-1,-1,-1
