device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,1,1,64,665.785,44.575,0.003,2625.76,31.535,1.028
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,2,1,64,664.689,44.603,0.004,1403.28,31.551,1.04
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,4,1,64,664.385,44.686,0.003,1117.54,31.54,1.031
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,8,1,64,664.517,44.773,0.003,1071.78,31.537,1.026
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,16,1,64,664.762,44.595,0.003,1066.9,31.522,1.044
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,32,32,1,64,664.779,44.549,0.003,1059.64,31.66,1.03
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,64,1,1,64,664.598,44.61,0.003,1826.67,31.57,1.027
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,64,2,1,64,664.805,44.526,0.003,1133.86,31.591,1.025
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,64,4,1,64,664.83,44.652,0.003,1075.94,31.522,1.04
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,64,8,1,64,665.05,44.557,0.003,1071.17,31.528,1.025
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,64,16,1,64,664.393,44.662,0.003,1063.59,31.533,1.032
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,128,1,1,64,664.434,44.603,0.004,1643.58,31.502,1.031
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,128,2,1,64,664.796,44.588,0.003,1113.65,31.545,1.041
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,128,4,1,64,664.534,44.801,0.004,1074.19,31.573,1.029
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,128,8,1,64,664.68,44.705,0.003,1071.39,31.847,1.071
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,256,1,1,64,665.33,44.704,0.004,1641.95,31.539,1.008
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,256,2,1,64,672.983,44.815,0.003,1113.63,31.589,1.018
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,256,4,1,64,664.581,44.558,0.003,1076.11,31.706,1.015
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,512,1,1,64,664.951,44.574,0.003,1638.5,31.516,1.003
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,512,2,1,64,664.745,44.594,0.004,1111.08,31.622,1.026
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1024,1,1,64,664.357,44.618,0.003,1632.35,31.513,1.014
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,1,1,64,664.402,44.58,0.003,75225.4,31.484,1.122
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,2,1,64,665.449,44.582,0.003,37982.8,31.558,1.014
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,4,1,64,665.728,44.623,0.003,20735.6,31.515,0.991
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,8,1,64,665.48,44.62,0.004,16388,31.606,1
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,16,1,64,664.804,44.793,0.003,15205.5,31.578,1.058
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,32,1,64,664.491,44.62,0.003,14562.1,31.551,1.037
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,64,1,64,666.838,44.472,0.004,14526.8,31.631,1.006
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,128,1,64,665.337,44.649,0.003,14684.9,31.592,1.032
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,256,1,64,664.921,44.613,0.003,14815.3,31.609,1.033
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,512,1,64,665.877,44.626,0.003,15003.7,31.514,1.011
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,1,1024,1,64,665.915,44.596,0.003,16674.5,31.554,1.032
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,1,1,64,664.985,44.588,0.004,37954.4,31.504,1.012
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,2,1,64,666.331,44.528,0.003,19123.7,31.577,1.024
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,4,1,64,665.889,44.654,0.003,10362.4,31.608,1.058
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,8,1,64,665.025,44.755,0.003,8224.87,31.651,1.031
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,16,1,64,665.792,44.854,0.003,7616.62,31.538,1.003
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,32,1,64,666.106,44.579,0.003,7500.19,31.595,1.033
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,64,1,64,664.728,44.615,0.003,7597.79,31.584,1.022
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,128,1,64,664.825,44.699,0.003,7650.84,31.576,1.031
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,256,1,64,665.099,44.786,0.003,7671.72,31.58,1.04
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,2,512,1,64,664.673,44.984,0.003,7559.92,31.755,1.047
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,1,1,64,668.629,44.566,0.003,19173.1,31.646,1.059
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,2,1,64,666.893,44.606,0.003,9790.67,31.676,1.079
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,4,1,64,664.819,44.673,0.003,5356.49,31.616,1.048
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,8,1,64,664.674,44.653,0.003,4152.75,31.618,1.067
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,16,1,64,664.551,44.669,0.004,3986.18,31.711,1.045
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,32,1,64,665.779,44.6,0.003,4051.52,31.573,1.008
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,64,1,64,665.856,44.972,0.003,4007.77,31.507,1.027
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,128,1,64,665.737,44.907,0.003,4019.57,32.031,1.045
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,4,256,1,64,664.585,44.733,0.003,3953.73,31.571,1.081
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,8,1,1,64,664.887,44.625,0.003,9932.51,31.54,1.019
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,8,2,1,64,665.771,44.633,0.003,5151.11,31.551,1.032
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,8,4,1,64,665.492,44.75,0.004,2837.73,31.594,1.039
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,8,8,1,64,664.963,44.591,0.003,2256.34,31.634,1.034
Tesla K20Xm,MatrixMultiplication,TWO_D,4096,4096,4096,8,16,1,64,665.719,44.615,0.003,2291.5,31.716,1.035
