device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,651.258,134.532,0.002,1.692,1.781,0.641
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,652.355,134.454,0.003,1.438,1.498,0.623
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,651.7,134.617,0.003,1.603,1.31,0.602
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,652.467,134.515,0.003,1.731,1.216,0.596
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,651.023,134.872,0.003,2.139,1.25,0.592
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,676.966,134.254,0.002,20.169,75.412,0.973
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,661.773,134.249,0.002,12.516,37.734,0.699
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,658.856,134.413,0.002,7.726,18.971,0.65
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,654.973,134.774,0.003,4.824,9.909,0.653
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,653.841,134.461,0.002,3.049,5.36,0.652
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,653.375,134.491,0.002,2.018,2.868,0.671
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,651.553,134.479,0.002,1.62,1.746,0.674
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,652.19,134.251,0.002,1.462,1.588,0.606
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,650.955,134.655,0.002,1.527,1.303,0.596
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,650.974,134.427,0.002,1.725,1.245,0.602
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,652.352,134.666,0.003,2.068,1.189,0.601
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,675.136,133.971,0.002,20.23,75.065,0.941
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,667.336,133.965,0.002,12.523,37.671,0.812
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,657.5,133.889,0.002,7.686,18.979,0.633
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,655.526,134.039,0.002,4.797,9.82,0.627
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,652.425,134.295,0.002,3.035,5.23,0.637
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,651.508,134.031,0.002,2.019,2.994,0.629
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,651.911,133.891,0.002,1.583,1.743,0.663
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,650.875,133.968,0.002,1.477,1.497,0.581
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,651.572,134.073,0.002,1.55,1.318,0.575
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,650.414,134.362,0.002,1.807,1.34,0.59
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,650.467,133.703,0.002,2.09,1.186,0.581
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,674.172,133.809,0.002,20.179,74.514,0.956
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,660.894,133.708,0.002,12.586,37.76,0.68
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,658.032,133.794,0.002,7.708,18.83,0.649
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,654.52,133.653,0.002,4.801,9.862,0.646
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,654.081,133.529,0.002,3.007,5.338,0.639
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,651.364,133.805,0.002,2.006,2.939,0.634
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,651.038,133.589,0.002,1.606,1.828,0.68
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,651.567,133.56,0.002,1.434,1.447,0.577
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,650.483,133.63,0.002,1.546,1.282,0.576
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,653.891,133.617,0.003,1.793,1.21,0.589
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,650.216,133.955,0.002,2.07,1.161,0.589
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,675.703,133.575,0.002,20.257,75.035,0.952
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,661.507,133.567,0.002,12.514,37.793,0.676
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,657.088,134.268,0.001,7.673,18.974,0.661
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,655.008,133.663,0.002,4.747,9.835,0.635
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,16,1,1,124,652.887,133.797,0.002,3.022,5.281,0.631
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,32,1,1,124,652.603,133.469,0.002,2.036,3.007,0.64
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,64,1,1,124,653.423,133.739,0.002,1.62,1.753,0.625
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,128,1,1,124,650.251,134.018,0.002,1.431,1.776,0.586
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,256,1,1,124,659.594,133.581,0.002,1.526,1.449,0.597
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,512,1,1,124,650.669,133.725,0.002,1.85,1.24,0.626
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1024,1,1,124,652.014,133.695,0.002,2.069,1.186,0.585
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,1,1,1,124,675.142,134.141,0.003,20.19,75.254,0.966
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,2,1,1,124,663.239,134.234,0.002,12.586,37.817,0.682
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,4,1,1,124,657.983,134.375,0.002,7.738,18.912,0.676
Tesla K20Xm,Reduction,ONE_D,8.12646e+06,8,1,1,124,659.273,134.887,0.002,4.73,9.98,0.638
