device/C,kernel/C,workDimension/C,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,1,1,1,2,31.087,7.264,0.001,149.576,0.001,1.81
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,1,2,1,2,29.973,7.288,0.002,127.571,0.001,1.863
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,1,4,1,2,30.133,7.298,0.002,116.946,0.001,1.868
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,1,8,1,2,30.209,7.311,0.002,112.528,0,1.849
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,1,16,1,2,30.167,7.499,0.002,111.232,0,1.852
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,1,32,1,2,30.233,7.477,0.002,111.049,0.001,1.863
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,1,64,1,2,30.243,7.457,0.001,110.338,0,1.843
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,1,128,1,2,30.225,7.445,0.002,110.235,0.001,1.856
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,1,256,1,2,30.224,7.45,0.002,110.496,0.001,1.864
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,1,512,1,2,30.673,7.457,0.004,111.383,0,1.857
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,1,1024,1,2,30.166,7.459,0.003,-1,-1,-1
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,2,1,1,2,30.185,7.485,0.002,127.598,0,1.882
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,2,2,1,2,30.169,7.417,0.002,117.234,0,1.854
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,2,4,1,2,30.524,7.595,0.002,112.064,0.001,1.845
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,2,8,1,2,30.155,7.495,0.003,109.375,0,1.863
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,2,16,1,2,30.27,7.616,0.002,108.048,0,1.854
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,2,32,1,2,30.188,7.453,0.003,108.429,0.001,1.879
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,2,64,1,2,30.246,7.458,0.002,108.206,0,1.894
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,2,128,1,2,30.167,7.464,0.002,108.601,0,1.848
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,2,256,1,2,30.214,7.443,0.003,108.548,0.001,1.83
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,2,512,1,2,31.077,7.453,0.002,108.823,0,1.87
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,4,1,1,2,30.285,7.498,0.002,116.425,0.001,1.851
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,4,2,1,2,30.139,7.462,0.001,110.887,0.001,1.836
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,4,4,1,2,30.263,7.462,0.002,108.24,0.001,1.847
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,4,8,1,2,30.166,7.449,0.002,107.081,0.001,1.859
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,4,16,1,2,30.565,7.47,0.002,107.214,0.001,1.888
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,4,32,1,2,30.576,7.463,0.002,107.92,0.001,1.891
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,4,64,1,2,30.548,7.469,0.002,107.34,0.001,1.855
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,4,128,1,2,30.174,7.449,0.002,107.449,0.001,1.843
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,4,256,1,2,30.217,7.54,0.002,107.941,0,1.854
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,8,1,1,2,30.161,7.464,0.002,110.424,0,1.843
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,8,2,1,2,30.353,7.542,0.002,108.001,0,1.856
Tesla K20Xm,FluidSimulation,TWO_D,512,512,5,8,4,1,2,30.143,7.447,0.002,106.842,0,1.934
