device/C,kernel/C,workDimension/C,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,1,1,1,0.5,8.219,2.686,0.002,40.895,0,0.408
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,1,2,1,0.5,6.686,2.59,0.001,33.236,0,0.403
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,1,4,1,0.5,6.638,2.629,0.002,30.616,0,0.405
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,1,8,1,0.5,6.632,2.658,0.001,29.43,0,0.43
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,1,16,1,0.5,6.617,2.587,0.001,28.862,0.001,0.406
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,1,32,1,0.5,6.627,2.645,0.002,28.625,0,0.419
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,1,64,1,0.5,6.739,2.603,0.002,28.809,0,0.406
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,1,128,1,0.5,6.634,2.647,0.002,28.661,0.001,0.431
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,1,256,1,0.5,6.635,2.618,0.002,28.835,0,0.414
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,1,512,1,0.5,6.598,2.616,0.002,-1,-1,-1
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,1,1024,1,0.5,6.622,2.581,0.001,-1,-1,-1
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,2,1,1,0.5,6.635,2.624,0.001,32.954,0,0.408
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,2,2,1,0.5,6.608,2.646,0.002,30.32,0,0.429
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,2,4,1,0.5,6.61,2.61,0.002,29.055,0,0.41
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,2,8,1,0.5,6.868,2.588,0.002,28.572,0,0.401
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,2,16,1,0.5,6.624,2.583,0.001,27.496,0,0.414
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,2,32,1,0.5,6.626,2.532,0.001,26.938,0,0.439
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,2,64,1,0.5,6.607,2.543,0.001,26.964,0,0.414
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,2,128,1,0.5,6.637,2.547,0.002,27.011,0,0.437
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,2,256,1,0.5,6.628,2.528,0.001,26.979,0,0.413
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,2,512,1,0.5,6.627,2.551,0.001,-1,-1,-1
Tesla K20Xm,FluidSimulation,TWO_D,256,256,5,4,1,1,0.5,6.645,2.545,0.002,28.777,0,0.43
