device/C,kernel/C,workDimension/C,noOfTraj/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,32,4,1,32,1884.04,1.297,0.002,1288.1,0.004,2.134
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,32,8,1,32,1881.87,1.288,0.002,1304.89,0.003,2.161
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,32,16,1,32,1882.42,1.265,0.002,1347.29,0.003,2.251
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,32,32,1,32,1883.8,1.297,0.001,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,64,1,1,32,1883.27,1.28,0.002,1294.61,0.004,2.166
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,64,2,1,32,1882.24,1.294,0.002,1287.62,0.003,2.168
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,64,4,1,32,1882.18,1.3,0.001,1303.94,0.003,2.17
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,64,8,1,32,1885.06,1.294,0.002,1347.28,0.004,2.139
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,64,16,1,32,1889.8,2.557,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,128,1,1,32,1883.79,1.305,0.002,1288.96,0.003,2.17
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,128,2,1,32,1884.07,1.27,0.002,1305.35,0.004,2.195
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,128,4,1,32,1884.91,1.296,0.001,1348.42,0.004,2.193
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,128,8,1,32,1889.37,1.288,0.001,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,256,1,1,32,1883.94,1.288,0.002,1305.61,0.003,2.175
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,256,2,1,32,1884.5,1.299,0.001,1347.76,0.003,2.184
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,256,4,1,32,1884.83,1.295,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,512,1,1,32,1883.36,1.291,0.002,1348.06,0.004,2.164
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,512,2,1,32,1883.79,1.309,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1024,1,1,32,1884.34,1.289,0.001,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,1,1,32,1760.32,1.26,0.004,18773.6,0.003,2.451
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,2,1,32,1712.03,1.332,0.002,9782,0.003,2.177
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,4,1,32,1708.25,1.31,0.002,5282.99,0.002,2.151
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,8,1,32,1706.87,1.327,0.002,2981.11,0.002,2.149
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,16,1,32,1708.25,1.32,0.001,1833.31,0.002,2.163
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,32,1,32,1707.12,1.324,0.002,1265.33,0.003,2.141
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,64,1,32,1707.49,1.317,0.002,1250.66,0.002,2.165
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,128,1,32,1707.34,1.312,0.002,1244.56,0.003,2.196
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,256,1,32,1708.16,1.319,0.002,1266.93,0.003,2.151
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,512,1,32,1713.25,1.301,0.002,1302.84,0.002,2.154
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,1,1024,1,32,1704.56,1.305,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,1,1,32,1707.4,1.318,0.001,9769.52,0.002,2.269
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,2,1,32,1707.58,1.306,0.002,5285.15,0.002,2.174
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,4,1,32,1706.82,1.316,0.002,2984.33,0.002,2.154
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,8,1,32,1706.92,1.343,0.002,1830.05,0.002,2.142
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,16,1,32,1707.26,1.305,0.001,1264.78,0.002,2.166
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,32,1,32,1707.09,1.321,0.002,1252.22,0.002,2.147
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,64,1,32,1709.29,1.321,0.002,1244.04,0.002,2.133
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,128,1,32,1707.01,1.308,0.001,1262.36,0.002,2.159
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,256,1,32,1707.18,1.314,0.002,1303.57,0.002,2.14
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,2,512,1,32,1707.27,1.313,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,1,1,32,1709.75,1.314,0.001,5284.41,0.003,2.132
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,2,1,32,1707.14,1.311,0.002,2981.91,0.003,2.122
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,4,1,32,1702.95,1.316,0.002,1828.98,0.003,2.152
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,8,1,32,1707.55,1.32,0.002,1267.17,0.003,2.199
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,16,1,32,1707.07,1.308,0.002,1251.26,0.003,2.168
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,32,1,32,1707.34,1.313,0.002,1244.64,0.002,2.147
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,64,1,32,1707.48,1.316,0.002,1260.16,0.002,2.149
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,128,1,32,1707.83,1.329,0.002,1303.73,0.003,2.149
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,4,256,1,32,1707.11,1.311,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,1,1,32,1707.93,1.323,0.002,2981.54,0.003,2.142
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,2,1,32,1707.2,1.321,0.002,1827.16,0.002,2.131
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,4,1,32,1706.88,1.324,0.002,1265.62,0.002,2.139
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,8,1,32,1707.76,1.313,0.002,1251.79,0.003,2.159
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,16,1,32,1704.4,1.307,0.002,1244.77,0.003,2.117
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,32,1,32,1707.88,1.302,0.002,1260.72,0.003,2.138
Tesla K20Xm,MonteCarloAsian,TWO_D,4096,10,8,64,1,32,1715.14,1.312,0.002,1303.63,0.003,2.122
