device/C,kernel/C,workDimension/C,noOfTraj/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,1,1,1,8,472.436,0.532,0.002,4616.16,0.002,1.272
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,1,2,1,8,470.088,0.523,0.002,2451.4,0.002,1.087
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,1,4,1,8,472.036,0.526,0.001,1329.03,0.002,1.09
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,1,8,1,8,471.034,0.528,0.001,758.703,0.002,1.132
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,1,16,1,8,471.012,0.521,0.002,470.636,0.002,1.132
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,1,32,1,8,471.586,0.522,0.002,329.623,0.002,1.103
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,1,64,1,8,471.038,0.519,0.002,326.206,0.002,1.112
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,1,128,1,8,471.141,0.522,0.002,325.446,0.002,1.112
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,1,256,1,8,472.102,0.532,0.002,330.464,0.003,1.131
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,1,512,1,8,471.387,0.505,0.002,340.47,0.002,1.112
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,1,1024,1,8,471.51,0.524,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,2,1,1,8,471.466,0.525,0.001,2454.06,0.002,1.101
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,2,2,1,8,470.978,0.519,0.002,1333.18,0.003,1.092
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,2,4,1,8,471.145,0.504,0.002,757.353,0.003,1.142
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,2,8,1,8,471.555,0.527,0.002,469.745,0.003,1.117
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,2,16,1,8,471.223,0.52,0.001,329.616,0.003,1.136
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,2,32,1,8,472.143,0.507,0.002,326.298,0.002,1.119
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,2,64,1,8,471.117,0.524,0.002,325.044,0.003,1.104
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,2,128,1,8,471.029,0.523,0.002,330.134,0.003,1.106
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,2,256,1,8,471.058,0.523,0.002,340.048,0.003,1.12
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,2,512,1,8,471.113,0.52,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,4,1,1,8,471.303,0.525,0.002,1331.74,0.003,1.087
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,4,2,1,8,470.979,0.522,0.001,756.753,0.003,1.131
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,4,4,1,8,470.997,0.521,0.002,470.287,0.003,1.111
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,4,8,1,8,471.967,0.523,0.002,329.863,0.003,1.097
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,4,16,1,8,470.948,0.527,0.002,326.279,0.004,1.121
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,4,32,1,8,471.112,0.523,0.001,324.937,0.003,1.113
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,4,64,1,8,472.026,0.505,0.001,329.092,0.002,1.116
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,4,128,1,8,471.291,0.526,0.002,339.961,0.003,1.107
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,4,256,1,8,471.02,0.525,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,8,1,1,8,472.204,0.527,0.002,756.721,0.003,1.129
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,8,2,1,8,470.935,0.519,0.002,470.634,0.004,1.107
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,8,4,1,8,470.935,0.52,0.002,329.342,0.003,1.119
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,8,8,1,8,471.64,0.519,0.001,326.152,0.002,1.141
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,8,16,1,8,472.047,0.503,0.002,325.043,0.002,1.142
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,8,32,1,8,471.015,0.528,0.002,329.265,0.003,1.095
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,8,64,1,8,471.042,0.525,0.001,340.166,0.003,1.112
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,8,128,1,8,471.035,0.52,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,16,1,1,8,471.343,0.521,0.002,470.18,0.002,1.11
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,16,2,1,8,472.234,0.539,0.002,329.596,0.003,1.107
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,16,4,1,8,471.222,0.525,0.002,326.34,0.003,1.113
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,16,8,1,8,470.955,0.527,0.002,325.1,0.002,1.107
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,16,16,1,8,472.062,0.52,0.002,329.016,0.002,1.112
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,16,32,1,8,471.146,0.503,0.001,339.871,0.003,1.104
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,16,64,1,8,471.54,0.536,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,2048,10,32,1,1,8,471.839,0.523,0.002,329.084,0.002,1.11
