device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,1,1,1,112,610.232,122.269,0.002,18.234,68.255,0.927
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,2,1,1,112,597.264,123.278,0.002,11.35,34.556,0.657
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,4,1,1,112,593.906,122.327,0.002,7.053,17.259,0.635
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,8,1,1,112,591.661,122.499,0.002,4.341,9.145,0.637
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,16,1,1,112,590.934,122.469,0.002,2.78,4.928,0.635
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,32,1,1,112,588.23,122.604,0.002,1.845,2.678,0.647
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,64,1,1,112,587.789,122.501,0.002,1.541,1.788,0.62
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,128,1,1,112,588.758,122.463,0.002,1.35,1.458,0.58
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,256,1,1,112,587.812,122.43,0.003,1.52,1.411,0.586
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,512,1,1,112,588.412,122.485,0.002,1.608,1.294,0.572
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,1024,1,1,112,588.741,122.37,0.002,1.969,1.245,0.579
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,1,1,1,112,609.878,121.873,0.002,18.229,68.373,0.927
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,2,1,1,112,597.255,122.171,0.002,11.357,34.269,0.651
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,4,1,1,112,595.45,122.118,0.002,7.056,17.364,0.63
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,8,1,1,112,591.512,122.317,0.002,4.377,8.973,0.631
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,16,1,1,112,589.278,122.313,0.002,2.781,4.855,0.619
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,32,1,1,112,589.265,122.411,0.002,1.992,2.72,0.591
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,64,1,1,112,588.076,122.379,0.002,1.512,1.844,0.625
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,128,1,1,112,588.216,122.951,0.002,1.326,1.467,0.597
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,256,1,1,112,587.619,122.186,0.003,1.412,1.312,0.572
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,512,1,1,112,588.163,122.561,0.003,1.731,1.246,0.565
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,1024,1,1,112,588.591,122.454,0.002,1.927,1.182,0.569
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,1,1,1,112,610.886,121.371,0.003,18.315,68.05,0.92
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,2,1,1,112,597.084,121.738,0.003,11.374,34.319,0.663
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,4,1,1,112,596.656,121.653,0.002,6.985,17.464,0.626
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,8,1,1,112,594.889,121.545,0.003,4.345,9.059,0.616
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,16,1,1,112,589.844,121.723,0.003,2.777,4.824,0.61
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,32,1,1,112,589.559,121.809,0.002,1.866,2.844,0.615
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,64,1,1,112,587.74,121.944,0.003,1.565,1.68,0.613
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,128,1,1,112,587.509,121.88,0.002,1.332,1.431,0.573
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,256,1,1,112,588.442,121.685,0.002,1.54,1.429,0.574
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,512,1,1,112,587.915,122.002,0.002,1.593,1.223,0.572
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,1024,1,1,112,588.38,121.659,0.003,1.951,1.315,0.618
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,1,1,1,112,610.753,121.783,0.002,18.247,68.186,0.942
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,2,1,1,112,597.19,122.115,0.002,11.351,34.244,0.666
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,4,1,1,112,594.086,121.907,0.003,7.027,17.281,0.629
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,8,1,1,112,592.419,122.013,0.003,4.326,9.231,0.617
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,16,1,1,112,590.127,121.985,0.002,2.777,4.923,0.638
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,32,1,1,112,588.361,122.471,0.002,1.873,2.703,0.653
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,64,1,1,112,588.694,122.309,0.002,1.486,1.813,0.667
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,128,1,1,112,587.964,122.318,0.002,1.353,1.455,0.577
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,256,1,1,112,588.315,122.415,0.002,1.417,1.391,0.582
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,512,1,1,112,587.61,121.927,0.002,1.611,1.279,0.599
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,1024,1,1,112,587.827,122.243,0.002,1.897,1.189,0.566
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,1,1,1,112,609.979,121.841,0.003,18.241,67.966,0.922
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,2,1,1,112,598.295,121.722,0.003,11.35,34.35,0.651
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,4,1,1,112,594.32,122.037,0.002,7.031,17.219,0.616
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,8,1,1,112,592.093,122.524,0.003,4.376,9.069,0.672
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,16,1,1,112,589.375,122.21,0.002,2.774,4.789,0.629
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,32,1,1,112,588.84,122.196,0.002,1.836,2.655,0.642
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,64,1,1,112,589.024,121.823,0.003,1.487,1.809,0.658
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,128,1,1,112,587.676,122.205,0.003,1.33,1.432,0.563
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,256,1,1,112,587.992,122.183,0.002,1.435,1.295,0.573
Tesla K20Xm,Reduction,ONE_D,7.34003e+06,512,1,1,112,589.625,121.882,0.002,1.64,1.223,0.567
