device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,1,1,1,8,49.959,11.908,0.003,71477.7,0.001,1.811
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,2,1,1,8,45.015,10.36,0.004,71472.6,0.001,1.793
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,4,1,1,8,45.265,10.525,0.003,71490.6,0.001,1.841
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,8,1,1,8,45.079,10.469,0.004,17410,0.001,1.913
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,16,1,1,8,44.912,10.255,0.004,17412.2,0.002,1.952
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,32,1,1,8,44.948,10.326,0.003,17475.2,0.002,1.991
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,64,1,1,8,45.069,10.529,0.004,17494.6,0.001,1.969
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,128,1,1,8,45.055,10.368,0.003,17569.7,0.001,1.958
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,256,1,1,8,45.009,10.18,0.003,17718.8,0.001,1.987
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,512,1,1,8,45.196,10.442,0.003,18189,0.016,1.926
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,1024,1,1,8,45.026,10.242,0.004,18770.4,0.001,2.627
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,2048,1,1,8,46.289,13.521,0.005,20127.4,0.001,2.815
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,4096,1,1,8,45.869,13.828,0.005,19696.1,0.001,3.056
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,8192,1,1,8,46.462,13.625,0.004,25625.8,0,2.599
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,1,1,1,8,47.968,12.05,0.004,71465,0.001,1.89
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,524288,0.005,1,2,1,1,8,44.909,10.724,0.004,71470.7,0.001,1.969
