device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,1,1,1,18,105.503,8.991,0.004,3.476,6.022,1.406
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,2,1,1,18,93.69,8.836,0.017,2.899,3.106,1.458
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,4,1,1,18,93.595,8.766,0.004,3.111,1.653,1.19
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,8,1,1,18,92.83,8.508,0.003,0.959,0.946,1.208
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,16,1,1,18,91.158,8.217,0.004,0.986,0.519,1.16
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,32,1,1,18,90.694,8.089,0.004,0.971,0.351,1.179
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,64,1,1,18,90.959,8.136,0.003,1.005,0.223,1.081
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,128,1,1,18,90.765,8.08,0.004,1.028,0.147,1.132
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,256,1,1,18,90.756,8.073,0.004,1.083,0.124,1.206
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,512,1,1,18,91.113,8.082,0.003,1.177,0.099,1.072
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,1024,1,1,18,91.81,8.211,0.002,1.409,0.099,1.071
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,2048,1,1,18,90.628,8.096,0.004,1.501,0.079,1.148
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,4096,1,1,18,91.2,8.273,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,8192,1,1,18,90.305,8.477,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,1,1,1,18,97.783,8.877,0.006,3.281,5.965,1.516
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,2,1,1,18,96.197,8.965,0.02,3.262,3.161,1.537
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,4,1,1,18,94.847,8.721,0.005,1.518,1.613,1.596
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,8,1,1,18,92.372,8.943,0.006,0.992,0.89,1.485
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,16,1,1,18,92.016,8.91,0.019,0.959,0.509,1.28
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,32,1,1,18,90.887,8.837,0.003,0.988,0.309,1.296
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,64,1,1,18,90.787,8.581,0.004,1.041,0.292,1.23
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,128,1,1,18,90.87,8.588,0.004,1.003,0.246,1.366
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,256,1,1,18,90.613,8.542,0.018,1.061,0.087,1.281
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,512,1,1,18,90.85,8.657,0.005,1.168,0.232,1.261
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,1024,1,1,18,90.724,8.502,0.005,1.407,0.102,1.231
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,2048,1,1,18,90.876,8.586,0.005,1.567,0.09,1.272
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,4096,1,1,18,91.093,8.743,0.004,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.17965e+06,8192,1,1,18,90.539,9.059,0.004,-1,-1,-1
