device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,1,1,1,12,71.479,23.577,0.005,160787,0.001,2.035
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,2,1,1,12,67.369,16.492,0.004,161370,0.001,1.967
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,4,1,1,12,67.729,16.89,0.004,160779,0.025,2.09
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,8,1,1,12,67.501,16.717,0.004,39152.8,0.002,2.115
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,16,1,1,12,68.104,16.914,0.005,39178.7,0,2.201
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,32,1,1,12,67.575,16.62,0.005,39168.5,0.001,2.024
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,64,1,1,12,67.47,20.384,0.004,39199.1,0,2.143
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,128,1,1,12,67.571,16.678,0.004,39314.8,0.001,2.124
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,256,1,1,12,67.325,16.64,0.004,39529.9,0.001,2.122
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,512,1,1,12,67.343,17.047,0.005,39722.5,0.001,2.963
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,1024,1,1,12,68.76,20.874,0.007,41977,0.002,2.728
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,2048,1,1,12,68.693,20.888,0.006,42536.6,0.001,2.696
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,4096,1,1,12,68.838,21.535,0.005,43821.1,0.001,2.639
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,8192,1,1,12,68.756,20.823,0.007,43740.9,0.001,2.69
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,1,1,1,12,74.49,18.681,0.006,164580,0.001,2.565
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,2,1,1,12,67.489,16.294,0.006,164747,0.001,2.575
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,4,1,1,12,67.331,16.673,0.006,164595,0.001,2.509
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,8,1,1,12,67.534,16.807,0.006,39735.3,0.001,2.716
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,16,1,1,12,67.643,16.703,0.007,39769,0.001,2.103
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,32,1,1,12,68.969,20.455,0.005,39157.6,0.011,2.077
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,64,1,1,12,68.667,20.172,0.005,39206.9,0.001,2.091
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,128,1,1,12,69.233,20.714,0.004,39441.2,0.001,1.976
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,256,1,1,12,68.579,20.309,0.005,39494.2,0.001,1.967
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,512,1,1,12,68.855,20.231,0.005,39690.2,0.001,2.751
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,1024,1,1,12,71.416,16.448,0.006,42179.7,0.001,2.833
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,2048,1,1,12,67.715,16.808,0.006,44133.8,0.002,2.524
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,4096,1,1,12,89.591,23.4,0.006,39873.7,0.001,1.999
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,NBody,ONE_D,786432,0.005,1,8192,1,1,12,68.729,20.187,0.004,39886.3,0.001,1.981
