device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,727,744,1,1,1,128,0.015,0,0.003,0.156,0,0.411
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,727,744,2,1,1,128,0.005,0,0.001,0.124,0.001,0.4
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,727,744,4,1,1,128,0.004,0,0.001,0.125,0,0.364
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,727,744,8,1,1,128,0.004,0,0.001,0.107,0.001,0.384
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,727,744,16,1,1,128,0.004,0,0.001,0.051,0,0.385
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,727,744,32,1,1,128,0.004,0,0.001,0.046,0,0.425
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,727,744,64,1,1,128,0.004,0,0.001,0.043,0,0.361
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,727,744,128,1,1,128,0.004,0,0.001,0.043,0,0.406
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,727,744,256,1,1,128,0.004,0,0.001,0.041,0,0.381
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,727,744,512,1,1,128,0.004,0.001,0.001,0.036,0.001,0.373
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,727,744,1024,1,1,128,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,727,744,2048,1,1,128,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,727,744,4096,1,1,128,0.009,0.001,0.002,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,727,744,8192,1,1,128,0.01,0,0.003,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,446,553,1,1,1,128,0.015,0.001,0.004,0.196,0.001,0.75
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,446,553,2,1,1,128,0.004,0,0.002,0.654,0.001,1.098
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,446,553,4,1,1,128,0.005,0,0.001,0.623,0,0.972
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,446,553,8,1,1,128,0.01,0,0.002,0.418,0.001,0.889
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,446,553,16,1,1,128,0.005,0,0.002,0.046,0,0.58
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,446,553,32,1,1,128,0.004,0,0.002,0.043,0,0.501
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,446,553,64,1,1,128,0.004,0,0.001,0.038,0,0.651
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,446,553,128,1,1,128,0.005,0,0.002,0.293,0,0.361
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,446,553,256,1,1,128,0.004,0,0.001,0.037,0.001,0.583
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,446,553,512,1,1,128,0.005,0,0.002,0.039,0,0.598
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,446,553,1024,1,1,128,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,446,553,2048,1,1,128,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,446,553,4096,1,1,128,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,446,553,8192,1,1,128,0.003,0,0.001,-1,-1,-1
