height,xThreads,yThreads,time
8192,2,1,134.047
8192,2,2,72.690
8192,2,4,41.093
8192,2,8,23.847
8192,2,16,15.472
8192,2,32,10.333
8192,2,64,10.523
8192,2,128,11.842
8192,2,256,12.841
8192,2,512,13.610
8192,4,1,70.806
8192,4,2,38.627
8192,4,4,21.798
8192,4,8,12.782
8192,4,16,7.702
8192,4,32,6.655
8192,4,64,6.673
8192,4,128,7.238
8192,4,256,8.163
8192,8,1,38.693
8192,8,2,21.101
8192,8,4,11.872
8192,8,8,7.088
8192,8,16,5.699
8192,8,32,5.613
8192,8,64,5.723
8192,8,128,6.986
8192,16,1,21.246
8192,16,2,11.839
8192,16,4,7.457
8192,16,8,6.169
8192,16,16,6.326
8192,16,32,6.446
8192,16,64,7.329
8192,32,1,12.608
8192,32,2,8.396
8192,32,4,7.952
8192,32,8,8.224
8192,32,16,8.584
8192,32,32,9.499
8192,64,1,8.100
8192,64,2,7.863
8192,64,4,8.092
8192,64,8,8.509
8192,64,16,9.463
8192,128,1,8.075
8192,128,2,8.004
8192,128,4,8.617
8192,128,8,9.384
8192,256,1,7.983
8192,256,2,8.220
8192,256,4,9.253
8192,512,1,8.278
8192,512,2,9.167
8192,1024,1,9.385
8192,1,1,259.379
8192,1,2,140.892
8192,1,4,78.758
8192,1,8,45.548
8192,1,16,29.142
8192,1,32,21.943
8192,1,64,17.960
8192,1,128,18.658
8192,1,256,20.257
8192,1,512,21.228
8192,1,1024,22.030
8192,2,1,133.901
8192,2,2,72.638
8192,2,4,41.075
8192,2,8,23.941
8192,2,16,15.441
8192,2,32,10.184
8192,2,64,10.534
8192,2,128,11.775
8192,2,256,12.831
8192,2,512,13.599
8192,4,1,70.754
8192,4,2,38.591
8192,4,4,21.691
8192,4,8,12.749
8192,4,16,7.757
8192,4,32,6.570
8192,4,64,6.636
8192,4,128,7.213
8192,4,256,8.117
8192,8,1,38.546
8192,8,2,21.030
8192,8,4,11.832
8192,8,8,7.001
8192,8,16,5.592
8192,8,32,5.564
8192,8,64,5.657
8192,8,128,6.792
8192,16,1,21.226
8192,16,2,11.720
8192,16,4,7.410
8192,16,8,6.101
8192,16,16,6.209
8192,16,32,6.382
8192,16,64,7.285
8192,32,1,12.505
8192,32,2,8.384
8192,32,4,7.916
8192,32,8,8.192
8192,32,16,8.550
8192,32,32,9.428
8192,64,1,8.096
8192,64,2,7.982
8192,64,4,8.068
8192,64,8,8.627
8192,64,16,9.427
8192,128,1,7.933
8192,128,2,8.025
8192,128,4,8.490
8192,128,8,9.370
8192,256,1,7.971
8192,256,2,8.204
8192,256,4,9.239
8192,512,1,8.156
8192,512,2,9.129
8192,1024,1,9.410
8192,1,1,259.170
8192,1,2,140.853
8192,1,4,78.690
8192,1,8,45.645
8192,1,16,29.153
8192,1,32,21.923
8192,1,64,17.959
8192,1,128,18.623
8192,1,256,20.221
8192,1,512,21.308
8192,1,1024,22.034
8192,2,1,133.938
8192,2,2,72.679
8192,2,4,41.076
8192,2,8,23.989
8192,2,16,15.372
8192,2,32,10.158
8192,2,64,10.478
8192,2,128,11.785
8192,2,256,12.812
8192,2,512,13.629
8192,4,1,70.752
8192,4,2,38.587
8192,4,4,21.697
8192,4,8,12.743
8192,4,16,7.816
8192,4,32,6.548
8192,4,64,6.632
8192,4,128,7.200
8192,4,256,8.112
8192,8,1,38.570
8192,8,2,21.087
8192,8,4,11.976
8192,8,8,7.060
8192,8,16,5.640
8192,8,32,5.636
8192,8,64,5.719
8192,8,128,6.855
8192,16,1,21.211
8192,16,2,11.744
8192,16,4,7.443
8192,16,8,6.254
8192,16,16,6.321
8192,16,32,6.454
8192,16,64,7.269
8192,32,1,12.509
8192,32,2,8.541
8192,32,4,7.908
8192,32,8,8.195
8192,32,16,8.539
8192,32,32,9.488
8192,64,1,8.038
8192,64,2,7.840
8192,64,4,8.126
8192,64,8,8.450
8192,64,16,9.392
8192,128,1,7.969
8192,128,2,7.982
8192,128,4,8.363
8192,128,8,9.400
8192,256,1,8.095
8192,256,2,8.109
8192,256,4,9.239
8192,512,1,8.238
8192,512,2,9.160
8192,1024,1,9.280
8192,1,1,259.353
8192,1,2,140.937
8192,1,4,78.747
8192,1,8,45.589
8192,1,16,29.090
8192,1,32,21.972
8192,1,64,17.955
8192,1,128,18.642
8192,1,256,20.212
8192,1,512,21.308
8192,1,1024,22.173
8192,2,1,133.941
8192,2,2,72.662
8192,2,4,41.060
8192,2,8,23.858
8192,2,16,15.375
8192,2,32,10.249
8192,2,64,10.480
8192,2,128,11.805
8192,2,256,12.806
8192,2,512,13.488
8192,4,1,70.765
8192,4,2,38.565
8192,4,4,21.727
8192,4,8,12.733
8192,4,16,7.690
8192,4,32,6.563
8192,4,64,6.657
8192,4,128,7.200
8192,4,256,8.135
8192,8,1,38.629
8192,8,2,21.043
8192,8,4,11.828
8192,8,8,7.005
8192,8,16,5.623
8192,8,32,5.609
8192,8,64,5.858
8192,8,128,6.833
8192,16,1,21.205
8192,16,2,11.771
8192,16,4,7.450
8192,16,8,6.125
8192,16,16,6.237
8192,16,32,6.382
8192,16,64,7.298
8192,32,1,12.486
8192,32,2,8.488
8192,32,4,7.932
8192,32,8,8.183
8192,32,16,8.596
8192,32,32,9.422
8192,64,1,8.028
8192,64,2,7.888
8192,64,4,8.067
8192,64,8,8.561
8192,64,16,9.418
8192,128,1,7.900
8192,128,2,8.010
8192,128,4,8.515
8192,128,8,9.364
8192,256,1,7.957
8192,256,2,8.162
8192,256,4,9.237
8192,512,1,8.171
8192,512,2,9.104
8192,1024,1,9.281
8192,1,1,259.229
8192,1,2,140.922
8192,1,4,78.780
8192,1,8,45.575
8192,1,16,29.087
8192,1,32,21.935
8192,1,64,17.953
8192,1,128,18.592
8192,1,256,20.099
8192,1,512,21.225
8192,1,1024,22.040
8192,2,1,133.936
8192,2,2,72.627
8192,2,4,41.047
8192,2,8,23.763
8192,2,16,15.388
8192,2,32,10.150
8192,2,64,10.497
8192,2,128,11.837
8192,2,256,12.781
8192,2,512,13.549
8192,4,1,70.741
8192,4,2,38.618
8192,4,4,21.712
8192,4,8,12.751
8192,4,16,7.715
8192,4,32,6.630
8192,4,64,6.729
8192,4,128,7.184
8192,4,256,8.140
8192,8,1,38.575
8192,8,2,21.051
8192,8,4,11.856
8192,8,8,7.038
8192,8,16,5.619
8192,8,32,5.590
8192,8,64,5.679
8192,8,128,6.832
8192,16,1,21.257
8192,16,2,11.761
8192,16,4,7.432
8192,16,8,6.128
8192,16,16,6.224
8192,16,32,6.365
8192,16,64,7.303
8192,32,1,12.573
8192,32,2,8.327
8192,32,4,7.959
8192,32,8,8.224
8192,32,16,8.569
8192,32,32,9.489
8192,64,1,8.128
8192,64,2,7.826
8192,64,4,8.141
8192,64,8,8.494
8192,64,16,9.473
8192,128,1,7.925
8192,128,2,7.966
8192,128,4,8.362
8192,128,8,9.386
8192,256,1,7.956
8192,256,2,8.173
8192,256,4,9.316
8192,512,1,8.153
8192,512,2,9.156
8192,1024,1,9.359
8192,1,1,259.185
8192,1,2,140.884
8192,1,4,78.698
8192,1,8,45.546
8192,1,16,29.115
8192,1,32,21.919
8192,1,64,17.949
8192,1,128,18.576
8192,1,256,20.234
8192,1,512,21.272
8192,1,1024,22.127
8192,2,1,133.948
8192,2,2,72.645
8192,2,4,41.067
8192,2,8,23.865
8192,2,16,15.385
8192,2,32,10.157
8192,2,64,10.481
8192,2,128,11.822
8192,2,256,12.835
8192,2,512,13.499
8192,4,1,70.762
8192,4,2,38.647
8192,4,4,21.746
8192,4,8,12.746
8192,4,16,7.656
8192,4,32,6.545
8192,4,64,6.662
8192,4,128,7.209
8192,4,256,8.157
8192,8,1,38.576
8192,8,2,21.054
8192,8,4,11.867
8192,8,8,7.026
8192,8,16,5.615
8192,8,32,5.578
8192,8,64,5.723
8192,8,128,7.031
8192,16,1,21.229
8192,16,2,11.708
8192,16,4,7.389
8192,16,8,6.168
8192,16,16,6.253
8192,16,32,6.451
8192,16,64,7.288
8192,32,1,12.490
8192,32,2,8.538
8192,32,4,7.943
8192,32,8,8.273
8192,32,16,8.541
8192,32,32,9.389
8192,64,1,8.026
8192,64,2,7.829
8192,64,4,8.147
8192,64,8,8.502
8192,64,16,9.439
8192,128,1,7.928
8192,128,2,7.996
8192,128,4,8.373
8192,128,8,9.393
8192,256,1,7.976
8192,256,2,8.159
8192,256,4,9.231
8192,512,1,8.159
8192,512,2,9.347
8192,1024,1,9.361
8192,1,1,259.158
8192,1,2,140.862
8192,1,4,78.725
8192,1,8,45.572
8192,1,16,29.165
8192,1,32,21.910
8192,1,64,17.929
8192,1,128,18.605
8192,1,256,20.132
8192,1,512,21.404
8192,1,1024,22.074
8192,2,1,133.942
8192,2,2,72.643
8192,2,4,41.065
8192,2,8,23.812
8192,2,16,15.413
8192,2,32,10.165
8192,2,64,10.508
8192,2,128,11.847
8192,2,256,12.848
8192,2,512,13.566
8192,4,1,70.932
8192,4,2,38.552
8192,4,4,21.736
8192,4,8,12.798
8192,4,16,7.717
8192,4,32,6.539
8192,4,64,6.658
8192,4,128,7.241
8192,4,256,8.111
8192,8,1,38.569
8192,8,2,21.096
8192,8,4,11.821
8192,8,8,7.053
8192,8,16,5.623
8192,8,32,5.738
8192,8,64,5.670
8192,8,128,6.995
8192,16,1,21.233
8192,16,2,11.752
8192,16,4,7.408
8192,16,8,6.100
8192,16,16,6.230
8192,16,32,6.420
8192,16,64,7.277
8192,32,1,12.505
8192,32,2,8.300
8192,32,4,7.981
8192,32,8,8.199
8192,32,16,8.610
8192,32,32,9.456
8192,64,1,8.041
8192,64,2,7.834
8192,64,4,8.058
8192,64,8,8.607
8192,64,16,9.437
8192,128,1,8.065
8192,128,2,7.973
8192,128,4,8.379
8192,128,8,9.350
8192,256,1,7.963
8192,256,2,8.110
8192,256,4,9.230
8192,512,1,8.235
8192,512,2,9.161
8192,1024,1,9.280
8192,1,1,259.145
8192,1,2,140.925
8192,1,4,78.718
8192,1,8,45.599
8192,1,16,29.200
8192,1,32,21.917
8192,1,64,18.017
8192,1,128,18.597
8192,1,256,20.126
8192,1,512,21.224
8192,1,1024,22.139
8192,2,1,133.942
8192,2,2,72.621
8192,2,4,41.056
8192,2,8,23.794
8192,2,16,15.397
8192,2,32,10.190
8192,2,64,10.515
8192,2,128,11.770
8192,2,256,12.809
8192,2,512,13.521
8192,4,1,70.744
8192,4,2,38.562
8192,4,4,21.771
8192,4,8,12.809
8192,4,16,7.694
8192,4,32,6.534
8192,4,64,6.637
8192,4,128,7.320
8192,4,256,8.138
8192,8,1,38.564
8192,8,2,21.039
8192,8,4,11.840
8192,8,8,7.045
8192,8,16,5.647
8192,8,32,5.587
8192,8,64,5.765
8192,8,128,6.800
8192,16,1,21.208
8192,16,2,11.836
8192,16,4,7.396
8192,16,8,6.091
8192,16,16,6.218
8192,16,32,6.359
8192,16,64,7.278
8192,32,1,12.654
8192,32,2,8.488
8192,32,4,8.008
8192,32,8,8.190
8192,32,16,8.560
8192,32,32,9.466
8192,64,1,8.031
8192,64,2,7.853
8192,64,4,8.117
8192,64,8,8.484
8192,64,16,9.449
8192,128,1,8.122
8192,128,2,7.948
8192,128,4,8.386
8192,128,8,9.388
8192,256,1,8.014
8192,256,2,8.108
8192,256,4,9.231
8192,512,1,8.153
8192,512,2,9.215
8192,1024,1,9.294
