height,xThreads,yThreads,time
8192,1,1,259.614
8192,1,2,140.950
8192,1,4,78.827
8192,1,8,45.575
8192,1,16,29.124
8192,1,32,21.962
8192,1,64,17.987
8192,1,128,18.653
8192,1,256,20.209
8192,1,512,21.335
8192,1,1024,22.102
8192,2,1,133.960
8192,2,2,72.844
8192,2,4,41.095
8192,2,8,23.838
8192,2,16,15.455
8192,2,32,10.217
8192,2,64,10.514
8192,2,128,11.945
8192,2,256,12.908
8192,2,512,13.528
8192,4,1,70.770
8192,4,2,38.654
8192,4,4,21.806
8192,4,8,12.829
8192,4,16,7.718
8192,4,32,6.588
8192,4,64,6.686
8192,4,128,7.219
8192,4,256,8.139
8192,8,1,38.619
8192,8,2,21.075
8192,8,4,11.874
8192,8,8,7.063
8192,8,16,5.628
8192,8,32,5.593
8192,8,64,5.711
8192,8,128,6.931
8192,16,1,21.359
8192,16,2,11.797
8192,16,4,7.408
8192,16,8,6.159
8192,16,16,6.297
8192,16,32,6.402
8192,16,64,7.356
8192,32,1,12.584
8192,32,2,8.408
8192,32,4,8.016
8192,32,8,8.222
8192,32,16,8.551
8192,32,32,9.470
8192,64,1,8.077
8192,64,2,7.877
8192,64,4,8.099
8192,64,8,8.506
8192,64,16,9.472
8192,128,1,7.965
8192,128,2,7.981
8192,128,4,8.409
8192,128,8,9.510
8192,256,1,8.043
8192,256,2,8.159
8192,256,4,9.299
8192,512,1,8.248
8192,512,2,9.247
8192,1024,1,9.377
8192,1,1,259.250
8192,1,2,140.895
8192,1,4,78.732
8192,1,8,45.558
8192,1,16,29.117
8192,1,32,22.037
8192,1,64,17.991
8192,1,128,18.612
8192,1,256,20.237
8192,1,512,21.317
8192,1,1024,22.080
8192,2,1,133.999
8192,2,2,72.742
8192,2,4,41.087
8192,2,8,23.974
8192,2,16,15.395
8192,2,32,10.202
8192,2,64,10.484
8192,2,128,11.873
8192,2,256,12.864
8192,2,512,13.510
8192,4,1,70.809
8192,4,2,38.649
8192,4,4,21.820
8192,4,8,12.919
8192,4,16,7.865
8192,4,32,6.745
8192,4,64,6.849
8192,4,128,7.286
8192,4,256,8.151
8192,8,1,38.606
8192,8,2,21.095
8192,8,4,11.862
8192,8,8,7.122
8192,8,16,5.623
8192,8,32,5.656
8192,8,64,5.709
8192,8,128,6.848
8192,16,1,21.241
8192,16,2,11.777
8192,16,4,7.420
8192,16,8,6.166
8192,16,16,6.258
8192,16,32,6.393
8192,16,64,7.335
8192,32,1,12.602
8192,32,2,8.369
8192,32,4,7.982
8192,32,8,8.241
8192,32,16,8.593
8192,32,32,9.443
8192,64,1,8.083
8192,64,2,7.866
8192,64,4,8.076
8192,64,8,8.495
8192,64,16,9.474
8192,128,1,7.932
8192,128,2,7.996
8192,128,4,8.406
8192,128,8,9.414
8192,256,1,8.171
8192,256,2,8.225
8192,256,4,9.351
8192,512,1,8.204
8192,512,2,9.171
8192,1024,1,9.310
8192,1,1,259.207
8192,1,2,140.916
8192,1,4,78.783
8192,1,8,45.568
8192,1,16,29.139
8192,1,32,21.993
8192,1,64,18.002
8192,1,128,18.628
8192,1,256,20.133
8192,1,512,21.286
8192,1,1024,22.135
8192,2,1,133.976
8192,2,2,72.788
8192,2,4,41.111
8192,2,8,23.835
8192,2,16,15.464
8192,2,32,10.193
8192,2,64,10.537
8192,2,128,11.811
8192,2,256,12.817
8192,2,512,13.581
8192,4,1,70.801
8192,4,2,38.604
8192,4,4,21.756
8192,4,8,12.798
8192,4,16,7.748
8192,4,32,6.742
8192,4,64,6.745
8192,4,128,7.287
8192,4,256,8.165
8192,8,1,38.608
8192,8,2,21.100
8192,8,4,11.864
8192,8,8,7.118
8192,8,16,5.702
8192,8,32,5.672
8192,8,64,5.709
8192,8,128,6.850
8192,16,1,21.242
8192,16,2,11.794
8192,16,4,7.493
8192,16,8,6.220
8192,16,16,6.353
8192,16,32,6.507
8192,16,64,7.384
8192,32,1,12.530
8192,32,2,8.394
8192,32,4,8.033
8192,32,8,8.295
8192,32,16,8.572
8192,32,32,9.433
8192,64,1,8.142
8192,64,2,7.949
8192,64,4,8.168
8192,64,8,8.632
8192,64,16,9.663
8192,128,1,7.932
8192,128,2,8.002
8192,128,4,8.396
8192,128,8,9.413
8192,256,1,7.979
8192,256,2,8.151
8192,256,4,9.267
8192,512,1,8.190
8192,512,2,9.180
8192,1024,1,9.352
8192,1,1,259.228
8192,1,2,140.902
8192,1,4,78.737
8192,1,8,45.599
8192,1,16,29.122
8192,1,32,21.936
8192,1,64,18.007
8192,1,128,18.659
8192,1,256,20.176
8192,1,512,21.428
8192,1,1024,22.186
8192,2,1,134.018
8192,2,2,72.675
8192,2,4,41.154
8192,2,8,23.900
8192,2,16,15.416
8192,2,32,10.215
8192,2,64,12.444
8192,2,128,11.797
8192,2,256,12.816
8192,2,512,13.542
8192,4,1,70.789
8192,4,2,38.601
8192,4,4,21.792
8192,4,8,12.779
8192,4,16,7.683
8192,4,32,6.572
8192,4,64,6.660
8192,4,128,7.221
8192,4,256,8.143
8192,8,1,38.623
8192,8,2,21.096
8192,8,4,11.900
8192,8,8,7.099
8192,8,16,5.704
8192,8,32,5.690
8192,8,64,5.701
8192,8,128,6.849
8192,16,1,21.263
8192,16,2,11.785
8192,16,4,7.420
8192,16,8,6.201
8192,16,16,6.276
8192,16,32,6.434
8192,16,64,7.302
8192,32,1,12.544
8192,32,2,8.373
8192,32,4,7.963
8192,32,8,8.294
8192,32,16,8.598
8192,32,32,9.441
8192,64,1,8.127
8192,64,2,7.864
8192,64,4,8.115
8192,64,8,8.517
8192,64,16,9.459
8192,128,1,7.928
8192,128,2,7.995
8192,128,4,8.396
8192,128,8,9.426
8192,256,1,8.072
8192,256,2,8.164
8192,256,4,9.347
8192,512,1,8.165
8192,512,2,9.251
8192,1024,1,9.332
8192,1,1,259.190
8192,1,2,140.918
8192,1,4,78.735
8192,1,8,45.551
8192,1,16,29.138
8192,1,32,21.989
8192,1,64,18.001
8192,1,128,18.634
8192,1,256,20.270
8192,1,512,21.325
8192,1,1024,22.108
8192,2,1,133.962
8192,2,2,72.677
8192,2,4,41.114
8192,2,8,23.841
8192,2,16,15.407
8192,2,32,10.216
8192,2,64,10.512
8192,2,128,11.842
8192,2,256,12.850
8192,2,512,13.508
8192,4,1,70.842
8192,4,2,38.624
8192,4,4,21.732
8192,4,8,12.779
8192,4,16,7.698
8192,4,32,6.577
8192,4,64,6.732
8192,4,128,7.239
8192,4,256,8.204
8192,8,1,38.633
8192,8,2,21.102
8192,8,4,11.856
8192,8,8,7.075
8192,8,16,5.629
8192,8,32,5.613
8192,8,64,5.732
8192,8,128,6.876
8192,16,1,21.246
8192,16,2,11.779
8192,16,4,7.458
8192,16,8,6.144
8192,16,16,6.283
8192,16,32,6.469
8192,16,64,7.388
8192,32,1,12.614
8192,32,2,8.381
8192,32,4,7.951
8192,32,8,8.226
8192,32,16,8.599
8192,32,32,9.467
8192,64,1,8.075
8192,64,2,7.879
8192,64,4,8.091
8192,64,8,8.524
8192,64,16,9.497
8192,128,1,7.983
8192,128,2,8.034
8192,128,4,8.400
8192,128,8,9.410
8192,256,1,8.021
8192,256,2,8.144
8192,256,4,9.259
8192,512,1,8.206
8192,512,2,9.231
8192,1024,1,9.373
8192,1,1,259.202
8192,1,2,141.010
8192,1,4,78.774
8192,1,8,45.607
8192,1,16,29.117
8192,1,32,21.956
8192,1,64,18.029
8192,1,128,18.620
8192,1,256,20.355
8192,1,512,21.453
8192,1,1024,22.152
8192,2,1,134.159
8192,2,2,72.683
8192,2,4,41.174
8192,2,8,23.837
8192,2,16,15.402
8192,2,32,10.190
8192,2,64,10.597
8192,2,128,11.830
8192,2,256,12.835
8192,2,512,13.552
8192,4,1,70.786
8192,4,2,38.682
8192,4,4,21.761
8192,4,8,12.795
8192,4,16,7.715
8192,4,32,6.649
8192,4,64,6.695
8192,4,128,7.217
8192,4,256,8.163
8192,8,1,38.674
8192,8,2,21.079
8192,8,4,11.936
8192,8,8,7.026
8192,8,16,5.616
8192,8,32,5.579
8192,8,64,5.763
8192,8,128,6.854
8192,16,1,21.303
8192,16,2,11.791
8192,16,4,7.416
8192,16,8,6.274
8192,16,16,6.295
8192,16,32,6.465
8192,16,64,7.334
8192,32,1,12.587
8192,32,2,8.396
8192,32,4,7.958
8192,32,8,8.303
8192,32,16,8.604
8192,32,32,9.527
8192,64,1,8.082
8192,64,2,7.866
8192,64,4,8.201
8192,64,8,8.531
8192,64,16,9.480
8192,128,1,8.017
8192,128,2,7.993
8192,128,4,8.488
8192,128,8,9.429
8192,256,1,7.989
8192,256,2,8.148
8192,256,4,9.345
8192,512,1,8.204
8192,512,2,9.177
8192,1024,1,9.390
8192,1,1,259.192
8192,1,2,140.981
8192,1,4,78.763
8192,1,8,45.569
8192,1,16,29.083
8192,1,32,21.940
8192,1,64,17.991
8192,1,128,18.682
8192,1,256,20.201
8192,1,512,21.324
8192,1,1024,22.089
