size,xThreads,yThreads,time
2048,1,1,9114.171
2048,1,2,4634.552
2048,1,4,2506.770
2048,1,8,2049.588
2048,1,16,1901.034
2048,1,32,1820.983
2048,1,64,1810.413
2048,1,128,1815.613
2048,1,256,1827.354
2048,1,512,1846.866
2048,1,1024,1947.895
2048,2,1,4665.258
2048,2,2,2351.741
2048,2,4,1283.704
2048,2,8,1028.768
2048,2,16,952.384
2048,2,32,935.360
2048,2,64,938.037
2048,2,128,938.560
2048,2,256,943.082
2048,2,512,940.638
2048,4,1,2367.551
2048,4,2,1203.942
2048,4,4,665.497
2048,4,8,519.440
2048,4,16,495.117
2048,4,32,498.544
2048,4,64,495.864
2048,4,128,495.293
2048,4,256,494.572
2048,8,1,1231.188
2048,8,2,639.004
2048,8,4,353.579
2048,8,8,281.999
2048,8,16,286.028
2048,8,32,279.920
2048,8,64,278.947
2048,8,128,277.420
2048,16,1,592.536
2048,16,2,303.517
2048,16,4,178.692
2048,16,8,179.384
2048,16,16,174.189
2048,16,32,172.136
2048,16,64,168.406
2048,32,1,298.671
2048,32,2,160.372
2048,32,4,137.162
2048,32,8,136.287
2048,32,16,135.427
2048,32,32,134.851
2048,64,1,158.836
2048,64,2,140.543
2048,64,4,136.461
2048,64,8,136.689
2048,64,16,135.940
2048,128,1,194.803
2048,128,2,139.482
2048,128,4,136.479
2048,128,8,136.693
2048,256,1,193.315
2048,256,2,139.754
2048,256,4,136.846
2048,512,1,189.932
2048,512,2,140.399
2048,1024,1,184.340
2048,1,1,9114.049
2048,1,2,4634.877
2048,1,4,2504.702
2048,1,8,2049.453
2048,1,16,1901.257
2048,1,32,1821.060
2048,1,64,1810.888
2048,1,128,1814.443
2048,1,256,1826.177
2048,1,512,1845.415
2048,1,1024,1972.006
2048,2,1,4665.266
2048,2,2,2351.826
2048,2,4,1282.646
2048,2,8,1028.402
2048,2,16,952.261
2048,2,32,935.445
2048,2,64,938.683
2048,2,128,938.937
2048,2,256,942.435
2048,2,512,940.823
2048,4,1,2367.561
2048,4,2,1203.880
2048,4,4,665.397
2048,4,8,519.485
2048,4,16,495.218
2048,4,32,498.300
2048,4,64,495.945
2048,4,128,495.353
2048,4,256,494.653
2048,8,1,1231.400
2048,8,2,639.184
