size,xThreads,yThreads,time
2048,8,4,353.638
2048,8,8,281.857
2048,8,16,286.016
2048,8,32,279.831
2048,8,64,278.543
2048,8,128,277.401
2048,16,1,592.516
2048,16,2,303.583
2048,16,4,178.647
2048,16,8,179.350
2048,16,16,174.089
2048,16,32,172.122
2048,16,64,168.588
2048,32,1,298.695
2048,32,2,160.342
2048,32,4,137.308
2048,32,8,136.252
2048,32,16,135.397
2048,32,32,134.985
2048,64,1,158.870
2048,64,2,140.447
2048,64,4,136.392
2048,64,8,136.529
2048,64,16,135.849
2048,128,1,193.755
2048,128,2,139.301
2048,128,4,136.562
2048,128,8,136.726
2048,256,1,193.664
2048,256,2,139.728
2048,256,4,136.832
2048,512,1,191.007
2048,512,2,140.489
2048,1024,1,178.325
2048,1,1,9114.665
2048,1,2,4634.911
2048,1,4,2504.661
2048,1,8,2049.441
2048,1,16,1901.236
2048,1,32,1821.148
2048,1,64,1810.127
2048,1,128,1813.649
2048,1,256,1827.087
2048,1,512,1844.883
2048,1,1024,1959.456
2048,2,1,4665.309
2048,2,2,2351.807
2048,2,4,1283.839
2048,2,8,1028.804
2048,2,16,952.481
2048,2,32,935.560
2048,2,64,938.211
2048,2,128,939.417
2048,2,256,942.266
2048,2,512,938.586
2048,4,1,2367.546
2048,4,2,1203.965
2048,4,4,665.464
2048,4,8,519.410
2048,4,16,495.299
2048,4,32,498.709
2048,4,64,496.064
2048,4,128,495.208
2048,4,256,494.690
2048,8,1,1231.392
2048,8,2,639.085
2048,8,4,353.600
2048,8,8,281.945
2048,8,16,286.073
2048,8,32,280.282
2048,8,64,278.740
2048,8,128,277.404
2048,16,1,592.613
2048,16,2,303.560
2048,16,4,178.723
2048,16,8,179.382
2048,16,16,174.132
2048,16,32,172.269
2048,16,64,168.374
2048,32,1,298.651
2048,32,2,160.352
2048,32,4,137.205
2048,32,8,136.295
2048,32,16,135.418
2048,32,32,134.768
2048,64,1,158.837
2048,64,2,140.394
2048,64,4,136.393
2048,64,8,136.534
2048,64,16,135.806
2048,128,1,194.721
2048,128,2,139.331
2048,128,4,136.504
2048,128,8,136.683
2048,256,1,193.891
2048,256,2,139.772
2048,256,4,136.797
2048,512,1,190.316
2048,512,2,140.391
2048,1024,1,186.460
2048,1,1,9114.284
2048,1,2,4635.016
2048,1,4,2505.485
2048,1,8,2049.550
2048,1,16,1901.275
2048,1,32,1821.040
2048,1,64,1810.516
2048,1,128,1815.141
2048,1,256,1826.981
2048,1,512,1843.634
2048,1,1024,1969.285
2048,2,1,4665.257
2048,2,2,2351.825
2048,2,4,1282.866
2048,2,8,1028.637
2048,2,16,952.518
2048,2,32,935.440
2048,2,64,938.256
2048,2,128,938.975
2048,2,256,941.973
2048,2,512,939.649
2048,4,1,2367.538
2048,4,2,1203.996
2048,4,4,665.441
2048,4,8,519.476
2048,4,16,495.263
2048,4,32,498.467
2048,4,64,495.724
2048,4,128,495.359
2048,4,256,494.678
2048,8,1,1231.286
2048,8,2,639.028
2048,8,4,353.798
2048,8,8,281.920
2048,8,16,286.108
2048,8,32,280.039
2048,8,64,278.768
2048,8,128,277.458
2048,16,1,592.605
2048,16,2,303.568
2048,16,4,178.705
2048,16,8,179.233
2048,16,16,174.179
2048,16,32,172.179
2048,16,64,168.564
2048,32,1,298.696
2048,32,2,160.392
2048,32,4,136.964
2048,32,8,136.186
2048,32,16,135.431
2048,32,32,134.983
2048,64,1,158.803
2048,64,2,140.312
2048,64,4,136.374
2048,64,8,136.341
2048,64,16,135.738
2048,128,1,194.621
2048,128,2,139.270
2048,128,4,136.635
2048,128,8,136.745
2048,256,1,193.896
2048,256,2,139.576
2048,256,4,134.794
2048,512,1,190.950
2048,512,2,140.475
2048,1024,1,180.319
2048,1,1,9114.366
2048,1,2,4634.937
2048,1,4,2505.348
2048,1,8,2049.582
2048,1,16,1901.227
2048,1,32,1821.133
2048,1,64,1810.508
2048,1,128,1814.179
2048,1,256,1827.053
2048,1,512,1843.233
2048,1,1024,1956.544
2048,2,1,4665.331
2048,2,2,2351.794
2048,2,4,1282.408
2048,2,8,1028.638
2048,2,16,952.315
2048,2,32,935.374
2048,2,64,938.493
2048,2,128,938.748
2048,2,256,942.543
2048,2,512,936.382
2048,4,1,2367.525
2048,4,2,1203.986
2048,4,4,665.412
2048,4,8,519.437
2048,4,16,495.351
2048,4,32,498.325
2048,4,64,496.181
2048,4,128,494.637
2048,4,256,494.648
2048,8,1,1231.262
2048,8,2,638.992
2048,8,4,353.663
2048,8,8,281.879
2048,8,16,286.095
2048,8,32,279.841
2048,8,64,278.788
2048,8,128,277.411
2048,16,1,592.526
2048,16,2,303.641
2048,16,4,178.737
2048,16,8,179.161
2048,16,16,174.005
2048,16,32,172.274
2048,16,64,168.340
2048,32,1,298.696
2048,32,2,160.357
2048,32,4,136.895
2048,32,8,136.120
2048,32,16,135.507
2048,32,32,134.847
2048,64,1,158.819
2048,64,2,140.498
2048,64,4,136.396
2048,64,8,136.306
2048,64,16,135.900
2048,128,1,194.532
2048,128,2,139.199
2048,128,4,136.554
2048,128,8,136.625
2048,256,1,194.283
2048,256,2,139.704
2048,256,4,136.901
2048,512,1,190.302
2048,512,2,140.405
2048,1024,1,185.691
2048,1,1,9114.510
2048,1,2,4634.888
2048,1,4,2504.741
2048,1,8,2049.527
2048,1,16,1901.189
2048,1,32,1821.049
2048,1,64,1810.453
2048,1,128,1814.335
2048,1,256,1827.221
2048,1,512,1846.465
2048,1,1024,1972.635
2048,2,1,4665.288
2048,2,2,2351.772
2048,2,4,1284.376
2048,2,8,1028.838
2048,2,16,952.454
2048,2,32,935.414
2048,2,64,938.429
2048,2,128,938.443
2048,2,256,941.591
2048,2,512,943.168
2048,4,1,2367.547
2048,4,2,1203.939
2048,4,4,665.495
2048,4,8,519.524
2048,4,16,495.315
2048,4,32,498.292
2048,4,64,495.725
2048,4,128,495.023
2048,4,256,494.687
2048,8,1,1231.283
2048,8,2,638.993
2048,8,4,353.661
2048,8,8,281.933
2048,8,16,286.159
2048,8,32,279.840
2048,8,64,278.586
2048,8,128,277.391
2048,16,1,592.604
2048,16,2,303.553
2048,16,4,178.766
2048,16,8,179.203
2048,16,16,174.259
2048,16,32,172.328
2048,16,64,168.588
2048,32,1,298.667
2048,32,2,160.409
2048,32,4,136.860
2048,32,8,136.169
2048,32,16,135.394
2048,32,32,134.863
2048,64,1,158.798
2048,64,2,140.306
2048,64,4,136.496
2048,64,8,136.414
2048,64,16,135.881
2048,128,1,194.201
2048,128,2,139.217
2048,128,4,136.626
2048,128,8,136.697
2048,256,1,192.861
2048,256,2,139.748
2048,256,4,136.948
2048,512,1,191.495
2048,512,2,140.397
2048,1024,1,184.686
2048,1,1,9114.195
2048,1,2,4635.135
2048,1,4,2505.565
2048,1,8,2049.526
2048,1,16,1901.119
2048,1,32,1821.009
2048,1,64,1810.137
2048,1,128,1814.311
2048,1,256,1827.477
2048,1,512,1846.728
2048,1,1024,1906.601
2048,2,1,4665.109
2048,2,2,2351.791
2048,2,4,1282.244
2048,2,8,1028.616
2048,2,16,952.196
2048,2,32,935.409
2048,2,64,938.446
2048,2,128,938.493
2048,2,256,941.941
2048,2,512,942.812
2048,4,1,2367.565
2048,4,2,1203.963
2048,4,4,665.531
2048,4,8,519.537
2048,4,16,495.282
2048,4,32,498.346
2048,4,64,496.252
2048,4,128,495.038
2048,4,256,494.604
2048,8,1,1231.203
2048,8,2,639.033
2048,8,4,353.601
2048,8,8,281.947
2048,8,16,286.089
2048,8,32,279.941
2048,8,64,278.656
2048,8,128,277.430
2048,16,1,592.562
2048,16,2,303.621
2048,16,4,178.695
2048,16,8,178.743
2048,16,16,174.120
2048,16,32,172.093
2048,16,64,168.464
2048,32,1,298.817
2048,32,2,160.360
2048,32,4,137.008
2048,32,8,136.145
2048,32,16,135.662
2048,32,32,134.778
2048,64,1,158.803
2048,64,2,140.395
2048,64,4,136.513
2048,64,8,136.397
2048,64,16,135.970
2048,128,1,194.644
2048,128,2,139.354
2048,128,4,136.507
2048,128,8,136.688
2048,256,1,193.923
2048,256,2,139.756
2048,256,4,135.353
2048,512,1,190.273
2048,512,2,140.405
2048,1024,1,183.421
2048,1,1,9114.588
2048,1,2,4634.667
2048,1,4,2505.503
2048,1,8,2049.533
2048,1,16,1901.202
2048,1,32,1820.989
2048,1,64,1810.690
2048,1,128,1814.805
2048,1,256,1827.480
2048,1,512,1846.105
2048,1,1024,1963.754
2048,2,1,4665.350
2048,2,2,2351.770
2048,2,4,1282.960
2048,2,8,1028.795
2048,2,16,952.248
2048,2,32,935.549
2048,2,64,938.124
2048,2,128,939.358
2048,2,256,942.257
2048,2,512,940.949
2048,4,1,2367.578
2048,4,2,1204.120
2048,4,4,665.494
2048,4,8,519.426
2048,4,16,495.273
2048,4,32,498.679
2048,4,64,496.004
2048,4,128,494.701
2048,4,256,494.667
2048,8,1,1231.165
2048,8,2,639.121
2048,8,4,353.627
2048,8,8,281.870
2048,8,16,286.239
2048,8,32,279.909
2048,8,64,279.005
2048,8,128,277.435
2048,16,1,592.621
2048,16,2,303.560
2048,16,4,178.784
2048,16,8,179.349
2048,16,16,174.119
2048,16,32,172.148
2048,16,64,168.442
2048,32,1,298.665
2048,32,2,160.428
2048,32,4,137.018
2048,32,8,136.097
2048,32,16,135.406
2048,32,32,134.824
2048,64,1,158.809
2048,64,2,140.508
2048,64,4,136.487
2048,64,8,136.310
2048,64,16,135.855
2048,128,1,194.633
2048,128,2,139.275
2048,128,4,136.607
2048,128,8,136.841
2048,256,1,193.838
2048,256,2,139.901
2048,256,4,136.808
2048,512,1,190.786
2048,512,2,140.617
2048,1024,1,184.042
2048,1,1,9114.511
2048,1,2,4634.987
2048,1,4,2505.923
2048,1,8,2049.652
2048,1,16,1901.193
2048,1,32,1821.198
2048,1,64,1810.210
2048,1,128,1815.678
2048,1,256,1827.019
2048,1,512,1843.505
2048,1,1024,1924.553
2048,2,1,4665.283
2048,2,2,2351.751
2048,2,4,1282.516
2048,2,8,1028.866
2048,2,16,952.327
2048,2,32,935.440
2048,2,64,937.894
2048,2,128,938.753
2048,2,256,942.354
2048,2,512,939.524
2048,4,1,2367.556
2048,4,2,1204.038
2048,4,4,665.503
2048,4,8,519.377
2048,4,16,495.378
2048,4,32,498.323
2048,4,64,495.583
2048,4,128,495.460
2048,4,256,494.615
2048,8,1,1231.232
2048,8,2,638.974
2048,8,4,353.769
2048,8,8,281.888
2048,8,16,286.010
2048,8,32,280.030
2048,8,64,278.601
2048,8,128,277.454
2048,16,1,592.546
2048,16,2,303.603
2048,16,4,178.867
2048,16,8,179.003
2048,16,16,174.147
2048,16,32,172.200
2048,16,64,168.797
2048,32,1,298.734
2048,32,2,160.403
2048,32,4,136.977
2048,32,8,136.129
2048,32,16,135.511
2048,32,32,134.878
2048,64,1,158.790
2048,64,2,140.573
2048,64,4,136.426
2048,64,8,136.379
2048,64,16,135.930
2048,128,1,194.445
2048,128,2,139.296
2048,128,4,136.542
2048,128,8,136.668
2048,256,1,193.726
2048,256,2,139.651
2048,256,4,137.052
2048,512,1,190.482
2048,512,2,140.449
2048,1024,1,182.537
2048,1,1,9114.392
2048,1,2,4635.207
2048,1,4,2504.901
2048,1,8,2049.631
2048,1,16,1901.048
2048,1,32,1820.941
2048,1,64,1810.566
2048,1,128,1814.470
2048,1,256,1827.044
2048,1,512,1844.727
2048,1,1024,1980.130
2048,2,1,4665.266
2048,2,2,2351.812
2048,2,4,1283.762
2048,2,8,1028.941
2048,2,16,952.415
2048,2,32,935.472
2048,2,64,938.244
2048,2,128,938.323
2048,2,256,943.123
2048,2,512,936.571
2048,4,1,2367.649
2048,4,2,1204.002
2048,4,4,665.550
2048,4,8,519.436
2048,4,16,495.417
2048,4,32,498.804
2048,4,64,495.809
2048,4,128,494.546
2048,4,256,494.584
2048,8,1,1231.160
2048,8,2,639.042
2048,8,4,353.687
2048,8,8,281.834
2048,8,16,286.138
2048,8,32,280.209
2048,8,64,278.537
2048,8,128,277.406
2048,16,1,592.628
2048,16,2,303.524
2048,16,4,178.649
2048,16,8,179.282
2048,16,16,174.127
2048,16,32,172.308
2048,16,64,169.031
2048,32,1,298.686
2048,32,2,160.356
2048,32,4,137.285
2048,32,8,136.150
2048,32,16,135.392
2048,32,32,134.821
2048,64,1,158.998
2048,64,2,140.314
2048,64,4,136.436
2048,64,8,136.408
2048,64,16,135.933
2048,128,1,194.740
2048,128,2,139.344
2048,128,4,136.441
2048,128,8,136.712
2048,256,1,194.141
2048,256,2,139.743
2048,256,4,136.762
2048,512,1,191.344
2048,512,2,140.464
2048,1024,1,181.949
2048,1,1,9113.957
2048,1,2,4634.934
2048,1,4,2508.161
2048,1,8,2049.560
2048,1,16,1901.185
2048,1,32,1821.150
2048,1,64,1810.418
2048,1,128,1814.702
2048,1,256,1827.567
2048,1,512,1844.291
2048,1,1024,1902.996
2048,2,1,4665.152
2048,2,2,2351.816
2048,2,4,1283.794
2048,2,8,1028.787
2048,2,16,952.382
2048,2,32,935.369
2048,2,64,937.805
2048,2,128,938.394
2048,2,256,942.994
2048,2,512,940.656
2048,4,1,2367.502
2048,4,2,1203.865
2048,4,4,665.429
2048,4,8,519.516
2048,4,16,495.286
2048,4,32,498.555
2048,4,64,496.321
2048,4,128,495.221
2048,4,256,494.615
2048,8,1,1230.973
2048,8,2,639.007
2048,8,4,353.664
2048,8,8,281.849
2048,8,16,286.006
2048,8,32,280.077
2048,8,64,278.488
2048,8,128,277.485
2048,16,1,592.551
2048,16,2,303.618
2048,16,4,178.653
2048,16,8,179.341
2048,16,16,174.085
2048,16,32,172.155
2048,16,64,168.461
2048,32,1,298.657
2048,32,2,160.426
2048,32,4,137.072
2048,32,8,136.109
2048,32,16,135.536
2048,32,32,134.812
2048,64,1,158.821
2048,64,2,140.386
2048,64,4,136.438
2048,64,8,136.315
2048,64,16,135.983
2048,128,1,194.358
2048,128,2,139.269
2048,128,4,136.548
2048,128,8,136.787
2048,256,1,194.301
2048,256,2,139.732
2048,256,4,136.938
2048,512,1,189.945
2048,512,2,140.379
2048,1024,1,185.403
2048,1,1,9114.244
2048,1,2,4635.097
2048,1,4,2505.349
2048,1,8,2049.520
2048,1,16,1901.054
2048,1,32,1821.045
2048,1,64,1810.419
2048,1,128,1814.249
2048,1,256,1826.468
2048,1,512,1846.567
2048,1,1024,1953.217
2048,2,1,4665.398
2048,2,2,2351.935
2048,2,4,1283.007
2048,2,8,1028.575
2048,2,16,952.231
2048,2,32,935.554
2048,2,64,937.850
2048,2,128,938.279
2048,2,256,943.966
2048,2,512,943.119
2048,4,1,2367.515
2048,4,2,1203.905
2048,4,4,665.476
2048,4,8,519.485
2048,4,16,495.329
2048,4,32,498.410
2048,4,64,496.012
2048,4,128,494.947
2048,4,256,494.616
2048,8,1,1231.218
2048,8,2,639.074
2048,8,4,353.618
2048,8,8,281.900
2048,8,16,286.009
2048,8,32,280.188
2048,8,64,278.867
2048,8,128,277.399
2048,16,1,592.577
2048,16,2,303.559
2048,16,4,178.725
2048,16,8,179.495
2048,16,16,174.114
2048,16,32,172.223
2048,16,64,168.405
2048,32,1,298.684
2048,32,2,160.437
2048,32,4,137.115
2048,32,8,136.122
2048,32,16,135.572
2048,32,32,134.763
2048,64,1,158.797
2048,64,2,140.464
2048,64,4,136.415
2048,64,8,136.383
2048,64,16,135.803
2048,128,1,194.679
2048,128,2,139.259
2048,128,4,136.571
2048,128,8,136.656
2048,256,1,194.324
2048,256,2,139.697
2048,256,4,134.970
2048,512,1,190.463
2048,512,2,140.486
2048,1024,1,180.500
2048,1,1,9114.561
2048,1,2,4634.852
2048,1,4,2505.234
2048,1,8,2049.554
2048,1,16,1901.210
2048,1,32,1821.233
2048,1,64,1810.487
2048,1,128,1814.409
2048,1,256,1825.539
2048,1,512,1843.101
2048,1,1024,1954.261
2048,2,1,4665.275
2048,2,2,2351.794
2048,2,4,1284.127
2048,2,8,1028.701
2048,2,16,952.247
2048,2,32,935.419
2048,2,64,937.948
2048,2,128,938.733
2048,2,256,941.546
2048,2,512,945.428
2048,4,1,2367.534
2048,4,2,1203.962
2048,4,4,665.580
2048,4,8,519.475
2048,4,16,495.115
2048,4,32,498.456
2048,4,64,495.950
2048,4,128,494.851
2048,4,256,494.538
2048,8,1,1231.175
2048,8,2,638.914
2048,8,4,353.732
2048,8,8,281.885
2048,8,16,285.965
2048,8,32,279.949
2048,8,64,278.695
2048,8,128,277.402
2048,16,1,592.554
2048,16,2,303.617
2048,16,4,178.782
2048,16,8,179.438
2048,16,16,174.005
2048,16,32,172.439
2048,16,64,168.867
2048,32,1,298.716
2048,32,2,160.366
2048,32,4,137.014
2048,32,8,136.105
2048,32,16,135.724
2048,32,32,134.830
2048,64,1,158.815
2048,64,2,140.567
2048,64,4,136.443
2048,64,8,136.461
2048,64,16,135.805
2048,128,1,194.342
2048,128,2,139.293
2048,128,4,136.518
2048,128,8,136.712
2048,256,1,194.279
2048,256,2,139.864
2048,256,4,135.015
2048,512,1,190.527
2048,512,2,140.292
2048,1024,1,186.543
2048,1,1,9114.445
2048,1,2,4635.157
2048,1,4,2504.683
2048,1,8,2049.484
2048,1,16,1901.206
2048,1,32,1821.032
2048,1,64,1810.314
2048,1,128,1815.636
2048,1,256,1826.707
2048,1,512,1846.029
2048,1,1024,1943.343
2048,2,1,4665.152
2048,2,2,2351.804
2048,2,4,1283.237
2048,2,8,1028.763
2048,2,16,952.315
2048,2,32,935.583
2048,2,64,938.069
2048,2,128,938.928
2048,2,256,942.323
2048,2,512,939.359
2048,4,1,2367.622
2048,4,2,1203.929
2048,4,4,665.468
2048,4,8,519.381
2048,4,16,495.016
2048,4,32,498.389
2048,4,64,496.431
2048,4,128,494.715
2048,4,256,494.587
2048,8,1,1231.342
2048,8,2,638.953
2048,8,4,353.623
2048,8,8,281.994
2048,8,16,286.164
2048,8,32,280.112
2048,8,64,278.632
2048,8,128,277.416
2048,16,1,592.554
2048,16,2,303.543
2048,16,4,178.690
2048,16,8,179.363
2048,16,16,174.186
2048,16,32,172.319
2048,16,64,168.381
2048,32,1,298.750
2048,32,2,160.362
2048,32,4,137.353
2048,32,8,136.235
2048,32,16,135.446
2048,32,32,134.848
2048,64,1,158.820
2048,64,2,140.445
2048,64,4,136.423
2048,64,8,136.436
2048,64,16,136.009
2048,128,1,194.050
2048,128,2,139.452
2048,128,4,136.538
2048,128,8,136.687
2048,256,1,193.709
2048,256,2,139.863
2048,256,4,134.820
2048,512,1,190.757
2048,512,2,140.346
2048,1024,1,186.337
2048,1,1,9114.407
2048,1,2,4634.934
2048,1,4,2505.485
2048,1,8,2049.749
2048,1,16,1901.289
2048,1,32,1820.903
2048,1,64,1810.637
2048,1,128,1814.735
2048,1,256,1825.669
2048,1,512,1845.885
2048,1,1024,1959.366
2048,2,1,4665.275
2048,2,2,2352.003
2048,2,4,1282.462
2048,2,8,1028.912
2048,2,16,952.379
2048,2,32,935.454
2048,2,64,938.082
2048,2,128,938.639
2048,2,256,941.896
2048,2,512,940.456
2048,4,1,2367.540
2048,4,2,1203.901
2048,4,4,665.417
2048,4,8,519.366
2048,4,16,495.291
2048,4,32,498.538
2048,4,64,495.995
2048,4,128,494.445
2048,4,256,494.736
2048,8,1,1231.397
2048,8,2,639.075
2048,8,4,353.620
2048,8,8,281.836
2048,8,16,286.030
2048,8,32,279.870
2048,8,64,278.646
2048,8,128,277.380
2048,16,1,592.554
2048,16,2,303.553
2048,16,4,178.707
2048,16,8,179.139
2048,16,16,174.088
2048,16,32,172.215
2048,16,64,168.379
2048,32,1,298.651
2048,32,2,160.370
2048,32,4,137.237
2048,32,8,136.152
2048,32,16,135.357
2048,32,32,134.884
2048,64,1,159.023
2048,64,2,140.356
2048,64,4,136.500
2048,64,8,136.483
2048,64,16,135.806
2048,128,1,194.565
2048,128,2,139.356
2048,128,4,136.525
2048,128,8,136.691
2048,256,1,193.960
2048,256,2,139.753
2048,256,4,136.850
2048,512,1,190.480
2048,512,2,140.205
2048,1024,1,183.203
