device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Computation,ONE_D,291,914,1,1,1,384,0.004,0,0.001,0.049,0,0.008
Tesla K20Xm,Computation,ONE_D,291,914,2,1,1,384,0.004,0.001,0,0.017,0,0.008
Tesla K20Xm,Computation,ONE_D,291,914,4,1,1,384,0.003,0,0,0.016,0,0.007
Tesla K20Xm,Computation,ONE_D,291,914,8,1,1,384,0.003,0,0,0.016,0,0.007
Tesla K20Xm,Computation,ONE_D,291,914,16,1,1,384,0.003,0,0,0.016,0,0.006
Tesla K20Xm,Computation,ONE_D,291,914,32,1,1,384,0.003,0,0,0.015,0,0.005
Tesla K20Xm,Computation,ONE_D,291,914,64,1,1,384,0.003,0,0.001,0.014,0,0.005
Tesla K20Xm,Computation,ONE_D,291,914,128,1,1,384,0.003,0,0,0.015,0,0.006
Tesla K20Xm,Computation,ONE_D,291,914,256,1,1,384,0.003,0,0,0.015,0.001,0.005
Tesla K20Xm,Computation,ONE_D,291,914,512,1,1,384,0.003,0,0,0.015,0,0.006
Tesla K20Xm,Computation,ONE_D,291,914,1024,1,1,384,0.003,0,0.001,-1,-1,-1
Tesla K20Xm,Computation,ONE_D,580,456,1,1,1,384,0.004,0,0.001,0.049,0.001,0.008
Tesla K20Xm,Computation,ONE_D,580,456,2,1,1,384,0.003,0,0,0.017,0,0.007
Tesla K20Xm,Computation,ONE_D,580,456,4,1,1,384,0.003,0,0,0.017,0.001,0.006
Tesla K20Xm,Computation,ONE_D,580,456,8,1,1,384,0.003,0,0.001,0.015,0,0.006
Tesla K20Xm,Computation,ONE_D,580,456,16,1,1,384,0.003,0,0.001,0.014,0,0.006
Tesla K20Xm,Computation,ONE_D,580,456,32,1,1,384,0.003,0,0,0.015,0,0.006
Tesla K20Xm,Computation,ONE_D,580,456,64,1,1,384,0.003,0,0,0.015,0,0.005
Tesla K20Xm,Computation,ONE_D,580,456,128,1,1,384,0.003,0,0,0.016,0,0.006
Tesla K20Xm,Computation,ONE_D,580,456,256,1,1,384,0.003,0,0,0.016,0,0.006
Tesla K20Xm,Computation,ONE_D,580,456,512,1,1,384,0.003,0,0,0.015,0,0.005
Tesla K20Xm,Computation,ONE_D,580,456,1024,1,1,384,0.003,0,0.001,-1,-1,-1
