device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,1,1,1,16,248.916,52.603,0.003,743.771,0.001,2.503
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,2,1,1,16,252.293,52.478,0.003,635.099,0,2.526
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,4,1,1,16,252.198,52.61,0.003,579.306,0,2.559
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,8,1,1,16,256.626,52.533,0.004,553.078,0,2.637
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,16,1,1,16,252.278,52.453,0.003,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,32,1,1,16,253.153,52.561,0.003,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,64,1,1,16,252.29,52.519,0.003,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,128,1,1,16,252.44,52.556,0.004,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,256,1,1,16,256.651,52.512,0.003,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,512,1,1,16,252.604,52.737,0.004,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,1024,1,1,16,252.364,52.607,0.004,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,1,1,1,16,251.82,104.204,0.003,916.19,0.001,2.448
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,2,1,1,16,255.422,104.121,0.004,807.311,0.001,2.487
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,4,1,1,16,255.217,104.176,0.005,750.311,0.001,2.51
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,8,1,1,16,255.232,105.156,0.005,724.238,0.001,2.494
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,16,1,1,16,255.494,104.265,0.005,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,32,1,1,16,258.06,104.372,0.004,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,64,1,1,16,255.711,104.297,0.003,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,128,1,1,16,255.5,104.372,0.005,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,256,1,1,16,255.295,104.284,0.005,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,512,1,1,16,256.753,104.215,0.004,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,1024,1,1,16,255.333,104.336,0.004,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,1,1,1,16,248.59,53.038,0.004,753.83,0.001,2.651
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,2,1,1,16,252.889,53.04,0.003,641.563,0.001,2.653
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,4,1,1,16,252.3,53.01,0.003,593.377,0.001,2.653
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,8,1,1,16,253.163,52.995,0.003,559.578,0.001,2.542
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,16,1,1,16,252.282,53.082,0.003,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,32,1,1,16,252.367,52.902,0.003,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,64,1,1,16,252.85,53.517,0.004,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,128,1,1,16,252.191,52.927,0.003,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,256,1,1,16,258.682,53.526,0.003,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,512,1,1,16,259.627,55.083,0.004,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,1024,1,1,16,259.115,53.95,0.004,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,1,1,1,16,250.115,53.154,0.003,751.773,0.001,2.565
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,2,1,1,16,252.356,53.196,0.004,642.402,0,2.628
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,4,1,1,16,253.693,52.812,0.005,586.718,0.001,2.605
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,8,1,1,16,252.364,53.037,0.004,560.859,0.001,2.654
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,16,1,1,16,252.429,53.091,0.003,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,32,1,1,16,252.256,53.082,0.003,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,64,1,1,16,252.482,53.156,0.004,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,128,1,1,16,252.309,53.076,0.003,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,256,1,1,16,252.157,53.155,0.003,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,512,1,1,16,252.068,53.095,0.004,-1,-1,-1
Tesla K20Xm,FluidSimulation,ONE_D,15,1448,1448,3,1024,1,1,16,252.367,53.085,0.005,-1,-1,-1
