device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Many Integrated Core Acceleration Card,NBody,ONE_D,8192,0.005,100,1,1,1,2.702,0.004,6548.16,0.001,2.811
Intel(R) Many Integrated Core Acceleration Card,NBody,ONE_D,8192,0.005,100,2,1,1,2.982,0.004,6689.47,0,3.421
Intel(R) Many Integrated Core Acceleration Card,NBody,ONE_D,8192,0.005,100,4,1,1,2.816,0.005,6748.45,0,2.644
Intel(R) Many Integrated Core Acceleration Card,NBody,ONE_D,8192,0.005,100,8,1,1,2.633,0.002,7487.07,0.001,3.046
Intel(R) Many Integrated Core Acceleration Card,NBody,ONE_D,8192,0.005,100,16,1,1,2.135,0.002,540.949,0.001,2.897
Intel(R) Many Integrated Core Acceleration Card,NBody,ONE_D,8192,0.005,100,32,1,1,3.087,0.002,632.695,0.001,2.558
Intel(R) Many Integrated Core Acceleration Card,NBody,ONE_D,8192,0.005,100,64,1,1,2.979,0.004,720.379,0.001,2.737
Intel(R) Many Integrated Core Acceleration Card,NBody,ONE_D,8192,0.005,100,128,1,1,3.155,0.004,1215.26,0.001,2.61
Intel(R) Many Integrated Core Acceleration Card,NBody,ONE_D,8192,0.005,100,256,1,1,2.922,0.004,1912.02,0.001,2.798
Intel(R) Many Integrated Core Acceleration Card,NBody,ONE_D,8192,0.005,100,512,1,1,2.976,0.004,3779.99,0.001,2.929
Intel(R) Many Integrated Core Acceleration Card,NBody,ONE_D,8192,0.005,100,1024,1,1,3.087,0.004,7125.14,0,4.413
Intel(R) Many Integrated Core Acceleration Card,NBody,ONE_D,8192,0.005,100,2048,1,1,2.716,0.002,14158.8,0.001,4.192
Intel(R) Many Integrated Core Acceleration Card,NBody,ONE_D,8192,0.005,100,4096,1,1,3.04,0.004,26283.4,0,4.016
Intel(R) Many Integrated Core Acceleration Card,NBody,ONE_D,8192,0.005,100,8192,1,1,2.966,0.005,48677.3,0,2.55
