device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,128,1,1,1.646,0.004,9.938,0.384,0.862
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,256,1,1,1.76,0.004,13.065,0.558,1.076
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,512,1,1,1.929,0.005,9.729,0.558,1.518
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1024,1,1,1.941,0.005,7.332,0.56,1.144
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2048,1,1,2.027,0.002,4.602,0.558,1.142
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4096,1,1,1.495,0.004,4.033,0.539,1.201
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8192,1,1,2.201,0.005,3.247,0.553,1.652
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1,1,1,0.972,0.001,4.915,0.394,1.109
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2,1,1,2.045,0.003,11.122,0.394,1.512
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4,1,1,1.887,0.005,8.903,0.607,1.165
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8,1,1,1.947,0.004,11.708,0.655,1.3
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,16,1,1,1.975,0.004,14.17,0.677,1.322
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,32,1,1,1.385,0.002,12.03,0.643,2.198
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,64,1,1,2.258,0.004,10.922,0.693,1.65
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,128,1,1,2.012,0.006,13.994,0.67,1.2
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,256,1,1,2.494,0.005,11.371,0.657,1.379
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,512,1,1,1.855,0.003,11.755,0.584,1.252
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1024,1,1,1.647,0.003,12.585,0.471,1.161
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2048,1,1,1.928,0.003,5.734,0.599,1.152
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4096,1,1,1.786,0.002,3.102,0.587,1.307
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8192,1,1,1.964,0.004,3.381,0.615,1.179
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1,1,1,1.744,0.002,5.232,0.592,1.041
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2,1,1,1.684,0.002,12.085,0.61,1.096
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4,1,1,1.725,0.002,12.079,0.624,1.099
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8,1,1,1.772,0.002,9.883,0.679,1.188
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,16,1,1,2.162,0.003,8.776,0.538,1.1
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,32,1,1,2.265,0.002,9.343,0.641,1.03
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,64,1,1,1.769,0.003,12.221,0.579,1.072
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,128,1,1,1.727,0.003,13.132,0.528,0.946
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,256,1,1,1.745,0.003,11.771,0.525,0.937
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,512,1,1,1.705,0.002,10.997,0.649,0.924
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1024,1,1,1.679,0.003,11.336,0.444,1.061
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2048,1,1,1.985,0.003,4.715,0.451,1.059
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4096,1,1,1.576,0.002,3.579,0.602,1.031
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8192,1,1,1.85,0.002,3.09,0.617,1.028
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1,1,1,1.076,0.005,5.261,0.565,1.026
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2,1,1,1.701,0.003,11.312,0.583,1.044
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4,1,1,2.357,0.005,9.157,0.556,1.002
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8,1,1,1.662,0.005,9.692,0.547,1.664
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,16,1,1,2.13,0.005,11.473,0.534,1.108
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,32,1,1,1.958,0.005,12.255,0.669,1.162
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,64,1,1,2.219,0.004,13.705,0.585,1.153
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,128,1,1,1.833,0.003,9.091,0.55,1.127
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,256,1,1,2.048,0.003,10.278,0.608,1.215
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,512,1,1,1.85,0.002,11.293,0.582,1.173
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1024,1,1,1.929,0.003,9.908,0.467,1.126
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2048,1,1,1.874,0.003,5.442,0.426,1.032
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4096,1,1,1.09,0.003,3.131,0.552,1.187
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8192,1,1,1.989,0.002,3.266,0.437,1.111
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,1,1,1,1.328,0.004,5.341,0.595,1.129
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,2,1,1,1.607,0.004,5.494,0.596,1.453
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,4,1,1,1.752,0.005,18.231,0.6,1.143
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,8,1,1,1.762,0.005,12.993,0.614,1.105
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,16,1,1,1.792,0.005,11.965,0.599,1.068
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,32,1,1,1.817,0.005,16.933,0.589,1.06
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,64,1,1,1.695,0.005,11.694,0.589,1.645
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,128,1,1,1.897,0.004,13.358,0.61,1.075
Intel(R) Many Integrated Core Acceleration Card,SquareArray,ONE_D,262144,256,1,1,1.88,0.005,9.738,0.594,1.066
