device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,FluidSimulation,ONE_D,8,1024,1024,3,1,1,1,8,126.783,26.384,0.004,466.527,0.001,1.61
GTX 780,FluidSimulation,ONE_D,8,1024,1024,3,2,1,1,8,124.031,26.282,0.003,364.918,0.001,2.377
GTX 780,FluidSimulation,ONE_D,8,1024,1024,3,4,1,1,8,127.134,26.292,0.004,315.518,0.001,2.195
GTX 780,FluidSimulation,ONE_D,8,1024,1024,3,8,1,1,8,127.153,26.502,0.004,290.4,0.002,2.078
GTX 780,FluidSimulation,ONE_D,8,1024,1024,3,16,1,1,8,127.682,26.304,0.004,277.114,0.001,2.104
GTX 780,FluidSimulation,ONE_D,8,1024,1024,3,32,1,1,8,127.005,26.333,0.003,270.514,0.002,2.098
GTX 780,FluidSimulation,ONE_D,8,1024,1024,3,64,1,1,8,127.188,26.27,0.004,271.024,0.001,2.107
GTX 780,FluidSimulation,ONE_D,8,1024,1024,3,128,1,1,8,127.263,26.306,0.004,271.086,0.002,2.106
GTX 780,FluidSimulation,ONE_D,8,1024,1024,3,256,1,1,8,127.211,26.421,0.004,272.188,0.001,2.103
GTX 780,FluidSimulation,ONE_D,8,1024,1024,3,512,1,1,8,127.391,26.287,0.003,272.66,0.002,2.129
GTX 780,FluidSimulation,ONE_D,8,1024,1024,3,1024,1,1,8,127.09,26.289,0.004,275.031,0.001,2.181
GTX 780,FluidSimulation,ONE_D,8,1024,1024,3,1,1,1,8,119.064,26.298,0.004,462.682,0.001,2.724
GTX 780,FluidSimulation,ONE_D,8,1024,1024,3,2,1,1,8,127.212,26.138,0.005,363.007,0.001,1.466
GTX 780,FluidSimulation,ONE_D,8,1024,1024,3,4,1,1,8,121.253,26.329,0.004,309.995,0.001,2.741
GTX 780,FluidSimulation,ONE_D,8,1024,1024,3,8,1,1,8,127.112,26.209,0.004,287.987,0.001,1.487
