device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Computation,ONE_D,649,271,1,1,1,768,0.008,0,0,0.034,0,0.006
GTX 780,Computation,ONE_D,649,271,2,1,1,768,0.003,0,0,0.015,0,0.007
GTX 780,Computation,ONE_D,649,271,4,1,1,768,0.003,0,0,0.014,0,0.006
GTX 780,Computation,ONE_D,649,271,8,1,1,768,0.003,0,0,0.014,0,0.005
GTX 780,Computation,ONE_D,649,271,16,1,1,768,0.003,0,0.001,0.014,0,0.005
GTX 780,Computation,ONE_D,649,271,32,1,1,768,0.003,0,0,0.014,0,0.005
GTX 780,Computation,ONE_D,649,271,64,1,1,768,0.003,0,0,0.012,0,0.005
GTX 780,Computation,ONE_D,649,271,128,1,1,768,0.003,0,0.001,0.012,0,0.005
GTX 780,Computation,ONE_D,649,271,256,1,1,768,0.003,0,0,0.014,0,0.005
GTX 780,Computation,ONE_D,649,271,512,1,1,768,0.002,0,0,0.014,0,0.006
GTX 780,Computation,ONE_D,649,271,1024,1,1,768,0.003,0,0,-1,-1,-1
