device/C,kernel/C,workDimension/C,noOfTraj/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,1,1,32,1708.96,0.159,0.009,2334.86,0.005,3.037
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,2,1,32,1708.56,0.122,0.005,2095.14,0.005,3.141
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,4,1,32,1706.46,0.127,0.006,1955.93,0.005,3.192
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,8,1,32,1707.35,0.121,0.006,1873,0.005,3.118
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,16,1,32,1706.88,0.123,0.006,1850.63,0.005,3.085
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,32,1,32,1706.62,0.121,0.006,1851.07,0.006,3.291
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,64,1,32,1707.18,0.123,0.006,1908.3,0.005,3.233
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,128,1,32,1707.2,0.118,0.006,1860.16,0.005,3.476
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,256,1,32,1708.96,0.124,0.005,1858.44,0.005,3.517
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,4096,10,1,512,1,32,1708.13,0.119,0.006,1895.3,0.007,3.057
