device/C,kernel/C,workDimension/C,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,1,1,0.5,9.68,9.313,0.008,31.152,0.001,2.99
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,2,1,0.5,9.144,8.568,0.007,26.026,0,2.657
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,4,1,0.5,9.043,8.196,0.01,29.023,0.001,3.142
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,8,1,0.5,9.168,7.801,0.008,30.436,0,3.18
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,16,1,0.5,9.055,7.659,0.007,32.141,0,3.133
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,32,1,0.5,9.092,7.674,0.01,31.674,0.001,3.118
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,64,1,0.5,9.134,8.2,0.007,32.543,0,2.648
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,128,1,0.5,9.064,12.083,0.007,36.265,0,2.539
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,256,1,0.5,9.098,12.064,0.007,40.838,0,2.606
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,512,1,0.5,9.021,8.117,0.008,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,1024,1,0.5,9.26,7.67,0.009,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,2048,1,0.5,9.053,11.42,0.007,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,4096,1,0.5,9.068,12.851,0.008,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,1,8192,1,0.5,9.171,8.88,0.007,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,1,1,0.5,9.133,7.924,0.008,21.151,0.001,2.955
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,2,1,0.5,9.073,7.568,0.009,21.285,0,3.198
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,4,1,0.5,9.019,7.584,0.009,28.787,0,3.209
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,8,1,0.5,9.136,10.952,0.007,28.138,0.001,2.868
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,16,1,0.5,9.177,8.106,0.009,22.76,0.001,3.207
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,32,1,0.5,9.016,7.564,0.008,28.887,0.001,3.197
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,64,1,0.5,9.063,8.646,0.009,34.238,0,2.665
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,128,1,0.5,9.11,12.023,0.007,34.511,0,2.982
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,256,256,5,2,256,1,0.5,9.213,9.251,0.009,39.319,0,3.085
