device/C,kernel/C,workDimension/C,noOfTraj/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,1,1,8,475.917,0.11,0.004,557.209,0.004,2.04
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,2,1,8,470.331,0.116,0.006,504.602,0.005,2.09
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,4,1,8,469.785,0.119,0.005,463.229,0.004,1.938
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,8,1,8,468.978,0.117,0.004,455.209,0.004,1.989
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,16,1,8,470.257,0.111,0.005,443.53,0.004,1.951
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,32,1,8,471.127,0.115,0.005,441.441,0.005,2.013
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,64,1,8,470.179,0.113,0.005,440.232,0.004,2.07
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,128,1,8,470.375,0.114,0.005,444.707,0.005,2.21
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,256,1,8,470.98,0.111,0.004,446.694,0.005,2.072
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,512,1,8,471.426,0.113,0.005,451.751,0.005,2.08
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,1024,1,8,473.08,0.117,0.005,458.729,0.005,2.015
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,2048,1,8,471.127,0.111,0.005,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,4096,1,8,470.891,0.107,0.004,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,1,8192,1,8,470.583,0.105,0.004,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,MonteCarloAsian,TWO_D,2048,10,2,1,1,8,469.234,0.107,0.005,506.975,0.005,2.145
