device/C,kernel/C,workDimension/C,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,1,1,1,8,152.578,107.822,0.011,650.199,0.001,4.439
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,1,2,1,8,152.345,113.397,0.014,553.438,0.001,5.044
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,1,4,1,8,152.777,114.502,0.015,569.15,0.001,5.076
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,1,8,1,8,152.867,114.12,0.014,580.768,0.001,5.04
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,1,16,1,8,152.629,114.257,0.015,581.945,0.002,4.591
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,1,32,1,8,152.914,114.547,0.014,585.458,0.001,4.905
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,1,64,1,8,153.017,114.717,0.015,593.078,0.001,4.9
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,1,128,1,8,155.353,112.065,0.014,607.443,0.001,4.869
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,1,256,1,8,155.026,114.262,0.015,626.451,0.001,5.041
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,1,512,1,8,152.633,114.147,0.015,664.91,0.001,5.079
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,1,1024,1,8,152.683,114.162,0.016,656.572,0.001,4.304
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,1,2048,1,8,115.753,98.872,0.013,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,1,4096,1,8,115.174,99.096,0.013,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,1,8192,1,8,115.56,99.172,0.013,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,2,1,1,8,118.41,99.611,0.013,498.627,0.001,4.402
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,2,2,1,8,115.139,100.152,0.014,487.456,0.001,4.294
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,2,4,1,8,116,111.844,0.015,585.01,0.001,4.264
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,2,8,1,8,115.334,100.328,0.013,534.446,0.002,3.626
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,2,16,1,8,115.68,101.182,0.013,520.462,0.001,4.101
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,2,32,1,8,115.533,100.375,0.013,530.799,0.001,4.125
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,2,64,1,8,115.711,100.97,0.014,543.488,0.001,4.202
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,2,128,1,8,115.401,98.619,0.013,556.866,0.002,4.209
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,2,256,1,8,116.065,104.127,0.009,673.85,0.001,3.92
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,2,512,1,8,115.647,99.298,0.013,570.6,0.002,3.919
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,2,1024,1,8,115.356,98.832,0.013,576.762,0.001,4.15
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,2,2048,1,8,114.998,99.314,0.009,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,2,4096,1,8,115.296,100.212,0.013,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,4,1,1,8,116.133,98.137,0.014,513.034,0.001,4.004
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,4,2,1,8,115.603,99.335,0.013,526.016,0.001,4.038
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,4,4,1,8,115.423,101.368,0.013,560.057,0.001,4.014
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,4,8,1,8,115.468,111.379,0.013,529.587,0.002,4.082
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,4,16,1,8,115.145,111.749,0.013,533.659,0.001,3.738
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,4,32,1,8,115.679,100.607,0.014,517.359,0.001,3.865
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,4,64,1,8,115.958,99.873,0.013,549.903,0.002,3.592
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,TWO_D,1024,1024,5,4,128,1,8,115.434,100.23,0.013,555.969,0.001,3.961
