device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.09715e+06,1,1,1,32,175.879,16.484,0.009,5.195,15.264,2.102
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.09715e+06,2,1,1,32,171.528,17.234,0.009,4.666,5.39,2.114
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.09715e+06,4,1,1,32,170.267,16.448,0.008,2.334,2.821,2.339
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.09715e+06,8,1,1,32,169.23,16.783,0.009,1.782,2.907,3.081
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.09715e+06,16,1,1,32,168.147,17.034,0.008,1.746,1.29,2.911
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.09715e+06,32,1,1,32,167.559,16.321,0.009,1.814,0.56,3.019
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.09715e+06,64,1,1,32,168.194,16.759,0.022,2.042,0.509,3.176
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.09715e+06,128,1,1,32,167.369,16.431,0.007,1.843,0.655,2.472
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.09715e+06,256,1,1,32,167.218,16.444,0.008,2.028,0.189,2.813
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.09715e+06,512,1,1,32,168.649,16.358,0.009,2.151,0.138,2.874
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.09715e+06,1024,1,1,32,169.096,16.344,0.007,2.175,0.103,2.807
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.09715e+06,2048,1,1,32,168.894,16.428,0.009,2.34,0.095,2.817
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.09715e+06,4096,1,1,32,169.277,16.864,0.024,-1,-1,-1
      Intel(R) Xeon(R) CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,2.09715e+06,8192,1,1,32,164.548,16.464,0.009,-1,-1,-1
