device/C,kernel/C,workDimension/C,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,FluidSimulation,TWO_D,256,256,5,1,1,1,0.5,17.331,3.96,0.002,37.827,0.001,0.284
Hawaii,FluidSimulation,TWO_D,256,256,5,1,2,1,0.5,12.333,3.28,0.003,27.45,0.001,0.271
Hawaii,FluidSimulation,TWO_D,256,256,5,1,4,1,0.5,15.658,3.3,0.002,25.262,0.001,0.252
Hawaii,FluidSimulation,TWO_D,256,256,5,1,8,1,0.5,13.363,3.221,0.002,24.993,0,0.257
Hawaii,FluidSimulation,TWO_D,256,256,5,1,16,1,0.5,12.418,3.303,0.002,27.33,0.001,0.268
Hawaii,FluidSimulation,TWO_D,256,256,5,1,32,1,0.5,15.826,3.432,0.002,29.875,0.001,0.272
Hawaii,FluidSimulation,TWO_D,256,256,5,1,64,1,0.5,16.085,3.353,0.002,30.695,0,0.269
Hawaii,FluidSimulation,TWO_D,256,256,5,1,128,1,0.5,15.905,3.59,0.003,31.639,0,0.268
Hawaii,FluidSimulation,TWO_D,256,256,5,1,256,1,0.5,15.393,3.457,0.003,32.687,0,0.272
Hawaii,FluidSimulation,TWO_D,256,256,5,2,1,1,0.5,14.23,3.333,0.002,28.747,0.001,0.277
Hawaii,FluidSimulation,TWO_D,256,256,5,2,2,1,0.5,15.983,3.376,0.002,25.762,0.001,0.269
Hawaii,FluidSimulation,TWO_D,256,256,5,2,4,1,0.5,13.229,3.261,0.002,25.408,0,0.264
Hawaii,FluidSimulation,TWO_D,256,256,5,2,8,1,0.5,17.191,3.19,0.003,25.601,0.001,0.284
Hawaii,FluidSimulation,TWO_D,256,256,5,2,16,1,0.5,14.006,2.984,0.002,25.809,0.001,0.257
Hawaii,FluidSimulation,TWO_D,256,256,5,2,32,1,0.5,12.426,3.18,0.002,24.561,0.001,0.251
Hawaii,FluidSimulation,TWO_D,256,256,5,2,64,1,0.5,12.245,3.096,0.001,26.237,0,0.244
Hawaii,FluidSimulation,TWO_D,256,256,5,2,128,1,0.5,16.357,3.157,0.002,25.742,0.001,0.245
Hawaii,FluidSimulation,TWO_D,256,256,5,4,1,1,0.5,13.562,3.033,0.002,25.637,0.001,0.254
Hawaii,FluidSimulation,TWO_D,256,256,5,4,2,1,0.5,12.3,3.169,0.001,24.367,0,0.246
Hawaii,FluidSimulation,TWO_D,256,256,5,4,4,1,0.5,12.241,3.141,0.002,26.027,0.001,0.253
Hawaii,FluidSimulation,TWO_D,256,256,5,4,8,1,0.5,16.48,3.219,0.002,25.29,0.001,0.246
Hawaii,FluidSimulation,TWO_D,256,256,5,4,16,1,0.5,13.797,3.142,0.002,26.153,0,0.25
Hawaii,FluidSimulation,TWO_D,256,256,5,4,32,1,0.5,12.084,3.058,0.001,26.159,0,0.245
Hawaii,FluidSimulation,TWO_D,256,256,5,4,64,1,0.5,16.668,3.365,0.002,26.164,0.001,0.268
Hawaii,FluidSimulation,TWO_D,256,256,5,8,1,1,0.5,13.14,3.05,0.002,24.616,0,0.269
Hawaii,FluidSimulation,TWO_D,256,256,5,8,2,1,0.5,12.553,3.058,0.001,25.937,0.001,0.251
Hawaii,FluidSimulation,TWO_D,256,256,5,8,4,1,0.5,11.599,3.059,0.002,26.101,0.001,0.248
Hawaii,FluidSimulation,TWO_D,256,256,5,8,8,1,0.5,16.159,3.109,0.001,25.529,0.001,0.268
