device/C,kernel/C,workDimension/C,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,64,1,8,126.81,27.853,0.007,461.023,0,4.916
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,128,1,8,126.623,28.159,0.007,463.229,0.001,4.902
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,256,1,8,126.584,28.34,0.007,519.676,0.001,4.913
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,1,1,8,126.695,26.906,0.007,408.924,0.001,4.762
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,2,1,8,126.571,26.803,0.006,365.141,0.001,4.919
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,4,1,8,128.359,27.875,0.017,366.993,0.001,4.913
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,8,1,8,126.555,27.109,0.005,371.91,0.001,4.921
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,16,1,8,126.813,26.661,0.007,373.633,0,4.755
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,32,1,8,126.592,27.563,0.007,371.058,0.001,4.832
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,64,1,8,126.939,27.246,0.007,371.468,0,4.936
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,128,1,8,126.593,27.087,0.007,406.027,0.001,4.955
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,1,1,8,126.687,26.966,0.007,365.781,0.001,4.931
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,2,1,8,126.709,27.784,0.006,367.435,0.001,4.906
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,4,1,8,126.807,27.871,0.005,363.671,0.001,4.931
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,8,1,8,127.042,27.42,0.007,370.683,0.001,4.929
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,16,1,8,126.554,27.845,0.007,369.876,0.001,4.951
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,32,1,8,126.866,28.056,0.007,380.574,0.002,4.932
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,64,1,8,126.572,28.258,0.007,369.873,0.001,4.737
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,1,1,8,126.737,27.749,0.007,367.374,0.001,4.921
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,2,1,8,126.605,27.896,0.008,364.38,0.001,4.939
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,4,1,8,127.239,27.414,0.007,370.391,0.001,4.925
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,8,1,8,126.54,28.092,0.007,370.572,0.002,4.92
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,16,1,8,126.993,27.342,0.007,370.582,0.001,4.989
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,32,1,8,126.701,27.95,0.007,370.504,0.001,4.959
Hawaii,FluidSimulation,TWO_D,1024,1024,5,16,1,1,8,127.424,27.958,0.006,368.851,0.001,4.954
Hawaii,FluidSimulation,TWO_D,1024,1024,5,16,2,1,8,126.593,27.698,0.007,371.036,0.001,4.784
Hawaii,FluidSimulation,TWO_D,1024,1024,5,16,4,1,8,126.755,28.355,0.007,370.184,0.001,4.94
Hawaii,FluidSimulation,TWO_D,1024,1024,5,16,8,1,8,126.628,28.157,0.007,370.346,0.001,4.969
Hawaii,FluidSimulation,TWO_D,1024,1024,5,16,16,1,8,126.677,28.032,0.007,370.027,0.001,4.949
Hawaii,FluidSimulation,TWO_D,1024,1024,5,32,1,1,8,126.643,28.313,0.006,369.836,0.002,4.959
Hawaii,FluidSimulation,TWO_D,1024,1024,5,32,2,1,8,126.643,28.493,0.007,369.873,0.001,4.961
Hawaii,FluidSimulation,TWO_D,1024,1024,5,32,4,1,8,126.687,28.452,0.007,369.983,0.001,4.966
Hawaii,FluidSimulation,TWO_D,1024,1024,5,32,8,1,8,127.395,26.279,0.006,361.591,0.001,4.797
Hawaii,FluidSimulation,TWO_D,1024,1024,5,64,1,1,8,126.657,26.717,0.006,371.441,0.001,4.958
Hawaii,FluidSimulation,TWO_D,1024,1024,5,64,2,1,8,126.617,26.934,0.006,361.711,0,4.987
Hawaii,FluidSimulation,TWO_D,1024,1024,5,64,4,1,8,126.698,27.413,0.007,371.047,0.001,4.813
Hawaii,FluidSimulation,TWO_D,1024,1024,5,128,1,1,8,126.568,26.778,0.007,361.37,0,4.979
Hawaii,FluidSimulation,TWO_D,1024,1024,5,128,2,1,8,128.502,26.973,0.008,369.573,0.001,4.977
Hawaii,FluidSimulation,TWO_D,1024,1024,5,256,1,1,8,126.616,26.906,0.007,361.503,0.001,4.977
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,1,1,8,130.011,30.878,0.006,463.502,0.001,7.887
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,2,1,8,166.16,29.906,0.007,415.553,0.001,7.562
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,4,1,8,166.22,30.186,0.005,391.938,0.002,7.554
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,8,1,8,166.283,30.343,0.007,383.699,0.001,7.538
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,16,1,8,166.299,30.455,0.007,412.075,0.001,7.562
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,32,1,8,166.284,30.096,0.005,454.88,0.001,7.553
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,64,1,8,166.367,30.056,0.005,475.195,0,7.608
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,128,1,8,166.379,30.557,0.005,484.343,0.001,7.557
Hawaii,FluidSimulation,TWO_D,1024,1024,5,1,256,1,8,166.387,30.249,0.008,533.697,0.001,7.554
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,1,1,8,166.414,29.96,0.007,425.443,0.001,7.535
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,2,1,8,166.344,30.027,0.007,387.146,0.001,7.649
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,4,1,8,166.331,30.063,0.007,378.175,0.001,7.56
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,8,1,8,166.692,30.357,0.007,395.915,0.001,7.494
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,16,1,8,166.113,30.271,0.007,395.874,0.001,7.499
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,32,1,8,166.078,30.554,0.007,397.142,0.001,7.519
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,64,1,8,166.124,30.143,0.005,388.657,0.001,7.513
Hawaii,FluidSimulation,TWO_D,1024,1024,5,2,128,1,8,166.4,30.585,0.006,421.462,0.001,7.579
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,1,1,8,166.12,29.639,0.006,388.384,0.001,7.577
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,2,1,8,165.642,30.274,0.005,374.207,0.001,7.515
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,4,1,8,165.989,30.454,0.006,395.791,0.001,7.516
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,8,1,8,166.112,30.632,0.007,398.022,0.001,7.595
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,16,1,8,166.088,30.32,0.004,393.716,0.001,7.515
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,32,1,8,166.043,30.51,0.006,390.365,0.001,7.502
Hawaii,FluidSimulation,TWO_D,1024,1024,5,4,64,1,8,166.05,29.601,0.005,385.477,0.001,7.53
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,1,1,8,166.013,30.389,0.005,378.001,0.001,7.501
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,2,1,8,166.071,30.568,0.006,392.621,0.001,7.504
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,4,1,8,166.117,30.119,0.007,396.853,0.001,7.619
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,8,1,8,166.648,30.048,0.004,398.273,0.001,7.602
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,16,1,8,166.554,30.341,0.006,392.829,0.001,7.596
Hawaii,FluidSimulation,TWO_D,1024,1024,5,8,32,1,8,166.567,29.991,0.004,393.618,0.001,7.616
Hawaii,FluidSimulation,TWO_D,1024,1024,5,16,1,1,8,166.577,30.288,0.008,389.992,0.001,7.615
Hawaii,FluidSimulation,TWO_D,1024,1024,5,16,2,1,8,166.553,30.603,0.008,394.018,0.001,7.613
Hawaii,FluidSimulation,TWO_D,1024,1024,5,16,4,1,8,166.403,27.031,0.007,397.19,0.001,7.621
Hawaii,FluidSimulation,TWO_D,1024,1024,5,16,8,1,8,166.454,30.518,0.005,394.325,0.001,7.599
Hawaii,FluidSimulation,TWO_D,1024,1024,5,16,16,1,8,166.524,30.822,0.006,404.783,0.001,7.625
Hawaii,FluidSimulation,TWO_D,1024,1024,5,32,1,1,8,167.758,30.469,0.005,383.19,0.001,7.594
Hawaii,FluidSimulation,TWO_D,1024,1024,5,32,2,1,8,165.465,30.086,0.006,391.207,0.001,7.623
Hawaii,FluidSimulation,TWO_D,1024,1024,5,32,4,1,8,167.474,30.582,0.006,392.176,0.001,7.582
Hawaii,FluidSimulation,TWO_D,1024,1024,5,32,8,1,8,165.959,30.188,0.005,385.993,0.001,7.604
Hawaii,FluidSimulation,TWO_D,1024,1024,5,64,1,1,8,165.948,30.41,0.006,388.396,0.001,7.582
Hawaii,FluidSimulation,TWO_D,1024,1024,5,64,2,1,8,165.731,27.619,0.005,386.614,0.001,7.523
Hawaii,FluidSimulation,TWO_D,1024,1024,5,64,4,1,8,166.114,30.516,0.007,404.049,0,7.569
Hawaii,FluidSimulation,TWO_D,1024,1024,5,128,1,1,8,166.182,30.277,0.007,395.523,0.001,7.624
Hawaii,FluidSimulation,TWO_D,1024,1024,5,128,2,1,8,165.617,30.373,0.007,397.407,0.001,7.616
Hawaii,FluidSimulation,TWO_D,1024,1024,5,256,1,1,8,166.239,30.535,0.007,394.179,0.001,7.665
