device/C,kernel/C,workDimension/C,noOfTraj/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,MonteCarloAsian,TWO_D,1024,10,1,1,1,2,116.511,0.133,0.004,504.279,0.008,0.648
Hawaii,MonteCarloAsian,TWO_D,1024,10,1,2,1,2,116.482,0.06,0.001,302.1,0.012,0.708
Hawaii,MonteCarloAsian,TWO_D,1024,10,1,4,1,2,154.009,0.06,0.001,198.178,0.011,1.278
Hawaii,MonteCarloAsian,TWO_D,1024,10,1,8,1,2,156.668,0.056,0.002,135.192,0.025,1.122
Hawaii,MonteCarloAsian,TWO_D,1024,10,1,16,1,2,160.151,0.063,0.001,103.024,0.012,1.161
Hawaii,MonteCarloAsian,TWO_D,1024,10,1,32,1,2,157.939,0.062,0.002,91.88,0.011,1.117
Hawaii,MonteCarloAsian,TWO_D,1024,10,1,64,1,2,157.453,0.062,0.001,84.385,0.024,1.124
Hawaii,MonteCarloAsian,TWO_D,1024,10,1,128,1,2,155.928,0.064,0.001,81.334,0.013,0.836
Hawaii,MonteCarloAsian,TWO_D,1024,10,1,256,1,2,156.801,0.062,0.001,81.279,0.014,0.835
Hawaii,MonteCarloAsian,TWO_D,1024,10,2,1,1,2,157.292,0.058,0.001,309.546,0.011,0.708
Hawaii,MonteCarloAsian,TWO_D,1024,10,2,2,1,2,154.019,0.06,0.001,199.452,0.039,1.258
Hawaii,MonteCarloAsian,TWO_D,1024,10,2,4,1,2,155.983,0.061,0.001,135.935,0.023,1.139
Hawaii,MonteCarloAsian,TWO_D,1024,10,2,8,1,2,154.44,0.06,0.002,106.272,0.046,1.124
Hawaii,MonteCarloAsian,TWO_D,1024,10,2,16,1,2,158.44,0.063,0.002,95.385,0.022,1.118
Hawaii,MonteCarloAsian,TWO_D,1024,10,2,32,1,2,155.995,0.061,0.001,81.403,0.014,0.969
Hawaii,MonteCarloAsian,TWO_D,1024,10,2,64,1,2,156.653,0.058,0.001,81.368,0.01,0.982
Hawaii,MonteCarloAsian,TWO_D,1024,10,2,128,1,2,157.121,0.064,0.004,83.423,0.005,1.145
Hawaii,MonteCarloAsian,TWO_D,1024,10,4,1,1,2,156.208,0.046,0.001,200.527,0.023,1.233
Hawaii,MonteCarloAsian,TWO_D,1024,10,4,2,1,2,157.18,0.063,0.002,124.565,0.025,1.122
Hawaii,MonteCarloAsian,TWO_D,1024,10,4,4,1,2,155.667,0.063,0.002,105.861,0.022,1.122
Hawaii,MonteCarloAsian,TWO_D,1024,10,4,8,1,2,154.322,0.063,0.002,96.117,0.023,1.143
Hawaii,MonteCarloAsian,TWO_D,1024,10,4,16,1,2,158.433,0.062,0.002,84.171,0.022,1.143
Hawaii,MonteCarloAsian,TWO_D,1024,10,4,32,1,2,156.488,0.06,0.001,76.787,0.027,1.139
Hawaii,MonteCarloAsian,TWO_D,1024,10,4,64,1,2,154.244,0.06,0.001,81.063,0.007,0.98
Hawaii,MonteCarloAsian,TWO_D,1024,10,8,1,1,2,156.099,0.06,0.001,135.058,0.021,1.126
Hawaii,MonteCarloAsian,TWO_D,1024,10,8,2,1,2,154.958,0.035,0.001,104.925,0.022,1.122
Hawaii,MonteCarloAsian,TWO_D,1024,10,8,4,1,2,154.379,0.065,0.002,95.382,0.022,1.19
Hawaii,MonteCarloAsian,TWO_D,1024,10,8,8,1,2,153.975,0.059,0.001,74.594,0.006,1.073
Hawaii,MonteCarloAsian,TWO_D,1024,10,8,16,1,2,153.993,0.064,0.002,83.077,0.011,1.143
Hawaii,MonteCarloAsian,TWO_D,1024,10,8,32,1,2,154.744,0.062,0.002,81.963,0.025,1.156
Hawaii,MonteCarloAsian,TWO_D,1024,10,16,1,1,2,155.743,0.061,0.001,106.097,0.024,1.116
Hawaii,MonteCarloAsian,TWO_D,1024,10,16,2,1,2,154.227,0.062,0.002,94.886,0.011,1.146
Hawaii,MonteCarloAsian,TWO_D,1024,10,16,4,1,2,154.082,0.061,0.001,82.94,0.025,1.131
Hawaii,MonteCarloAsian,TWO_D,1024,10,16,8,1,2,154.919,0.059,0.002,83.504,0.022,1.149
Hawaii,MonteCarloAsian,TWO_D,1024,10,16,16,1,2,155.068,0.061,0.001,81.416,0.027,1.144
Hawaii,MonteCarloAsian,TWO_D,1024,10,32,1,1,2,156.145,0.063,0.001,95.381,0.012,1.14
Hawaii,MonteCarloAsian,TWO_D,1024,10,32,2,1,2,154.756,0.061,0.002,81.301,0.027,1.143
Hawaii,MonteCarloAsian,TWO_D,1024,10,32,4,1,2,156.076,0.061,0.001,83.459,0.027,1.153
Hawaii,MonteCarloAsian,TWO_D,1024,10,32,8,1,2,155.707,0.06,0.001,80.746,0.013,0.695
Hawaii,MonteCarloAsian,TWO_D,1024,10,64,1,1,2,157,0.065,0.001,84.698,0.011,1.121
Hawaii,MonteCarloAsian,TWO_D,1024,10,64,2,1,2,160.566,0.061,0.002,87.052,0.027,1.171
Hawaii,MonteCarloAsian,TWO_D,1024,10,64,4,1,2,155.896,0.058,0.001,83.887,0.006,1.131
Hawaii,MonteCarloAsian,TWO_D,1024,10,128,1,1,2,155.553,0.063,0.001,84.182,0.007,1.132
Hawaii,MonteCarloAsian,TWO_D,1024,10,128,2,1,2,154.989,0.058,0.001,83.213,0.027,1.124
Hawaii,MonteCarloAsian,TWO_D,1024,10,256,1,1,2,155.301,0.061,0.001,75.443,0.007,1.134
