device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4785.23,241.702,0.009,0.152,0.008,2.008
GTX 780,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4794.02,241.2,0.01,0.152,0.008,2.062
GTX 780,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4795.96,242.413,0.009,0.151,0.008,2.059
GTX 780,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4800.63,241.432,0.009,0.15,0.008,1.985
GTX 780,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4793.77,241.061,0.009,0.152,0.008,1.973
GTX 780,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4793.64,241.984,0.01,0.151,0.009,1.976
GTX 780,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4795.54,241.47,0.009,0.151,0.009,1.951
GTX 780,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4793.75,241.647,0.01,0.153,0.008,1.972
GTX 780,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4794.12,242.604,0.01,0.15,0.008,1.9
GTX 780,Uux3a,ONE_D,9.33233e+06,1,1,1,711,4795.94,241.243,0.009,0.15,0.008,2.065
