device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
AMD Firepro W9100,Array3dAverage,THREE_D,208,4,2,16,34.3281,339.194,10.578,0.001,2.868,24.063,1.839
AMD Firepro W9100,Array3dAverage,THREE_D,208,4,4,1,34.3281,324.99,10.835,0.002,4.019,23.907,3.234
AMD Firepro W9100,Array3dAverage,THREE_D,208,4,4,2,34.3281,334.185,9.157,0.002,2.633,21.898,1.105
AMD Firepro W9100,Array3dAverage,THREE_D,208,4,4,4,34.3281,339.168,10.483,0.002,2.906,24.301,1.818
AMD Firepro W9100,Array3dAverage,THREE_D,208,4,4,8,34.3281,335.28,10.585,0.002,2.879,22.573,1.862
AMD Firepro W9100,Array3dAverage,THREE_D,208,4,4,16,34.3281,338.685,10.524,0.002,3.509,23.362,1.798
AMD Firepro W9100,Array3dAverage,THREE_D,208,4,8,1,34.3281,335.564,8.825,0.002,2.659,22.739,1.116
AMD Firepro W9100,Array3dAverage,THREE_D,208,4,8,2,34.3281,340.633,10.562,0.002,2.905,23.19,1.765
AMD Firepro W9100,Array3dAverage,THREE_D,208,4,8,4,34.3281,335.543,10.553,0.002,2.926,23.295,1.85
AMD Firepro W9100,Array3dAverage,THREE_D,208,4,8,8,34.3281,337.539,10.439,0.001,2.831,23.27,1.784
AMD Firepro W9100,Array3dAverage,THREE_D,208,4,16,1,34.3281,335.453,9.142,0.002,2.712,22.006,1.623
AMD Firepro W9100,Array3dAverage,THREE_D,208,4,16,2,34.3281,338.77,10.538,0.001,2.796,24.081,1.799
AMD Firepro W9100,Array3dAverage,THREE_D,208,4,16,4,34.3281,335.499,10.305,0.002,2.993,22.907,1.789
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,1,1,34.3281,324.312,9.116,0.002,6.277,22.901,3.985
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,1,2,34.3281,332.535,10.339,0.002,4.845,23.308,1.876
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,1,4,34.3281,337.941,10.585,0.002,2.925,24.537,1.822
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,1,8,34.3281,336.647,9.027,0.002,2.092,22.094,1.578
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,1,16,34.3281,348.785,10.613,0.002,2.204,24.156,1.843
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,2,1,34.3281,328.061,11.08,0.001,3.999,23.642,3.239
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,2,2,34.3281,333.075,10.031,0.001,2.924,22.797,1.781
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,2,4,34.3281,339.424,10.453,0.002,3.054,23.957,1.769
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,2,8,34.3281,335.768,9.059,0.002,2.099,21.534,1.566
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,2,16,34.3281,339.743,9.985,0.002,2.273,24.441,1.856
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,4,1,34.3281,335.893,10.552,0.003,2.982,23.929,1.797
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,4,2,34.3281,338.072,10.543,0.002,3.041,23.329,1.873
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,4,4,34.3281,339.285,10.502,0.002,2.983,24.964,1.778
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,4,8,34.3281,336.792,8.642,0.002,2.035,21.144,1.106
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,8,1,34.3281,339.52,10.179,0.002,2.309,24.781,1.094
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,8,2,34.3281,335.852,10.34,0.002,2.349,23.41,1.856
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,8,4,34.3281,338.705,10.443,0.001,2.324,25.232,1.79
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,16,1,34.3281,335.099,10.011,0.002,2.338,22.433,1.75
AMD Firepro W9100,Array3dAverage,THREE_D,208,8,16,2,34.3281,339.721,10.508,0.002,2.36,23.471,1.916
AMD Firepro W9100,Array3dAverage,THREE_D,208,16,1,1,34.3281,325.088,11.014,0.002,4.013,23.89,3.246
AMD Firepro W9100,Array3dAverage,THREE_D,208,16,1,2,34.3281,333.097,10.502,0.002,2.889,22.505,1.822
AMD Firepro W9100,Array3dAverage,THREE_D,208,16,1,4,34.3281,338.543,10.409,0.002,2.335,24.504,1.883
AMD Firepro W9100,Array3dAverage,THREE_D,208,16,1,8,34.3281,336.267,9.242,0.002,2.03,21.866,1.578
AMD Firepro W9100,Array3dAverage,THREE_D,208,16,1,16,34.3281,340.721,10.6,0.002,2.097,23.885,1.901
AMD Firepro W9100,Array3dAverage,THREE_D,208,16,2,1,34.3281,339.912,10.524,0.014,3.645,24.553,1.853
AMD Firepro W9100,Array3dAverage,THREE_D,208,16,2,2,34.3281,339.534,10.702,0.002,2.205,24.311,1.878
AMD Firepro W9100,Array3dAverage,THREE_D,208,16,2,4,34.3281,335.417,10.289,0.002,2.247,24.282,1.884
AMD Firepro W9100,Array3dAverage,THREE_D,208,16,2,8,34.3281,337.9,10.491,0.002,2.145,24.134,1.919
