device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,FWT,ONE_D,32768,64,1,1,0.323,0.001,0.628,0.286,0.038
Hawaii,FWT,ONE_D,32768,128,1,1,0.458,0.002,0.726,0.357,0.04
Hawaii,FWT,ONE_D,32768,256,1,1,0.421,0.001,0.453,0.337,0.062
Hawaii,FWT,ONE_D,32768,1,1,1,0.463,0.001,2.74,0.342,0.074
Hawaii,FWT,ONE_D,32768,2,1,1,0.373,0.002,2.047,0.214,0.044
Hawaii,FWT,ONE_D,32768,4,1,1,0.297,0.001,1.19,0.231,0.044
Hawaii,FWT,ONE_D,32768,8,1,1,0.343,0.002,0.969,0.262,0.041
Hawaii,FWT,ONE_D,32768,16,1,1,0.336,0.001,0.623,0.317,0.043
Hawaii,FWT,ONE_D,32768,32,1,1,0.367,0.001,0.528,0.335,0.074
Hawaii,FWT,ONE_D,32768,64,1,1,0.497,0.001,0.543,0.367,0.048
Hawaii,FWT,ONE_D,32768,128,1,1,0.407,0,0.53,0.312,0.042
Hawaii,FWT,ONE_D,32768,256,1,1,0.466,0,0.507,0.349,0.073
Hawaii,FWT,ONE_D,32768,1,1,1,0.469,0.001,2.957,0.194,0.048
Hawaii,FWT,ONE_D,32768,2,1,1,0.473,0.002,2.059,0.319,0.074
Hawaii,FWT,ONE_D,32768,4,1,1,0.347,0.001,1.284,0.221,0.045
Hawaii,FWT,ONE_D,32768,8,1,1,0.392,0,0.838,0.351,0.043
Hawaii,FWT,ONE_D,32768,16,1,1,0.444,0.001,0.844,0.227,0.044
Hawaii,FWT,ONE_D,32768,32,1,1,0.499,0.001,0.641,0.354,0.07
Hawaii,FWT,ONE_D,32768,64,1,1,0.523,0.001,0.519,0.358,0.071
Hawaii,FWT,ONE_D,32768,128,1,1,0.433,0.001,0.507,0.373,0.066
