device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,1,1,11.577,0.002,2758.38,6.975,0.654
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,2,1,13.319,0.004,1434.36,2.538,0.634
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,4,1,11.587,0.002,720.233,2.34,0.429
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,8,1,11.268,0.002,427.267,2.351,0.44
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,16,1,10.97,0.002,665.657,2.531,0.662
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,32,1,11.375,0.002,820.122,2.303,0.427
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,64,1,11.893,0.018,1050.45,2.532,0.661
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,128,1,12.366,0.004,1943.13,2.545,0.679
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,256,1,11.998,0.003,2794.8,2.525,0.675
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,1,1,11.375,0.002,1406.82,2.527,0.638
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,2,1,11.204,0.002,721.466,2.329,0.431
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,4,1,12.874,0.004,431.246,2.347,0.437
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,8,1,10.966,0.002,320.528,2.275,0.495
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,16,1,10.81,0.003,364.276,2.357,0.434
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,32,1,13.538,0.003,441.259,2.536,0.616
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,64,1,11.925,0.002,560.61,2.529,0.637
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,128,1,12.148,0.004,970.904,2.526,0.649
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,4,1,1,11.382,0.003,833.506,2.524,0.627
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,4,2,1,13.848,0.004,371.49,2.541,0.634
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,4,4,1,12.003,0.002,188.359,2.553,0.691
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,4,8,1,11.78,0.002,159.724,2.541,0.651
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,4,16,1,10.742,0.003,180.256,2.125,0.335
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,4,32,1,13.232,0.004,187.744,2.357,0.439
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,4,64,1,11.893,0.003,244.597,2.516,0.632
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,8,1,1,11.332,0.003,420.066,2.342,0.439
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,8,2,1,13.257,0.004,202.956,2.328,0.526
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,8,4,1,11.678,0.002,98.331,2.139,0.335
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,8,8,1,11.983,0.004,77.993,2.309,0.431
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,8,16,1,11.702,0.002,50.85,2.544,0.629
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,8,32,1,13.858,0.004,82.956,2.531,0.674
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,16,1,1,11.214,0.002,240.284,2.272,0.509
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,16,2,1,12.111,0.002,111.893,2.315,0.47
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,16,4,1,13.365,0.003,64.017,2.448,0.555
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,16,8,1,11.661,0.003,56.836,2.514,0.631
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,16,16,1,11.326,0.002,52.442,2.517,0.609
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,32,1,1,12.828,0.003,97.779,2.423,0.528
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,32,2,1,11.679,0.002,62.613,2.549,0.664
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,32,4,1,12.724,0.004,51.046,2.369,0.39
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,32,8,1,11.451,0.002,52.691,2.527,0.595
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,64,1,1,11.642,0.002,89.755,1.876,0.338
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,64,2,1,12.006,0.004,75.134,2.545,0.663
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,64,4,1,11.332,0.002,68.953,2.394,0.41
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,128,1,1,11.393,0.003,83.235,2.534,0.632
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,128,2,1,11.804,0.003,78.611,2.31,0.472
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,256,1,1,11.687,0.002,69.979,2.53,0.665
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,1,1,14.672,0.003,2759.67,5.698,0.733
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,2,1,14.73,0.002,1436.27,2.577,0.691
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,4,1,14.871,0.003,721.526,2.582,0.722
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,8,1,11.549,0.002,427.46,2.612,0.63
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,16,1,11.633,0.002,682.711,2.579,0.573
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,32,1,14.463,0.003,817.529,2.568,0.684
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,64,1,14.497,0.003,1016.59,2.576,0.662
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,128,1,14.507,0.003,1947.49,2.575,0.79
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,1,256,1,14.668,0.002,2754.03,2.591,0.76
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,1,1,14.661,0.003,1583.08,2.651,0.765
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,2,1,14.552,0.003,721.325,2.571,0.59
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,4,1,12.155,0.002,429.883,2.53,0.763
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,8,1,14.551,0.003,320.586,2.53,0.799
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,16,1,14.563,0.003,359.675,2.586,0.785
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,32,1,14.55,0.003,459.482,2.55,0.659
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,64,1,11.952,0.001,556.279,2.572,0.428
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,2,128,1,11.979,0.001,973.458,2.548,0.621
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,4,1,1,14.721,0.002,845.113,2.563,0.798
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,4,2,1,14.667,0.003,396.287,2.587,0.793
Hawaii,MatrixMultiplication,TWO_D,2048,4096,1024,4,4,1,11.425,0.002,191.029,2.605,0.431
