device/C,kernel/C,workDimension/C,width/F,height/F,maskWidth/F,maskHeight/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,Convolution,ONE_D,1024,1024,64,64,1,1,1,3.804,0.002,1203.07,1.455,2.059
Hawaii,Convolution,ONE_D,1024,1024,64,64,2,1,1,3.873,0.001,602.101,1.48,0.105
Hawaii,Convolution,ONE_D,1024,1024,64,64,4,1,1,3.817,0.001,302.06,1.429,0.105
Hawaii,Convolution,ONE_D,1024,1024,64,64,8,1,1,3.767,0.001,151.783,1.326,0.118
Hawaii,Convolution,ONE_D,1024,1024,64,64,16,1,1,3.918,0.002,77.261,1.451,0.138
Hawaii,Convolution,ONE_D,1024,1024,64,64,32,1,1,3.733,0.001,38.926,1.451,0.085
Hawaii,Convolution,ONE_D,1024,1024,64,64,64,1,1,3.816,0.001,26.745,1.366,0.056
Hawaii,Convolution,ONE_D,1024,1024,64,64,128,1,1,3.708,0.001,25.517,1.441,0.103
Hawaii,Convolution,ONE_D,1024,1024,64,64,256,1,1,4.012,0.001,24.935,1.465,0.103
Hawaii,Convolution,ONE_D,1024,1024,64,64,1,1,1,4.705,0.001,1203.02,1.419,1.522
Hawaii,Convolution,ONE_D,1024,1024,64,64,2,1,1,4.352,0.001,602.258,1.381,0.07
Hawaii,Convolution,ONE_D,1024,1024,64,64,4,1,1,4.183,0.001,302.004,1.374,0.117
Hawaii,Convolution,ONE_D,1024,1024,64,64,8,1,1,4.164,0.001,151.788,1.432,0.1
Hawaii,Convolution,ONE_D,1024,1024,64,64,16,1,1,4.127,0.003,77.196,1.479,0.104
Hawaii,Convolution,ONE_D,1024,1024,64,64,32,1,1,4.023,0.001,39.004,1.54,0.078
Hawaii,Convolution,ONE_D,1024,1024,64,64,64,1,1,3.999,0.001,26.797,1.437,0.12
Hawaii,Convolution,ONE_D,1024,1024,64,64,128,1,1,4.059,0.001,25.761,1.444,0.085
Hawaii,Convolution,ONE_D,1024,1024,64,64,256,1,1,4.068,0.001,24.892,1.525,0.134
