device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,SquareArray,ONE_D,262144,1,1,1,0.785,0.001,2.11,0.396,0.031
Hawaii,SquareArray,ONE_D,262144,2,1,1,0.687,0.001,1.481,0.546,0.031
Hawaii,SquareArray,ONE_D,262144,4,1,1,0.531,0.001,1.102,0.473,0.032
Hawaii,SquareArray,ONE_D,262144,8,1,1,0.679,0.002,0.829,0.476,0.031
Hawaii,SquareArray,ONE_D,262144,16,1,1,0.723,0.015,0.559,0.472,0.031
Hawaii,SquareArray,ONE_D,262144,32,1,1,0.777,0.001,0.537,0.677,0.032
Hawaii,SquareArray,ONE_D,262144,64,1,1,0.739,0,0.308,0.553,0.031
Hawaii,SquareArray,ONE_D,262144,128,1,1,0.699,0.002,0.44,0.478,0.032
Hawaii,SquareArray,ONE_D,262144,256,1,1,0.618,0.001,0.306,0.493,0.031
Hawaii,SquareArray,ONE_D,262144,1,1,1,0.618,0,2.324,0.261,0.03
Hawaii,SquareArray,ONE_D,262144,2,1,1,0.737,0.001,1.627,0.519,0.03
Hawaii,SquareArray,ONE_D,262144,4,1,1,0.59,0.001,0.85,0.475,0.03
Hawaii,SquareArray,ONE_D,262144,8,1,1,0.597,0.001,0.667,0.543,0.031
Hawaii,SquareArray,ONE_D,262144,16,1,1,0.71,0.001,0.601,0.475,0.031
Hawaii,SquareArray,ONE_D,262144,32,1,1,0.633,0.001,0.361,0.554,0.03
Hawaii,SquareArray,ONE_D,262144,64,1,1,0.689,0.016,0.417,0.667,0.032
Hawaii,SquareArray,ONE_D,262144,128,1,1,0.626,0.001,0.281,0.556,0.03
Hawaii,SquareArray,ONE_D,262144,256,1,1,0.621,0.001,0.275,0.561,0.031
