device/C,kernel/C,workDimension/C,nBodies/F,timeStep/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,NBody,ONE_D,8192,0.005,100,1,1,1,0.756,0.002,4236.86,0,0.132
Hawaii,NBody,ONE_D,8192,0.005,100,2,1,1,0.569,0.003,2178.94,0.001,0.122
Hawaii,NBody,ONE_D,8192,0.005,100,4,1,1,0.581,0.001,1103.5,0.001,0.131
Hawaii,NBody,ONE_D,8192,0.005,100,8,1,1,0.588,0.001,569.51,0.001,0.148
Hawaii,NBody,ONE_D,8192,0.005,100,16,1,1,0.659,0.001,302.538,0,0.153
Hawaii,NBody,ONE_D,8192,0.005,100,32,1,1,0.74,0.003,212.478,0.001,0.116
Hawaii,NBody,ONE_D,8192,0.005,100,64,1,1,0.688,0.001,124.702,0,0.144
Hawaii,NBody,ONE_D,8192,0.005,100,128,1,1,0.547,0.002,211.895,0,0.092
Hawaii,NBody,ONE_D,8192,0.005,100,256,1,1,0.475,0.001,124.338,0.001,0.119
Hawaii,NBody,ONE_D,8192,0.005,100,1,1,1,0.89,0.002,4237.63,0.001,0.226
Hawaii,NBody,ONE_D,8192,0.005,100,2,1,1,0.766,0.001,2179.5,0.001,0.173
Hawaii,NBody,ONE_D,8192,0.005,100,4,1,1,0.768,0.001,1103.62,0,0.171
Hawaii,NBody,ONE_D,8192,0.005,100,8,1,1,0.834,0.002,569.914,0.001,0.148
Hawaii,NBody,ONE_D,8192,0.005,100,16,1,1,0.751,0.001,302.472,0.001,0.17
Hawaii,NBody,ONE_D,8192,0.005,100,32,1,1,0.787,0.001,212.295,0,0.116
Hawaii,NBody,ONE_D,8192,0.005,100,64,1,1,0.734,0.001,124.722,0.001,0.114
Hawaii,NBody,ONE_D,8192,0.005,100,128,1,1,0.776,0,212.124,0,0.111
Hawaii,NBody,ONE_D,8192,0.005,100,256,1,1,0.741,0.001,124.677,0,0.107
