device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,VectorAdd,ONE_D,262144,1,1,1,1.594,0.005,2.824,0.324,0.049
Hawaii,VectorAdd,ONE_D,262144,2,1,1,0.821,0.001,1.812,0.377,0.044
Hawaii,VectorAdd,ONE_D,262144,4,1,1,0.907,0.001,0.966,0.851,0.035
Hawaii,VectorAdd,ONE_D,262144,8,1,1,0.885,0.001,0.911,0.559,0.036
Hawaii,VectorAdd,ONE_D,262144,16,1,1,0.893,0.001,0.402,0.55,0.033
Hawaii,VectorAdd,ONE_D,262144,32,1,1,0.898,0,0.315,0.472,0.035
Hawaii,VectorAdd,ONE_D,262144,64,1,1,0.902,0.001,0.28,0.547,0.033
Hawaii,VectorAdd,ONE_D,262144,128,1,1,0.894,0.001,0.286,0.475,0.033
Hawaii,VectorAdd,ONE_D,262144,256,1,1,0.991,0.001,0.283,0.596,0.057
Hawaii,VectorAdd,ONE_D,262144,1,1,1,1.323,0.005,2.715,0.29,0.048
Hawaii,VectorAdd,ONE_D,262144,2,1,1,0.9,0.001,1.666,0.281,0.035
Hawaii,VectorAdd,ONE_D,262144,4,1,1,0.926,0.001,0.988,0.664,0.041
Hawaii,VectorAdd,ONE_D,262144,8,1,1,0.898,0.001,0.575,0.796,0.035
Hawaii,VectorAdd,ONE_D,262144,16,1,1,0.902,0,0.527,0.771,0.036
Hawaii,VectorAdd,ONE_D,262144,32,1,1,0.895,0,0.372,0.471,0.034
Hawaii,VectorAdd,ONE_D,262144,64,1,1,0.904,0.001,0.305,0.475,0.034
Hawaii,VectorAdd,ONE_D,262144,128,1,1,0.877,0.001,0.372,0.671,0.035
Hawaii,VectorAdd,ONE_D,262144,256,1,1,0.904,0.001,0.379,0.594,0.052
