device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Hawaii,LUDecomposition,TWO_D,2048,2048,2,32,1,20.701,0.004,639.096,27.284,0.612
Hawaii,LUDecomposition,TWO_D,2048,2048,2,64,1,20.486,0.004,619.21,27.02,0.602
Hawaii,LUDecomposition,TWO_D,2048,2048,2,128,1,20.326,0.005,626.238,24.187,0.583
Hawaii,LUDecomposition,TWO_D,2048,2048,4,1,1,20.647,0.005,1167.68,27.725,0.598
Hawaii,LUDecomposition,TWO_D,2048,2048,4,2,1,20.397,0.003,815.575,29.664,0.586
Hawaii,LUDecomposition,TWO_D,2048,2048,4,4,1,20.492,0.004,630.228,28.016,0.6
Hawaii,LUDecomposition,TWO_D,2048,2048,4,8,1,20.628,0.003,604.783,24.595,0.611
Hawaii,LUDecomposition,TWO_D,2048,2048,4,16,1,20.111,0.004,632.299,29.871,0.576
Hawaii,LUDecomposition,TWO_D,2048,2048,4,32,1,20.498,0.004,623.156,27.106,0.586
Hawaii,LUDecomposition,TWO_D,2048,2048,4,64,1,20.781,0.003,627.541,27.868,0.609
Hawaii,LUDecomposition,TWO_D,2048,2048,8,1,1,20.546,0.003,805.242,26.337,0.761
Hawaii,LUDecomposition,TWO_D,2048,2048,8,2,1,32.57,0.004,605.691,27.902,0.815
Hawaii,LUDecomposition,TWO_D,2048,2048,8,4,1,32.505,0.004,575.425,28.791,0.628
Hawaii,LUDecomposition,TWO_D,2048,2048,8,8,1,33.087,0.021,608.669,26.93,0.747
Hawaii,LUDecomposition,TWO_D,2048,2048,8,16,1,33.033,0.004,597.732,27.05,0.559
Hawaii,LUDecomposition,TWO_D,2048,2048,8,32,1,32.917,0.004,597.623,27.924,0.783
Hawaii,LUDecomposition,TWO_D,2048,2048,16,1,1,33.206,0.004,599.261,26.472,0.542
Hawaii,LUDecomposition,TWO_D,2048,2048,16,2,1,33.183,0.005,574.76,28.751,0.596
Hawaii,LUDecomposition,TWO_D,2048,2048,16,4,1,32.658,0.004,604.931,28.467,0.547
Hawaii,LUDecomposition,TWO_D,2048,2048,16,8,1,33.15,0.005,594.793,28.8,0.528
Hawaii,LUDecomposition,TWO_D,2048,2048,16,16,1,33.224,0.005,590.61,26.074,0.565
Hawaii,LUDecomposition,TWO_D,2048,2048,32,1,1,32.502,0.003,572.784,29.491,0.524
Hawaii,LUDecomposition,TWO_D,2048,2048,32,2,1,32.618,0.004,609.613,26.934,0.601
Hawaii,LUDecomposition,TWO_D,2048,2048,32,4,1,33.032,0.002,595.694,27.925,0.54
Hawaii,LUDecomposition,TWO_D,2048,2048,32,8,1,32.839,0.003,596.653,27.921,0.633
Hawaii,LUDecomposition,TWO_D,2048,2048,64,1,1,32.366,0.003,606.699,28.525,0.559
Hawaii,LUDecomposition,TWO_D,2048,2048,64,2,1,33.22,0.004,597.28,27.382,0.63
Hawaii,LUDecomposition,TWO_D,2048,2048,64,4,1,32.539,0.003,595.013,28.487,0.548
Hawaii,LUDecomposition,TWO_D,2048,2048,128,1,1,32.69,0.004,597.433,27.973,0.585
Hawaii,LUDecomposition,TWO_D,2048,2048,128,2,1,32.561,0.003,596.589,27.77,0.614
Hawaii,LUDecomposition,TWO_D,2048,2048,256,1,1,32.638,0.002,593.378,28.216,0.528
