device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,512,1,1,4,20.155,4.985,0.002,373.689,2.117,0.846
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,1024,1,1,4,20.113,6.076,0.003,378.896,1.222,1.029
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,2048,1,1,4,20.134,5.182,0.002,404.523,2.062,0.96
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,4096,1,1,4,20.037,5.356,0.002,415.22,2.119,0.817
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,8192,1,1,4,20.434,5.335,0.003,436.852,1.112,0.796
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,1,1,1,4,27.499,10.438,0.008,403.607,2.001,1.634
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,2,1,1,4,20.221,6.666,0.004,383.474,1.62,1.284
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,4,1,1,4,20.067,6.168,0.003,382.021,1.326,1.09
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,8,1,1,4,20.065,8.602,0.006,385.733,1.642,1.552
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,16,1,1,4,20.113,6.301,0.003,379.881,1.794,1.087
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,32,1,1,4,20.051,7.243,0.018,383.788,1.542,1.383
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,64,1,1,4,20.094,7.386,0.008,375.558,1.411,1.37
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,128,1,1,4,20.995,5.86,0.003,387.423,1.882,1.054
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,256,1,1,4,20.036,5.714,0.003,385.978,1.809,0.899
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,512,1,1,4,20.045,5.414,0.012,383.947,1.804,0.82
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,1024,1,1,4,20.042,5.839,0.004,405.722,1.634,1.078
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,2048,1,1,4,20.181,5.087,0.017,402.506,1.835,1.061
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,4096,1,1,4,20.047,5.113,0.018,436.946,1.876,0.888
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Convolution,ONE_D,1024,1024,64,64,8192,1,1,4,20.286,5.615,0.003,437.584,1.399,0.971
