device/C,kernel/C,workDimension/C,nEvents/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,1,1,1,200,1069.99,203.128,0.01,78.903,11.124,3.682
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,2,1,1,200,1070.95,204.273,0.01,76.044,11.187,3.751
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,4,1,1,200,1070.59,204.117,0.01,77.153,7.664,3.538
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,8,1,1,200,1068.71,198.94,0.01,19.189,7.837,3.803
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,16,1,1,200,1069.51,199.391,0.01,18.911,7.712,3.998
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,32,1,1,200,1069.61,202.698,0.011,17.817,11.292,4.362
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,64,1,1,200,1068.84,198.758,0.01,18.126,7.704,3.478
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,128,1,1,200,1069.82,198.297,0.008,16.736,6.927,4.304
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,256,1,1,200,1186.54,200.133,0.007,18.189,14.743,3.323
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,512,1,1,200,1072.1,200.762,0.005,18.555,7.911,2.907
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,1024,1,1,200,1073.89,200.584,0.007,18.241,14.691,3.244
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,2048,1,1,200,1073.81,201.166,0.007,17.853,7.972,3.385
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,4096,1,1,200,1072.4,200.936,0.006,17.73,8.001,3.148
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,8192,1,1,200,1073.73,200.384,0.006,19.814,7.839,3.491
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,1,1,1,200,1074.43,202.611,0.012,77.949,11.473,3.872
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,2,1,1,200,1071.93,200.744,0.01,73.963,7.44,3.621
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,4,1,1,200,1069.31,201.323,0.01,75.348,7.511,3.944
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,8,1,1,200,1069.76,206.842,0.011,19.228,7.643,3.991
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,16,1,1,200,1070.78,206.331,0.011,19.548,7.052,4.03
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,32,1,1,200,1069.88,202.484,0.007,17.294,6.464,4.412
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,64,1,1,200,1194.15,200.59,0.007,17.856,7.794,3.152
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,128,1,1,200,1073.54,202.004,0.006,18.154,15.218,3.191
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,256,1,1,200,1073.7,202.492,0.007,16.884,7.705,3.32
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,512,1,1,200,1073.75,201.679,0.007,18.854,7.76,3.26
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,1024,1,1,200,1074.36,201.727,0.007,17.621,14.927,3.659
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,2048,1,1,200,1074.42,202.028,0.006,17.167,6.654,3.235
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,4096,1,1,200,1073.75,202.056,0.007,18.646,7.792,3.092
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Uux3a,ONE_D,2.62144e+06,8192,1,1,200,1074.75,209.546,0.01,19.044,7.74,3.191
