device/C,kernel/C,workDimension/C,actualMB/F,width/F,height/F,nSteps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,1,1,1,4,58.143,44.324,0.012,134.583,0.001,3.175
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,2,1,1,4,73.488,54.93,0.01,140.442,0.001,3.558
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,4,1,1,4,73.432,54.092,0.014,168.202,0.001,3.653
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,8,1,1,4,73.856,55.139,0.013,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,16,1,1,4,73.559,52.253,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,32,1,1,4,73.036,56.366,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,64,1,1,4,74.429,56.66,0.009,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,128,1,1,4,73.1,57.065,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,256,1,1,4,73.195,54.596,0.013,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,512,1,1,4,72.478,53.975,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,1024,1,1,4,73.137,54.292,0.14,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,2048,1,1,4,72.957,54.35,0.013,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,4096,1,1,4,72.802,50.33,0.012,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,8192,1,1,4,72.82,50.294,0.013,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,1,1,1,4,57.453,54.983,0.013,110.014,0.001,2.603
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,2,1,1,4,54.006,43.876,0.012,163.216,0.001,3.061
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,4,1,1,4,54.702,48.359,0.011,138.317,0.001,3.476
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,8,1,1,4,72.895,50.46,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,16,1,1,4,72.62,51.999,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,32,1,1,4,72.728,50.344,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,64,1,1,4,73.12,52.782,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,128,1,1,4,74.288,51.648,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,256,1,1,4,75.194,51.583,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,512,1,1,4,75.973,52.013,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,1024,1,1,4,73.218,52.354,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,2048,1,1,4,72.752,50.529,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,4096,1,1,4,72.878,50.552,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,8192,1,1,4,72.721,51.332,0.013,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,1,1,1,4,60.114,46.384,0.013,135.534,0.001,4.842
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,2,1,1,4,80.494,56.186,0.016,145.757,0.001,4.785
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,4,1,1,4,80.715,56.909,0.015,143.677,0,4.987
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,8,1,1,4,80.674,62.394,0.021,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,16,1,1,4,80.699,56.809,0.016,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,32,1,1,4,80.518,55.785,0.016,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,64,1,1,4,80.598,56.881,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,128,1,1,4,80.469,55.587,0.016,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,256,1,1,4,80.597,56.116,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,512,1,1,4,80.301,57.231,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,1024,1,1,4,80.641,56.532,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,2048,1,1,4,80.793,56.051,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,4096,1,1,4,80.573,61.235,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,8192,1,1,4,80.626,55.448,0.016,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,1,1,1,4,63.725,49.107,0.015,136.04,0.001,6.486
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,2,1,1,4,83.27,65.753,0.011,162.222,0.001,6.332
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,4,1,1,4,83.592,55.261,0.01,152.051,0.001,5.859
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,8,1,1,4,82.803,58.201,0.016,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,16,1,1,4,82.435,58.183,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,32,1,1,4,82.646,56.581,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,64,1,1,4,82.62,58.908,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,128,1,1,4,82.652,58.533,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,256,1,1,4,83.996,59.69,0.011,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,512,1,1,4,82.458,57.665,0.015,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,1024,1,1,4,82.291,58.466,0.016,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,2048,1,1,4,82.454,58.093,0.014,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,4096,1,1,4,82.712,58.089,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,8192,1,1,4,83.743,58.132,0.01,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,1,1,1,4,64.356,50.836,0.015,116.211,0.001,4.705
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,2,1,1,4,63.124,47.432,0.015,118.186,0.001,4.95
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,4,1,1,4,63.537,52.826,0.011,177.352,0.001,5.794
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,FluidSimulation,ONE_D,3,724,724,3,8,1,1,4,82.991,56.787,0.015,-1,-1,-1
