device/C,kernel/C,workDimension/C,length/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,1024,1,1,20,101.21,9.748,0.006,1.392,0.118,1.386
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,2048,1,1,20,101.069,9.726,0.006,1.683,0.09,1.356
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,4096,1,1,20,101.517,9.855,0.006,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,8192,1,1,20,101.283,9.948,0.005,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,1,1,1,20,113.204,9.791,0.006,3.739,6.563,1.286
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,2,1,1,20,107.353,9.696,0.005,3.236,3.419,1.365
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,4,1,1,20,105.819,9.746,0.02,1.538,1.815,1.583
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,8,1,1,20,103.164,9.776,0.006,1.083,0.976,1.371
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,16,1,1,20,102.95,9.79,0.005,1.029,0.604,1.293
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,32,1,1,20,102.147,9.402,0.007,1.057,0.337,1.277
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,64,1,1,20,101.638,9.252,0.004,1.084,0.211,1.259
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,128,1,1,20,103.112,9.718,0.005,1.121,0.26,1.35
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,256,1,1,20,106.046,9.701,0.005,1.185,0.187,1.239
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,512,1,1,20,101.304,9.21,0.006,1.257,0.084,1.241
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,1024,1,1,20,101.259,9.266,0.006,1.36,0.078,1.268
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,2048,1,1,20,101.071,9.459,0.004,1.672,0.097,1.328
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,4096,1,1,20,102.093,9.433,0.005,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Reduction,ONE_D,1.31072e+06,8192,1,1,20,100.654,9.486,0.003,-1,-1,-1
