device/C,kernel/C,workDimension/C,a/F,b/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,420,511,1,1,1,768,0.008,0,0.003,0.324,0,0.626
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,420,511,2,1,1,768,0.004,0,0.002,0.382,0,0.759
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,779,425,4,1,1,768,0.004,0,0.002,0.289,0,0.603
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,779,425,8,1,1,768,0.004,0,0.001,0.273,0.001,0.592
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,779,425,16,1,1,768,0.004,0,0.001,0.061,0,0.564
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,779,425,32,1,1,768,0.004,0,0.001,0.043,0,0.617
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,779,425,64,1,1,768,0.004,0.001,0.001,0.056,0,0.497
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,779,425,128,1,1,768,0.004,0,0.001,0.044,0,0.606
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,779,425,256,1,1,768,0.004,0,0.002,0.043,0,0.599
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,779,425,512,1,1,768,0.004,0,0.002,0.039,0,0.687
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,779,425,1024,1,1,768,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,779,425,2048,1,1,768,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,779,425,4096,1,1,768,0.004,0,0.001,-1,-1,-1
Intel Xeon CPU E5-2695 v2 @ 2.40GHz,Computation,ONE_D,779,425,8192,1,1,768,0.004,0,0.001,-1,-1,-1
