-------------------------Client: 1-------------------------
kernel,width,height,nSteps,xLocal,yLocal,zLocal,memoryCopyOut,plan,execute,memoryCopyIn,cleanUp,
FloydWarshall,2048,2048,1,64,1,5.948,0.002,3639.67,9.87,0.612,
FloydWarshall,2048,2048,1,128,1,5.889,0.002,3635.18,9.059,0.594,
FloydWarshall,2048,2048,1,256,1,5.852,0.002,3653.27,9.069,0.576,
FloydWarshall,2048,2048,1,512,1,5.837,0.001,3693.2,9.05,0.573,
FloydWarshall,2048,2048,1,1024,1,5.868,0.001,3813.04,9.027,0.582,
FloydWarshall,2048,2048,2,1,1,5.847,0.002,21898.7,9.126,0.577,
FloydWarshall,2048,2048,2,2,1,5.846,0.002,11640.1,9.804,0.623,
FloydWarshall,2048,2048,2,4,1,5.899,0.002,6285.07,11.416,0.628,
FloydWarshall,2048,2048,2,8,1,5.916,0.002,3615.65,9.105,0.573,
FloydWarshall,2048,2048,2,16,1,5.918,0.001,2378.38,9.024,0.57,
FloydWarshall,2048,2048,2,32,1,5.871,0.002,1965.71,9.045,0.593,
FloydWarshall,2048,2048,2,64,1,5.834,0.002,1955.16,9.467,0.645,
FloydWarshall,2048,2048,2,128,1,5.966,0.002,1973.33,9.175,0.581,
FloydWarshall,2048,2048,2,256,1,5.867,0.001,2002.69,9.051,0.602,
FloydWarshall,2048,2048,2,512,1,5.837,0.002,2050.17,9.034,0.572,
FloydWarshall,2048,2048,4,1,1,5.847,0.002,10998.4,9.398,0.408,
FloydWarshall,2048,2048,4,2,1,5.862,0.002,5865.62,9.055,0.566,
FloydWarshall,2048,2048,4,4,1,5.867,0.002,3186.74,9.035,0.563,
FloydWarshall,2048,2048,4,8,1,5.843,0.001,1846,9.352,0.577,
FloydWarshall,2048,2048,4,16,1,5.884,0.001,1146.49,9.129,0.602,
FloydWarshall,2048,2048,4,32,1,6.254,0.001,1117.09,9.283,0.578,
FloydWarshall,2048,2048,4,64,1,5.851,0.002,1128.96,9.047,0.583,
FloydWarshall,2048,2048,4,128,1,5.838,0.001,1144.01,8.923,0.567,
FloydWarshall,2048,2048,4,256,1,5.985,0.001,1165.74,9.004,0.573,
FloydWarshall,2048,2048,8,1,1,5.835,0.002,5637.52,9.073,0.579,
FloydWarshall,2048,2048,8,2,1,5.828,0.001,3033.13,9.037,0.577,
FloydWarshall,2048,2048,8,4,1,5.844,0.001,1647.86,8.944,0.583,
FloydWarshall,2048,2048,8,8,1,5.919,0.002,911.8,8.961,0.579,
FloydWarshall,2048,2048,8,16,1,5.82,0.002,668.47,8.919,0.569,
FloydWarshall,2048,2048,8,32,1,5.812,0.002,668.719,9.024,0.574,
FloydWarshall,2048,2048,8,64,1,5.824,0.001,688.852,8.973,0.573,
FloydWarshall,2048,2048,8,128,1,5.819,0.002,796.009,9.12,0.568,
FloydWarshall,2048,2048,16,1,1,5.837,0.002,2870.2,9.014,0.572,
FloydWarshall,2048,2048,16,2,1,5.824,0.001,1567.87,9.025,0.582,
FloydWarshall,2048,2048,16,4,1,5.843,0.002,839.704,9.009,0.575,
FloydWarshall,2048,2048,16,8,1,5.831,0.002,506.855,8.917,0.569,
FloydWarshall,2048,2048,16,16,1,5.816,0.002,521.096,8.964,0.561,
FloydWarshall,2048,2048,16,32,1,5.808,0.001,559.73,9.059,0.576,
FloydWarshall,2048,2048,16,64,1,5.823,0.002,667.018,8.936,0.565,
FloydWarshall,2048,2048,32,1,1,5.846,0.002,1496.03,9.034,0.566,
FloydWarshall,2048,2048,32,2,1,5.836,0.001,810.142,8.999,0.579,
FloydWarshall,2048,2048,32,4,1,5.811,0.002,477.867,9.035,1.899,
FloydWarshall,2048,2048,32,8,1,5.829,0.001,485.335,9.002,0.571,
FloydWarshall,2048,2048,32,16,1,5.831,0.002,533.479,8.908,0.559,
FloydWarshall,2048,2048,32,32,1,5.813,0.001,642.46,9.056,0.565,
FloydWarshall,2048,2048,64,1,1,5.837,0.001,828.621,8.912,0.572,
FloydWarshall,2048,2048,64,2,1,5.856,0.002,491.258,8.964,0.572,
FloydWarshall,2048,2048,64,4,1,5.817,0.001,491.995,9.036,0.567,
FloydWarshall,2048,2048,64,8,1,5.826,0.001,524.548,8.977,0.557,
FloydWarshall,2048,2048,64,16,1,5.837,0.002,645.736,8.924,0.576,
FloydWarshall,2048,2048,128,1,1,5.845,0.001,498.669,9,0.569,
FloydWarshall,2048,2048,128,2,1,5.834,0.001,508.744,8.931,0.572,
FloydWarshall,2048,2048,128,4,1,5.818,0.002,535.218,8.932,0.576,
FloydWarshall,2048,2048,128,8,1,5.916,0.002,656.267,9.014,0.57,
FloydWarshall,2048,2048,256,1,1,5.823,0.002,516.038,8.973,0.564,
FloydWarshall,2048,2048,256,2,1,5.81,0.002,553.714,9.015,0.578,
FloydWarshall,2048,2048,256,4,1,5.817,0.001,663.313,8.997,0.564,
FloydWarshall,2048,2048,512,1,1,5.82,0.002,561.114,8.956,0.569,
FloydWarshall,2048,2048,512,2,1,5.843,0.002,670.912,9.044,0.575,
