device/C,kernel/C,workDimension/C,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2048,1,1,12,0.001,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4096,1,1,12,0.001,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8192,1,1,12,0,0.001,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1,1,1,12,0,0,0.001,1.385,0,1.675
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2,1,1,12,0.001,0.001,0,0.553,0.001,0.961
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4,1,1,12,0,0,0.001,0.344,0,1.013
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8,1,1,12,0,0,0,0.338,0.001,0.993
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,16,1,1,12,0,0,0,0.325,0.001,1.085
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,32,1,1,12,0,0.001,0,0.325,0,1.073
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,64,1,1,12,0,0,0,0.336,0.001,1.007
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,128,1,1,12,0,0,0.001,0.324,0.001,1.026
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,256,1,1,12,0.001,0.001,0,0.332,0,0.967
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,512,1,1,12,0.001,0,0,0.321,0,0.987
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1024,1,1,12,0.001,0.001,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2048,1,1,12,0.001,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4096,1,1,12,0,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8192,1,1,12,0.001,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1,1,1,12,0,0.001,0,1.373,0.001,1.317
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2,1,1,12,0,0,0,0.676,0,1.02
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4,1,1,12,0.001,0,0,0.293,0,1.012
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8,1,1,12,0,0,0.001,0.272,0.001,1.002
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,16,1,1,12,0,0,0,0.26,0,0.99
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,32,1,1,12,0,0,0,0.254,0,0.999
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,64,1,1,12,0,0,0.001,0.238,0,1.03
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,128,1,1,12,0.001,0.001,0,0.237,0.001,1.008
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,256,1,1,12,0,0,0.001,0.21,0,0.993
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,512,1,1,12,0,0,0,0.19,0,0.981
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1024,1,1,12,0,0,0.001,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2048,1,1,12,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4096,1,1,12,0.001,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8192,1,1,12,0,0,0,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,1,1,1,12,0,0,0,1.331,0.001,0.722
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,2,1,1,12,0.001,0.001,0,0.978,0,1.013
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,4,1,1,12,0.001,0.001,0,0.412,0.001,0.967
Intel Xeon Phi coprocessor x100 family,NoMemory,ONE_D,8,1,1,12,0.001,0,0,0.337,0,1.052
